test_id,Vin_V,D,load_fraction,Rload_Ohm,ccm_margin_A,status,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,NIS_V_mean,NIS_V_median,NIS_V_p95,gate_V_rejected_fraction,NIS_C_mean,NIS_C_p95,gate_C_rejected_fraction,NIS_R_mean,NIS_R_p95,gate_R_rejected_fraction
40,24,0.45,1,10,1.27226180281051,PASS,9.99999327679903e-05,6.72320096706258e-05,0.0499537132242893,0.0925735514214043,2.8e-05,0.409623730867344,8.85128573667098e-07,3.40529815295843,0.0151578947368421,0.00327022391131157,0.000442314851049744,0,0.00367717483521304,0.0101350114309992,0
41,24,0.55,0.1,100,-0.337776538892143,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
42,24,0.55,0.25,40,0.238602371069558,PASS,9.9998255334562e-05,0.00174466543803042,0.0499452166256976,0.109566748604706,3e-05,0.0860581383674371,5.65630790361191e-06,0.269414228091245,0.004,0.00432521210381819,0.00329822907325313,0,0.00779197103733466,0.0227026449979581,0
43,24,0.55,0.5,20,1.02704157205013,PASS,9.99991703649631e-05,0.000829635036903031,0.0499848058412632,0.0303883174735509,3e-05,0.395749249684068,1.82615208371437e-06,2.50849425698515,0.0168421052631579,0.00347968061290206,0.000778005202917728,0,0.00532166747201262,0.0149845670358443,0
44,24,0.55,0.75,13.3333333333333,1.76507526157045,PASS,9.99996848338941e-05,0.000315166105946396,0.0499983278456512,0.00334430869757263,3e-05,1.29860330942941,8.85839811082096e-07,10.1232973657035,0.0703157894736842,0.00329474164912508,0.000321609503234643,0,0.00434513864217776,0.0116016871956419,0
45,24,0.55,1,10,2.49942227836387,PASS,9.99998362969193e-05,0.00016370308071334,0.0499998619057146,0.00027618857074696,3e-05,3.40972341364911,1.11196027378332e-05,16.6509639144531,0.202105263157895,0.00323046684588151,0.000183176206898061,0,0.00388559562408755,0.00972714416568109,0
46,24,0.65,0.1,100,-0.175388855479988,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
47,24,0.65,0.25,40,0.527336142733533,PASS,0.000100002614248682,0.00261424868235327,0.0500812797132,0.162559426399911,3.25e-05,0.475253835144101,5.89612410488477e-06,3.64884727897013,0.0217894736842106,0.00461322160183373,0.00337921405559983,0,0.00784869811404678,0.0216870639330128,0
48,24,0.65,0.5,20,1.68724828936031,PASS,0.000100000552341569,0.000552341569037829,0.0500404484540944,0.0808969081887545,3.25e-05,3.16823376052096,2.29854134940836e-06,16.849142375324,0.184947368421053,0.00351618954578236,0.000882581366156776,0,0.00594751890906345,0.0190364160988808,0
49,24,0.65,0.75,13.3333333333333,2.80369769626114,PASS,0.000100000163358914,0.000163358914417877,0.0500263555196795,0.0527110393589769,3.25e-05,8.07002816314096,0.0010566090769673,33.1202893063184,0.374631578947368,0.00331361998185841,0.000410561924758937,0,0.00522004284592512,0.017428654340448,0
50,24,0.65,1,10,3.90269227827473,PASS,0.000100000049825276,4.9825276415838e-05,0.0500201658515543,0.0403317031085981,3.25e-05,459.475885163795,63.7873285897097,1599.11834651255,0.668105263157895,0.00324269650513874,0.000240097784488289,0,0.00479049539592888,0.0159835436761058,0
51,28.8,0.25,0.1,100,-0.221640922277977,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
52,28.8,0.25,0.25,40,-0.142077961917452,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
53,28.8,0.25,0.5,20,-0.0567642067875186,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
54,28.8,0.25,0.75,13.3333333333333,0.0279822691536014,PASS,0.000100066064556193,0.0660645561932238,0.0493866572405575,1.22668551888498,2.45e-05,0.0258082680826456,5.81081088490503e-06,0.0808371103078383,0.004,0.00553263741079519,0.00504587411511907,0,0.00444833206362543,0.0190525775645247,0
55,28.8,0.25,1,10,0.11221048855441,PASS,0.000100037679840681,0.037679840680549,0.0495663872498026,0.867225500394775,2.45e-05,0.0421970351567272,3.18986957321296e-06,0.220892329433613,0.004,0.00444055911031265,0.00281004053494578,0,0.00403235139773839,0.0151149120705482,0
56,28.8,0.35,0.1,100,-0.167571439915835,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
57,28.8,0.35,0.25,40,-0.0380900322567423,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
58,28.8,0.35,0.5,20,0.177078817707546,PASS,0.000100017569139732,0.0175691397318323,0.0496166645834334,0.766670833133198,2.65e-05,0.0423861303210815,6.60494811156382e-06,0.134113105675794,0.004,0.00516795400258302,0.00616416148458603,0,0.00617815981641396,0.0261486342590975,0
59,28.8,0.35,0.75,13.3333333333333,0.391501281727951,PASS,0.00010000773566548,0.00773566548002425,0.0497721905080552,0.455618983889616,2.65e-05,0.0841236708861954,3.1459345117704e-06,0.513212395114046,0.004,0.00403714336691844,0.00283151413663608,0,0.00495745250663376,0.0179605185125685,0
