sigma_v_mV_RMS,sigma_i_mA_RMS,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status,noise_type
5,2,16,9.64474823186874e-05,0.0476407634047389,9.93928900170666e-05,0.607109982933363,0.0497768166421659,0.446366715668167,0,PASS,analog_only
5,2,17,9.44568442178557e-05,0.0482270035821625,9.97384169404829e-05,0.26158305951709,0.0494380940189984,1.1238119620033,0.0067567567567568,PASS,analog_only
5,2,18,0.000104967305195348,0.0475520883232468,0.000100349979212009,0.349979212008789,0.0497806421285374,0.438715742925189,0.0337837837837838,PASS,analog_only
5,2,19,0.000104690649653729,0.0512591910821767,9.92312533280742e-05,0.768746671925791,0.0499597194096604,0.0805611806792728,0.0135135135135135,PASS,analog_only
5,2,20,9.59086462174298e-05,0.0489083761547676,0.000100394370471055,0.394370471055283,0.0503625273063987,0.72505461279746,0.0067567567567568,PASS,analog_only
10,5,1,9.53562301072985e-05,0.0465050536900294,9.99942912779159e-05,0.00570872208408568,0.0486544289697612,2.69114206047766,0.0135135135135135,PASS,analog_only
10,5,2,9.43994919043975e-05,0.0468807943444717,9.92219162093561e-05,0.778083790643935,0.0499674597478947,0.0650805042106017,0.0135135135135135,PASS,analog_only
10,5,3,8.95518604731213e-05,0.0413299254114731,9.92658319998148e-05,0.734168000185198,0.0501178198141856,0.235639628371231,0.0135135135135135,PASS,analog_only
10,5,4,0.000111114394987298,0.0550672247004374,0.000100054221372613,0.0542213726128837,0.0493969441142552,1.20611177148956,0.0135135135135135,PASS,analog_only
10,5,5,9.39654109266036e-05,0.0537971831075146,0.000100255914697768,0.255914697768467,0.0501301138442973,0.260227688594505,0.0337837837837838,PASS,analog_only
10,5,6,0.000108603338799414,0.0581721369040363,9.99824035998829e-05,0.0175964001171147,0.0503657810244697,0.731562048939338,0.0135135135135135,PASS,analog_only
10,5,7,0.000113782418195565,0.0463219875497708,0.000102759277677093,2.75927767709305,0.0500864910299171,0.172982059834159,0.0067567567567568,PASS,analog_only
10,5,8,0.000104569434300841,0.0528537595970927,0.000101597108945223,1.59710894522309,0.0496871975601433,0.625604879713315,0.0067567567567568,PASS,analog_only
10,5,9,9.49485693949543e-05,0.0541374029653456,0.00010040953009704,0.409530097039745,0.0505172686648162,1.0345373296323,0.0135135135135135,PASS,analog_only
10,5,10,0.00011127732962921,0.046728619729194,0.000101135933947814,1.13593394781379,0.050436938405202,0.873876810403984,0.0202702702702703,PASS,analog_only
10,5,11,0.000109824230727364,0.0462901442955425,9.96071563268738e-05,0.392843673126242,0.0496738216748089,0.652356650382258,0.0135135135135135,PASS,analog_only
10,5,12,9.59103900104129e-05,0.0468175812933228,9.99475590040922e-05,0.0524409959078431,0.050186052863299,0.372105726598049,0.0067567567567568,PASS,analog_only
10,5,13,8.87629879520991e-05,0.0414990330368752,9.89504863147052e-05,1.04951368529477,0.0506075543701066,1.21510874021316,0.0067567567567568,PASS,analog_only
10,5,14,9.19733790705481e-05,0.0454570086479155,0.000100512672235386,0.512672235386114,0.0506145656195498,1.2291312390996,0.0202702702702703,PASS,analog_only
10,5,15,8.94304462481768e-05,0.0538640354063939,9.9262278025821e-05,0.737721974179051,0.0491920662421724,1.6158675156553,0.0067567567567568,PASS,analog_only
10,5,16,9.43048242337721e-05,0.0451961018021266,9.89368923729254e-05,1.06310762707457,0.0498169587097423,0.366082580515426,0.0067567567567568,PASS,analog_only
10,5,17,9.1319841238179e-05,0.0466692695625012,9.94828925610795e-05,0.517107438920472,0.0486750804203831,2.64983915923377,0.027027027027027,PASS,analog_only
10,5,18,0.000109709902277468,0.0455023280448542,0.000100561830888908,0.561830888907977,0.0491337440287422,1.73251194251558,0.0405405405405406,PASS,analog_only
10,5,19,0.000109133975016874,0.05246721779969,9.84778289795912e-05,1.52217102040878,0.0496050816289198,0.789836742160388,0.0135135135135135,PASS,analog_only
10,5,20,9.34519900866204e-05,0.0479678016720002,0.00010079080362758,0.790803627579928,0.050566350707261,1.132701414522,0.0067567567567568,PASS,analog_only
20,10,1,9.33877948935894e-05,0.0430233190415722,9.99915723578113e-05,0.00842764218865755,0.0468871992366633,6.22560152667341,0.0135135135135135,FAIL,analog_only
20,10,2,0.00010694183048632,0.0440093129601907,9.84614411710847e-05,1.53855882891526,0.0496172054110581,0.765589177883819,0.0135135135135135,PASS,analog_only
20,10,3,8.45927283322803e-05,0.034225139874749,9.85426174896553e-05,1.45738251034473,0.049832704513351,0.334590973298077,0.0135135135135135,PASS,analog_only
20,10,4,0.000120000019346937,0.0593136633251035,0.00010042532932426,0.425329324259849,0.0486357261697421,2.72854766051586,0.0202702702702703,PASS,analog_only
20,10,5,9.08578395151374e-05,0.0575427138524034,0.000100509976388942,0.50997638894219,0.0501440529509429,0.288105901885816,0.0337837837837838,PASS,analog_only
20,10,6,0.000113804055845975,0.0642682790482119,9.9963889673848e-05,0.0361103261519946,0.0515446807136566,3.08936142731313,0.0135135135135135,PASS,analog_only
20,10,7,0.00012408182734957,0.0429765006710692,0.000105651520813525,5.65152081352511,0.0502207618660482,0.441523732096472,0.0067567567567568,FAIL,analog_only
20,10,8,0.000109221135519827,0.0550890410739001,0.000103231482299028,3.2314822990279,0.0488092458300967,2.38150833980657,0.0067567567567568,FAIL,analog_only
