voltage_architecture,D,load,load_scale,C_F,ESR_Ohm,AFE_component_tolerance,AFE_highpass_Hz,AFE_lowpass_Hz,kR_raw,kR_after_once_calibration,raw_deviation_percent,calibrated_deviation_percent,one_time_calibration_within_1_percent
V1,0.3,high,2,8e-05,0.05,-0.01,0,1200000,0.90252,0.990909090909091,-9.748,-0.909090909090915,1
V1,0.3,high,2,8e-05,0.05,0.01,0,1200000,0.92092,0.991089108910891,-7.90799999999998,-0.89108910891087,1
V1,0.3,high,2,8e-05,0.05,0.05,0,1200000,0.95772,0.991428571428571,-4.22799999999999,-0.857142857142856,1
V1,0.3,high,2,8e-05,0.075,-0.05,0,1200000,0.86779,0.992894736842105,-13.221,-0.710526315789484,1
V1,0.3,high,2,8e-05,0.075,-0.01,0,1200000,0.90459,0.993181818181818,-9.541,-0.681818181818183,1
V1,0.3,high,2,8e-05,0.075,0.01,0,1200000,0.92299,0.993316831683168,-7.701,-0.668316831683169,1
V1,0.3,high,2,8e-05,0.075,0.05,0,1200000,0.95979,0.993571428571429,-4.021,-0.642857142857145,1
V1,0.3,high,2,8e-05,0.1,-0.05,0,1200000,0.86986,0.995263157894737,-13.014,-0.473684210526304,1
V1,0.3,high,2,8e-05,0.1,-0.01,0,1200000,0.90666,0.995454545454546,-9.33399999999999,-0.454545454545441,1
V1,0.3,high,2,8e-05,0.1,0.01,0,1200000,0.92506,0.995544554455446,-7.49399999999999,-0.445544554455435,1
V1,0.3,high,2,8e-05,0.1,0.05,0,1200000,0.96186,0.995714285714286,-3.81399999999998,-0.428571428571423,1
V1,0.3,high,2,9e-05,0.05,-0.05,0,1200000,0.86848,0.993684210526316,-13.152,-0.631578947368416,1
V1,0.3,high,2,9e-05,0.05,-0.01,0,1200000,0.90528,0.993939393939394,-9.472,-0.60606060606061,1
V1,0.3,high,2,9e-05,0.05,0.01,0,1200000,0.92368,0.994059405940594,-7.63199999999999,-0.594059405940595,1
V1,0.3,high,2,9e-05,0.05,0.05,0,1200000,0.96048,0.994285714285714,-3.95199999999999,-0.571428571428567,1
V1,0.3,high,2,9e-05,0.075,-0.05,0,1200000,0.87055,0.996052631578947,-12.945,-0.39473684210527,1
V1,0.3,high,2,9e-05,0.075,-0.01,0,1200000,0.90735,0.996212121212121,-9.265,-0.37878787878789,1
V1,0.3,high,2,9e-05,0.075,0.01,0,1200000,0.92575,0.996287128712871,-7.42499999999999,-0.371287128712872,1
V1,0.3,high,2,9e-05,0.075,0.05,0,1200000,0.96255,0.996428571428571,-3.74499999999999,-0.357142857142856,1
V1,0.3,high,2,9e-05,0.1,-0.05,0,1200000,0.87262,0.998421052631579,-12.738,-0.157894736842101,1
V1,0.3,high,2,9e-05,0.1,-0.01,0,1200000,0.90942,0.998484848484849,-9.05799999999999,-0.151515151515147,1
V1,0.3,high,2,9e-05,0.1,0.01,0,1200000,0.92782,0.998514851485149,-7.218,-0.148514851485149,1
V1,0.3,high,2,9e-05,0.1,0.05,0,1200000,0.96462,0.998571428571429,-3.538,-0.142857142857145,1
V1,0.3,high,2,0.0001,0.05,-0.05,0,1200000,0.87124,0.996842105263158,-12.876,-0.315789473684214,1
V1,0.3,high,2,0.0001,0.05,-0.01,0,1200000,0.90804,0.996969696969697,-9.19599999999999,-0.303030303030305,1
V1,0.3,high,2,0.0001,0.05,0.01,0,1200000,0.92644,0.997029702970297,-7.35599999999998,-0.297029702970286,1
V1,0.3,high,2,0.0001,0.05,0.05,0,1200000,0.96324,0.997142857142857,-3.67599999999998,-0.285714285714278,1
V1,0.3,high,2,0.0001,0.075,-0.05,0,1200000,0.87331,0.999210526315789,-12.669,-0.0789473684210562,1
V1,0.3,high,2,0.0001,0.075,-0.01,0,1200000,0.91011,0.999242424242424,-8.989,-0.0757575757575846,1
V1,0.3,high,2,0.0001,0.075,0.01,0,1200000,0.92851,0.999257425742574,-7.14899999999999,-0.0742574257425743,1
V1,0.3,high,2,0.0001,0.075,0.05,0,1200000,0.96531,0.999285714285714,-3.469,-0.0714285714285778,1
V1,0.3,high,2,0.0001,0.1,-0.05,0,1200000,0.87538,1.00157894736842,-12.462,0.15789473684209,1
V1,0.3,high,2,0.0001,0.1,-0.01,0,1200000,0.91218,1.00151515151515,-8.782,0.151515151515147,1
