operating_case,Vin,D,load,C,ESR,i1,i2,I_sum,edge_ESR_signal_mV,charge_C_signal_mV,Q_safe_C,vT_baseline_V,edge_global_min_mV,edge_global_median_mV,edge_global_max_mV,charge_global_min_mV,charge_global_median_mV,charge_global_max_mV
high_load,24,0.4,high,8e-05,0.1,2.0704907292927,3.05672883785741,5.12721956715012,512.721956715012,275.127489992692,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,9e-05,0.05,2.0704907292927,3.05672883785741,5.12721956715012,256.360978357506,244.557768882392,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,9e-05,0.075,2.0704907292927,3.05672883785741,5.12721956715012,384.541467536259,244.557768882392,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,9e-05,0.1,2.0704907292927,3.05672883785741,5.12721956715012,512.721956715012,244.557768882392,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,0.0001,0.05,2.0704907292927,3.05672883785741,5.12721956715012,256.360978357506,220.101991994153,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,0.0001,0.075,2.0704907292927,3.05672883785741,5.12721956715012,384.541467536259,220.101991994153,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_load,24,0.4,high,0.0001,0.1,2.0704907292927,3.05672883785741,5.12721956715012,512.721956715012,220.101991994153,2.20101991994153e-05,39.8106183400511,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_D,24,0.65,high_D,8e-05,0.05,10.5293552628272,5.52973525851252,16.0556944384439,802.784721922195,807.95426949521,6.46363415596168e-05,68.3499448770754,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_D,24,0.65,high_D,8e-05,0.075,10.5293552628272,5.52973525851252,16.0556944384439,1204.17708288329,807.95426949521,6.46363415596168e-05,68.3499448770754,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
high_D,24,0.65,high_D,8e-05,0.1,10.5293552628272,5.52973525851252,16.0556944384439,1605.56944384439,807.95426949521,6.46363415596168e-05,68.3499448770754,31.9434621127594,250.605415693131,1605.56944384439,27.0035721633785,175.349799033426,807.95426949521
