voltage_architecture,architecture_name,ADC_mode,nominal_bits,ENOB,fs_adc_Hz,operating_case,C_F,ESR_Ohm,LSB_edge_plant_V,LSB_C_plant_V,ESR_edge_codes,C_charge_window_codes,RMS_noise_codes,ESR_code_risk,C_code_risk,edge_plant_span_V,C_plant_span_V,vT_baseline_V,separate_edge_channel
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,8e-05,0.1,0.0244200244200244,0.0244200244200244,65.7480687254278,33.0857273358288,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,9e-05,0.05,0.0244200244200244,0.0244200244200244,32.8740343627139,29.4095354096256,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,9e-05,0.075,0.0244200244200244,0.0244200244200244,49.3110515440709,29.4095354096256,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,9e-05,0.1,0.0244200244200244,0.0244200244200244,65.7480687254278,29.4095354096256,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,0.0001,0.05,0.0244200244200244,0.0244200244200244,32.8740343627139,26.4685818686631,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,0.0001,0.075,0.0244200244200244,0.0244200244200244,49.3110515440709,26.4685818686631,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,0.0001,0.1,0.0244200244200244,0.0244200244200244,65.7480687254278,26.4685818686631,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,8e-05,0.05,0.00152590218966964,0.00152590218966964,20.9341478955969,22.1209887715876,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,8e-05,0.075,0.00152590218966964,0.00152590218966964,31.4012218433953,22.1209887715876,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,8e-05,0.1,0.00152590218966964,0.00152590218966964,41.8682957911938,22.1209887715876,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
