path_id,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,operating_case,Vin_V,D,load,C_true_F,ESR_true_Ohm,I_sum_A,edge_ESR_signal_mV,charge_C_signal_mV,current_full_scale_A,multi_cycle,calibration_level,locked_guard_us,locked_window_us,locked_points_per_side,sampling_geometry_feasible,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,C_bias_percent,ESR_bias_percent,NEES,CI_C_95_coverage,CI_ESR_95_coverage,convergence_cycles,accepted_edge_updates,accuracy_pass
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,0.0001,0.05,5.12721956715012,256.360978357506,220.101991994153,20,1024,Cal3,0.2,1.5,6,1,0.000100158812002068,0.0502829609898601,6.96659878825708,6.31959725453201,0.158812002067865,0.565921979720274,90.7587790081695,0.4,0.4,80,1022.775,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,0.0001,0.075,5.12721956715012,384.541467536259,220.101991994153,20,1024,Cal3,0.2,1.5,6,1,9.80946538083351e-05,0.0761970549215906,7.06897493279106,4.59068752873093,-1.90534619166495,1.59607322878748,72.0422529504934,0.375,0.375,80,1022.325,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,0.0001,0.1,5.12721956715012,512.721956715012,220.101991994153,20,1024,Cal3,0.2,1.5,6,1,0.000101907279791929,0.0992523930958097,8.18583122900856,1.78845168459069,1.907279791929,-0.747606904190345,59.1162330415459,0.275,0.675,80,1022.925,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,8e-05,0.05,16.0556944384439,802.784721922195,807.95426949521,20,1024,Cal3,0.2,1.5,6,1,8.0004216987325e-05,0.0499947466804817,0.0907119381564939,0.235558999129395,0.00527123415625663,-0.0105066390365116,0.069731688240238,1,1,6,1023.5,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,8e-05,0.075,16.0556944384439,1204.17708288329,807.95426949521,20,1024,Cal3,0.2,1.5,6,1,7.99930088032058e-05,0.0750181763552281,0.249810607740145,1.77408118947929,-0.00873899599269645,0.0242351403041852,3.32203619074951,0.95,0.75,6,1023.375,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,8e-05,0.1,16.0556944384439,1605.56944384439,807.95426949521,20,1024,Cal3,0.2,1.5,6,1,8.00473163619202e-05,0.0999209670076657,0.185928987255601,0.251750792843578,0.0591454524002666,-0.0790329923342714,0.259535397093001,0.975,1,6,1023.55,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,9e-05,0.05,16.0556944384439,802.784721922195,718.181572884631,20,1024,Cal3,0.2,1.5,6,1,8.98978370989573e-05,0.0500273427019011,0.199929494936181,0.302511102221062,-0.113514334491893,0.0546854038021349,0.389150428464883,0.975,0.975,8,1023.7,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,9e-05,0.075,16.0556944384439,1204.17708288329,718.181572884631,20,1024,Cal3,0.2,1.5,6,1,8.99507932707799e-05,0.0752724404082982,0.237861449362906,1.66815245778776,-0.0546741435779041,0.363253877730951,2.81953063044718,0.975,0.925,8,1023.525,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,9e-05,0.1,16.0556944384439,1605.56944384439,718.181572884631,20,1024,Cal3,0.2,1.5,6,1,9.00060749113094e-05,0.0999499894144009,0.275306785573476,0.285282652961942,0.00674990145483889,-0.050010585599114,0.581933274809738,0.95,1,8,1023.475,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,0.0001,0.05,16.0556944384439,802.784721922195,646.363415596168,20,1024,Cal3,0.2,1.5,6,1,0.000100003595992696,0.0499694527005914,0.206771043913477,0.256987497011639,0.00359599269592614,-0.0610945988171907,0.133569075666007,1,1,10,1023.65,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,0.0001,0.075,16.0556944384439,1204.17708288329,646.363415596168,20,1024,Cal3,0.2,1.5,6,1,9.98638867659613e-05,0.0751223621557613,0.469216138211459,1.63812386621493,-0.136113234038726,0.16314954101504,3.25268013742269,0.95,0.825,10,1023.675,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_D,24,0.65,high_D,0.0001,0.1,16.0556944384439,1605.56944384439,646.363415596168,20,1024,Cal3,0.2,1.5,6,1,0.00010009987458832,0.100028947587624,0.260509499770495,0.296697184667702,0.0998745883195484,0.0289475876238843,0.460777422427245,0.975,1,10,1023.625,1
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,8e-05,0.05,0.638869242255188,31.9434621127594,33.7544652042231,20,1024,Cal3,0.2,1.5,6,1,9.08799889149419e-05,0.0498438307903318,29.5656596334218,0.997683805104208,13.5999861436773,-0.312338419336311,125.892270225659,0.675,0.95,1024,1023.625,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,8e-05,0.075,0.638869242255188,47.9151931691391,33.7544652042231,20,1024,Cal3,0.2,1.5,6,1,9.39633747787537e-05,0.0749123869253424,29.1381488080725,1.50162372930182,17.4542184734422,-0.116817432876759,117.700612215484,0.575,0.725,1024,1023.6,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,8e-05,0.1,0.638869242255188,63.8869242255188,33.7544652042231,20,1024,Cal3,0.2,1.5,6,1,8.45314601458068e-05,0.0998087636318769,23.4823686409363,0.93028003968229,5.66432518225854,-0.191236368123082,169.359268658873,0.65,0.875,1024,1023.6,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,9e-05,0.05,0.638869242255188,31.9434621127594,30.0039690704206,20,1024,Cal3,0.2,1.5,6,1,0.000128957431310903,0.049987752498734,56.2897530207374,1.00041658156039,43.2860347898927,-0.0244950025320434,99.5559527699051,0.475,0.925,1024,1023.575,0
