fs_adc_Hz,adc_bits,afe_order,afe_fc_v_Hz,afe_fc_i_Hz,phase_accuracy_pass_fraction,phase_robust_alias_pass_fraction,worst_C_MAPE_percent,worst_ESR_MAPE_percent,worst_alias_ratio_dB,minimum_points_per_side
1000000,14,1,2000000,500000,0,0,3.00860526926162,20,-22.5547398753345,0
1000000,14,1,2000000,1000000,0,0,2.98941206680228,20,-22.5547398753345,0
1000000,14,1,2000000,2000000,0,0,2.89711703776233,20,-22.5547398753345,0
1000000,14,1,3000000,250000,0,0,1.56269431639839,20,-21.9265159471221,0
1000000,14,1,3000000,500000,0,0,3.05472215454525,20,-21.9265159471221,0
1000000,14,1,3000000,1000000,0,0,3.86779042935164,20,-21.9265159471221,0
1000000,14,1,3000000,2000000,0,0,2.84708145613618,20,-21.9265159471221,0
1000000,14,2,250000,250000,0,0,7.7182031644554,20,-39.2645343055957,0
1000000,14,2,250000,500000,0,0,8.83916668826603,20,-38.2738586167287,0
1000000,14,2,250000,1000000,0,0,11.1024705062685,20,-37.0588407460092,0
1000000,14,2,250000,2000000,0,0,9.95951825077559,20,-36.6474521709638,0
1000000,14,2,500000,250000,0,0,6.14114335696048,20,-29.7361829059267,0
1000000,14,2,500000,500000,0,0,5.97714285309151,20,-29.7361829059267,0
1000000,14,2,500000,1000000,0,0,6.04455741534566,20,-29.7361829059267,0
1000000,14,2,500000,2000000,0,0,7.22388779363068,20,-29.7361829059267,0
1000000,14,2,1000000,250000,0,0,2.94243670342778,20,-24.2600835485871,0
1000000,14,2,1000000,500000,0,0,1.48943175473428,20,-24.2600835485871,0
1000000,14,2,1000000,1000000,0,0,1.9693155998711,20,-24.2600835485871,0
1000000,14,2,1000000,2000000,0,0,0.807336660298974,20,-24.2600835485871,0
1000000,14,2,1500000,250000,0,0,0.726042735147836,20,-22.8989504670099,0
1000000,14,2,1500000,500000,0,0,2.48284408512384,20,-22.8989504670099,0
1000000,14,2,1500000,1000000,0,0,2.99191153884779,20,-22.8989504670099,0
1000000,14,2,1500000,2000000,0,0,2.39623753224922,20,-22.8989504670099,0
1000000,14,2,2000000,250000,0,0,0.660410029877778,20,-22.3122393738969,0
1000000,14,2,2000000,500000,0,0,2.29140866140046,20,-22.3122393738969,0
1000000,14,2,2000000,1000000,0,0,2.80880253122122,20,-22.3122393738969,0
1000000,14,2,2000000,2000000,0,0,2.5114077345352,20,-22.3122393738969,0
1000000,14,2,3000000,250000,0,0,1.65317645898864,20,-21.7733724988682,0
1000000,14,2,3000000,500000,0,0,2.10724385833903,20,-21.7733724988682,0
1000000,14,2,3000000,1000000,0,0,2.90575856105321,20,-21.7733724988682,0
1000000,14,2,3000000,2000000,0,0,1.48143147347516,20,-21.7733724988682,0
1000000,16,1,250000,250000,0,0,6.04752341706403,20,-32.067654602781,0
1000000,16,1,250000,500000,0,0,4.87456612531634,20,-32.067654602781,0
1000000,16,1,250000,1000000,0,0,4.77406898720121,20,-32.067654602781,0
1000000,16,1,250000,2000000,0,0,3.47763965524841,20,-32.067654602781,0
1000000,16,1,500000,250000,0,0,7.97182109809129,20,-27.5140860398099,0
1000000,16,1,500000,500000,0,0,8.86532254299986,20,-27.5140860398099,0
1000000,16,1,500000,1000000,0,0,8.37367553913833,20,-27.5140860398099,0
1000000,16,1,500000,2000000,0,0,8.08976495130512,20,-27.5140860398099,0
1000000,16,1,1000000,250000,0,0,0.930061216874001,20,-24.3465086093212,0
1000000,16,1,1000000,500000,0,0,1.20994481239048,20,-24.3465086093212,0
1000000,16,1,1000000,1000000,0,0,1.37039392895285,20,-24.3465086093212,0
1000000,16,1,1000000,2000000,0,0,1.50944394820628,20,-24.3465086093212,0
1000000,16,1,1500000,250000,0,0,1.4529100077149,20,-23.1650768344844,0
1000000,16,1,1500000,500000,0,0,1.49721791394648,20,-23.1650768344844,0
1000000,16,1,1500000,1000000,0,0,1.59009286697713,20,-23.1650768344844,0
1000000,16,1,1500000,2000000,0,0,0.949595055675467,20,-23.1650768344844,0
1000000,16,1,2000000,250000,0,0,1.46717097901614,20,-22.5547398753345,0
1000000,16,1,2000000,500000,0,0,2.03832719479737,20,-22.5547398753345,0
1000000,16,1,2000000,1000000,0,0,2.32225903891135,20,-22.5547398753345,0
1000000,16,1,2000000,2000000,0,0,0.958010945883636,20,-22.5547398753345,0
1000000,16,1,3000000,250000,0,0,1.42792375445769,20,-21.9265159471221,0
1000000,16,1,3000000,500000,0,0,1.28159920783263,20,-21.9265159471221,0
1000000,16,1,3000000,1000000,0,0,1.56697226535142,20,-21.9265159471221,0
1000000,16,1,3000000,2000000,0,0,1.60396012707082,20,-21.9265159471221,0
1000000,16,2,250000,250000,0,0,10.5169571451317,20,-39.2645343055957,0
1000000,16,2,250000,500000,0,0,11.0611227837006,20,-38.2738586167287,0
1000000,16,2,250000,1000000,0,0,11.7243711131532,20,-37.0588407460092,0
1000000,16,2,250000,2000000,0,0,11.9398510115551,20,-36.6474521709638,0
1000000,16,2,500000,250000,0,0,5.89201238737983,20,-29.7361829059267,0
1000000,16,2,500000,500000,0,0,6.33436352280685,20,-29.7361829059267,0
1000000,16,2,500000,1000000,0,0,5.52935559410366,20,-29.7361829059267,0
1000000,16,2,500000,2000000,0,0,5.65141208254798,20,-29.7361829059267,0
1000000,16,2,1000000,250000,0,0,4.74214241717366,20,-24.2600835485871,0
1000000,16,2,1000000,500000,0,0,2.21161811161859,20,-24.2600835485871,0
1000000,16,2,1000000,1000000,0,0,2.46124922979298,20,-24.2600835485871,0
1000000,16,2,1000000,2000000,0,0,2.86735769928665,20,-24.2600835485871,0
1000000,16,2,1500000,250000,0,0,0.0504512789263334,20,-22.8989504670099,0
1000000,16,2,1500000,500000,0,0,2.12310167470636,20,-22.8989504670099,0
1000000,16,2,1500000,1000000,0,0,1.75952803152598,20,-22.8989504670099,0
1000000,16,2,1500000,2000000,0,0,2.0472862157206,20,-22.8989504670099,0
1000000,16,2,2000000,250000,0,0,1.26247681065161,20,-22.3122393738969,0
1000000,16,2,2000000,500000,0,0,1.02803281390993,20,-22.3122393738969,0
1000000,16,2,2000000,1000000,0,0,1.57145347168294,20,-22.3122393738969,0
1000000,16,2,2000000,2000000,0,0,1.26335423670585,20,-22.3122393738969,0
1000000,16,2,3000000,250000,0,0,0.883964912094992,20,-21.7733724988682,0
1000000,16,2,3000000,500000,0,0,1.72504889195058,20,-21.7733724988682,0
1000000,16,2,3000000,1000000,0,0,1.35241133601895,20,-21.7733724988682,0
1000000,16,2,3000000,2000000,0,0,1.02233587719416,20,-21.7733724988682,0
1600000,14,1,250000,250000,0,0,18.4469907115841,46.1594392229603,-37.4831195261177,3
1600000,14,1,250000,500000,0,0,17.3856564101581,46.2691908911964,-37.4831195261177,3
