operating_case,Vin_V,D,Rload_Ohm,ESL_nH,jitter_rms_ns,absolute_voltage_delay_ns,seed_count,pass_probability,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,NEES_param_mean,CI_C_95_coverage,CI_ESR_95_coverage,meets_95_percent_boundary
high_load,24,0.4,5,1,20,200,20,0.8,2.16883412556811,8.4675877330363,3.37722231429921,4.79142761079698,71.3589771812651,0.55,0,0
high_load,24,0.4,5,1,20,250,20,0.5,0.475098728839242,1.14423390905405,3.97361107562737,5.74732144627846,70.872747253465,1,0,0
high_load,24,0.4,5,1,20,300,20,0.45,1.18460124338188,7.66767055417066,5.00794245415929,7.00672499493496,107.770993425508,0.9,0,0
high_load,24,0.4,5,1,20,400,20,0,0.334345271469333,0.982525797174849,8.77502924136349,9.26063456208849,214.555232488835,1,0,0
high_load,24,0.4,5,1,20,500,20,0,1.8275030389661,3.92911498638169,19.5854581796366,29.3957405406986,383.734292430267,0.5,0,0
high_load,24,0.4,5,1,50,0,20,1,0.286393875923961,0.787415500963579,0.399340697342048,0.70434099843546,2.07659027567577,1,1,1
high_load,24,0.4,5,1,50,50,20,1,0.554348851418114,1.32643539283437,0.898292752626231,1.75171718537497,6.28383760605959,0.95,0.5,1
high_load,24,0.4,5,1,50,100,20,1,1.17935465528447,2.57202596839529,1.80299856203266,2.63827775402208,15.5824609346402,0.55,0.1,1
high_load,24,0.4,5,1,50,150,20,0.6,2.04605710822019,4.59668862558842,2.65150546248314,3.76531842288825,34.8272798413314,0.5,0,0
high_load,24,0.4,5,1,50,200,20,0.55,3.02076225436424,7.29485531925155,3.4310021990457,4.87344792089432,73.8523811087371,0.5,0,0
high_load,24,0.4,5,1,50,250,20,0.35,1.80867540604688,11.0743690333571,4.08666371640378,5.97680294678384,78.648294439685,0.75,0,0
high_load,24,0.4,5,1,50,300,20,0.45,1.05466533908433,3.09159292236119,5.09835626346377,6.97110386100305,85.5959832041274,0.75,0,0
high_load,24,0.4,5,1,50,400,20,0,0.517533024950767,1.3467236961532,8.43980075082905,9.37874569220786,185.805795822921,1,0,0
high_load,24,0.4,5,1,50,500,20,0,2.05493671154794,5.1856753796388,17.8416489394375,28.1455672792227,322.377297865942,0.5,0,0
high_D_CCM,24,0.6,7.5,1,0,0,20,1,0.26179309412056,0.466409425733116,0.131129501003631,0.265904752059698,0.953039775828727,1,1,1
high_D_CCM,24,0.6,7.5,1,0,50,20,1,0.227212897568247,0.47743008669987,0.946646983017835,1.20935233478029,5.42520640445962,1,0,1
high_D_CCM,24,0.6,7.5,1,0,100,20,1,0.592654460574448,1.11458624014152,1.81347569784266,2.26164729660109,17.6967889317145,0.65,0,1
high_D_CCM,24,0.6,7.5,1,0,150,20,1,0.153132670437752,0.384696772480159,2.57536993096622,3.29918784727917,33.7096324909054,1,0,1
high_D_CCM,24,0.6,7.5,1,0,200,20,1,0.153631743156858,0.320391950256915,3.19708202964677,4.35843572448205,55.4400691166195,1,0,1
high_D_CCM,24,0.6,7.5,1,0,250,20,0.5,0.233339289883544,0.518816065208383,3.82181788071176,5.41908603552338,80.3830719302373,1,0,0
high_D_CCM,24,0.6,7.5,1,0,300,20,0.5,0.252476778269841,0.435609159077355,4.6462832091337,6.42230281828911,112.502932364207,1,0,0
high_D_CCM,24,0.6,7.5,1,0,400,20,0,0.173404834552371,0.376380603799298,8.75427487213985,9.21790246073363,257.006071182521,1,0,0
high_D_CCM,24,0.6,7.5,1,0,500,20,0,0.643831219353959,1.34136402028828,20.0951143372647,29.8644933167099,440.50917546991,0.5,0,0
high_D_CCM,24,0.6,7.5,1,20,0,20,1,0.234518830971442,0.586592007760062,0.15238198423127,0.366501954696485,0.916237664266091,1,1,1
high_D_CCM,24,0.6,7.5,1,20,50,20,1,0.250938798336625,0.469084644369661,0.884542768496996,1.28266980231714,5.3446389861541,1,0.2,1
high_D_CCM,24,0.6,7.5,1,20,100,20,1,0.742805063691991,1.59452544231857,1.76501828010902,2.18998205866456,17.7742266319643,0.55,0,1
high_D_CCM,24,0.6,7.5,1,20,150,20,1,0.134319522969589,0.39833217854755,2.56369636280302,3.33634933050656,32.1506744958072,1,0,1
high_D_CCM,24,0.6,7.5,1,20,200,20,1,0.205515210648509,0.50268503238301,3.23875176458221,4.40160984040699,52.7967944641601,1,0,1
high_D_CCM,24,0.6,7.5,1,20,250,20,0.5,0.257396832839376,0.609481515434263,3.84898067107327,5.41383192925402,76.8758558291812,1,0,0
high_D_CCM,24,0.6,7.5,1,20,300,20,0.5,0.298190050933863,0.63091021192716,4.77337262223945,6.4278039054481,107.912921032853,1,0,0
high_D_CCM,24,0.6,7.5,1,20,400,20,0,0.208190092828042,0.525576502158792,8.49374486472801,9.12105825222209,243.387165170582,1,0,0
high_D_CCM,24,0.6,7.5,1,20,500,20,0,0.601152487638507,1.20599777069014,19.1869556339255,28.8308514262227,415.462096804655,0.65,0,0
high_D_CCM,24,0.6,7.5,1,50,0,20,1,0.474456806596046,1.03800395465333,0.224733614579532,0.497667005464053,1.55877613559858,0.9,1,1
