test_id,Vin_V,D,load_fraction,Rload_Ohm,ccm_margin_A,rank_Phi,cond_Phi_normalized,RLS_C_MAPE_percent,RLS_ESR_MAPE_percent,LTVKF_C_MAPE_percent,LTVKF_ESR_MAPE_percent,LTVKF_robust_C_MAPE_percent,LTVKF_robust_ESR_MAPE_percent,LTVKF_adaptive_C_MAPE_percent,LTVKF_adaptive_ESR_MAPE_percent,LTVKF_convergence_s,rank_Obs,cond_Obs,min_singular_Obs,status
57,28.8,0.35,0.25,40,-0.0380900322567423,2,1.04040574076121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
58,28.8,0.35,0.5,20,0.177078817707546,2,1.01350662051346,0.00992939183477315,3.29835061464699,0.0913711543199192,1.00197043428267,0.0846459874926597,1.03943024683708,0.0831606292919895,1.04188843264565,7.10000000000034e-06,3,6898.47450037555,0.000557852543744482,CCM
59,28.8,0.35,0.75,13.3333333333333,0.391501281727951,2,1.00619415995344,0.000944173737704723,1.8139410681004,0.0657259074144712,1.00198188138818,0.0639990385497557,1.04873570971359,0.063434740889512,1.05095187658246,7.10000000000034e-06,3,7839.38048380079,0.00054138930288903,CCM
60,28.8,0.35,1,10,0.605224572919297,2,1.00341187600223,0.00211437451225205,1.12625276205784,0.050248031263711,1.0015893249084,0.0507188789661384,1.05574633174704,0.0506023991112214,1.05795758598383,0.0001003,3,9088.7685483829,0.000516560820053876,CCM
61,28.8,0.45,0.1,100,-0.299926930177078,2,1.05569301644251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
62,28.8,0.45,0.25,40,0.00764632597857669,2,1.01769785018902,0.0486382770925164,2.95111194177932,0.0014560885024606,1.00793806141748,0.0207863884078341,1.06948517923151,0.0317608508525913,1.07725836385063,9.00000000000033e-06,3,4392.10063846122,0.000850650558545877,CCM
63,28.8,0.45,0.5,20,0.517352564086534,2,1.00492619982132,0.00338001206363625,1.17914374092715,0.0065111200539314,1.0047679282189,0.00158762098041443,1.08165772270802,0.00748951419833332,1.08770420913653,9.00000000000033e-06,3,5865.306136394,0.000812117985106263,CCM
64,28.8,0.45,0.75,13.3333333333333,1.02363177583317,2,1.00213083616277,0.000243513870834544,0.608902423767399,0.00582024970173789,1.00297852854965,0.00431315979768643,1.08750018731485,0.00188473971810543,1.09413350801263,3.79e-05,3,8318.49805791163,0.000724247271018969,CCM
65,28.8,0.45,1,10,1.52671416337249,2,1.00120319910316,0.000595446620210716,0.367275129263422,0.00435879611241363,1.00189261496039,0.00584646983836645,1.08823562252736,0.00500225490924766,1.09650710389815,9.00000000000033e-06,3,12391.3572757329,0.00060203894354814,CCM
66,28.8,0.55,0.1,100,-0.405331846670231,2,1.2175260330346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
67,28.8,0.55,0.25,40,0.286322845282597,2,1.0324317221004,0.0126459431085135,1.8839553533002,0.0392438342196044,1.00967048297431,0.0430766403338279,1.09319965069428,0.0444047627055966,1.10522106031379,1.10000000000002e-05,3,4208.73316013395,0.00102675232121782,CCM
68,28.8,0.55,0.5,20,1.23244988646009,2,1.00647817081035,0.00192683490320977,0.509575551056918,0.0207409348147891,1.00447675021225,0.0165330551840093,1.10259516436397,0.0177258476732112,1.11337826804052,0.0002172,3,7331.87688952011,0.000896342194504344,CCM
69,28.8,0.55,0.75,13.3333333333333,2.11809031388437,2,1.00235410428514,0.000761693396733598,0.226089865609369,0.0160500962959942,1.0020971709037,0.00925654284913424,1.09611274198462,0.00810309279031252,1.1112765289505,1.10000000000002e-05,3,14001.2791549884,0.00065180858507815,CCM
70,28.8,0.55,1,10,2.99930673403581,2,1.00102965338166,0.000412585959719269,0.126648581354039,0.013894285258953,1.00076783736065,0.00630900931641865,1.085578189944,0.00444951646771941,1.10450097845385,1.10000000000002e-05,3,27451.9870143254,0.000446229418431266,CCM
71,28.8,0.65,0.1,100,-0.210466626576766,2,1.10730595620505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
72,28.8,0.65,0.25,40,0.632803371279466,2,1.0129448929444,0.00692101828430047,0.614116364550266,44.1775637050258,213.658039877088,2.32668138159788,9.76985240181667,0.00719216010517387,1.12625416537354,0.0002114,3,6349.40929419922,0.000944963650046332,CCM
73,28.8,0.65,0.5,20,2.02469794723331,2,1.00230953362049,0.000716232654285331,0.140908632054959,0.0366444429282131,1.00260086546519,0.0210887857446274,1.09470436753386,0.00605445271435467,1.11661953708666,1.31000000000003e-05,3,21242.5782143927,0.000590418465846496,CCM
74,28.8,0.65,0.75,13.3333333333333,3.36443723551336,2,1.00067035445931,0.000259515586853443,0.0606222974700255,0.0274118239458776,1.00001888772279,0.014701731646638,1.0725565250992,0.00689918619964924,1.09989644764614,1.31000000000003e-05,3,60874.852983587,0.000340438469763378,CCM
75,28.8,0.65,1,10,4.68323073392997,2,1.00015698115509,0.000137244673714676,0.0336644422108789,0.0224490398629928,0.998661684423474,0.0110775899990312,1.05773234179992,0.00577223316282627,1.0859346912779,1.31000000000003e-05,3,130132.212289266,0.000219407155870166,CCM
