cycle,time_s,vT_minus_V,vT_plus_V,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
28,0.01652,40.2363854141549,40.1183789732099,0.118006440945081,0.920973975270966,1.43915484363064,0.0500000000000001,0.05
29,0.01654,40.237277996535,40.11897519252,0.118302804014952,0.924588750830292,1.4414673294688,0.0499999999999991,0.05
30,0.01656,40.2384112728897,40.1198143646696,0.11859690822012,0.928181639802714,1.44375652459977,0.049999999999998,0.05
31,0.01658,40.2415602709434,40.1234753222148,0.118084948728594,0.923667703715421,1.43803127085646,0.0499999999999999,0.05
32,0.0166,40.244614694411,40.1270437931846,0.117570901226458,0.919073836439129,1.43234418809002,0.0500000000000001,0.05
33,0.01662,40.2458061990766,40.1279472436961,0.117858955380498,0.922482632861929,1.43469647474806,0.0499999999999995,0.05
34,0.01664,40.2472095233255,40.1290642684173,0.118145254908228,0.925862813502812,1.43704228466173,0.0500000000000004,0.05
35,0.01666,40.2505884269536,40.1329626075759,0.11762581937765,0.921128518653988,1.43138786889902,0.05,0.05
36,0.01668,40.2538397474012,40.13673493929,0.117104808111208,0.916309241879863,1.42578692034433,0.0499999999999992,0.05
37,0.0167,40.2569492967399,40.1403665372976,0.116582759442295,0.911408268433385,1.42024692041254,0.0499999999999995,0.05
38,0.01672,40.2581668255612,40.1413027079198,0.116864117641413,0.91451155610919,1.42277079671894,0.0500000000000026,0.05
39,0.01674,40.2595455731515,40.1424008056317,0.117144767519854,0.917586380515048,1.42530896988202,0.0500000000000001,0.05
40,0.01676,40.2628276196207,40.1462071433305,0.116620476290215,0.912545948908931,1.41986357689535,0.0500000000000007,0.05
41,0.01678,40.2659287123255,40.1498330494903,0.116095662835185,0.907423704933486,1.4144895517703,0.0499999999999983,0.05
42,0.0168,40.2671077637181,40.1507328108227,0.116374952895463,0.910308218807501,1.41719083910175,0.0499999999999999,0.05
43,0.01682,40.268407667487,40.1517536242525,0.116654043234576,0.913165838492274,1.41991502619928,0.049999999999999,0.05
44,0.01684,40.2715601978072,40.1554316780078,0.116128519799332,0.90790912175582,1.41466127423087,0.049999999999999,0.05
45,0.01686,40.2744908448355,40.1588878605241,0.115602984311479,0.902574377788284,1.40948530844131,0.0499999999999999,0.05
46,0.01688,40.2754685641599,40.1595863320007,0.115882232159237,0.905252719896314,1.41239192328834,0.0500000000000017,0.05
47,0.0169,40.2765265684018,40.1603647921719,0.116161776229944,0.907909641477669,1.41532588312115,0.0500000000000016,0.05
48,0.01692,40.2793871242179,40.1637500889471,0.115637035270787,0.902457203943851,1.41028350147199,0.0499999999999976,0.05
49,0.01694,40.2819863161601,40.1668735372875,0.115112778872565,0.896934424240989,1.40532115321036,0.0499999999999987,0.05
50,0.01696,40.2826038569053,40.1672099094956,0.11539394740965,0.899434685253077,1.40844426293995,0.0499999999999997,0.05
51,0.01698,40.2832640965901,40.1675882091667,0.115675887423436,0.901922754549114,1.41159499391964,0.0499999999999991,0.05
52,0.017,40.285680731918,40.1705268544201,0.11515387749791,0.896310399486825,1.40676715047132,0.0500000000000013,0.05
53,0.01702,40.2878010857522,40.1731682584125,0.114632827339669,0.890638981676253,1.4020175651172,0.0499999999999984,0.05
54,0.01704,40.2896126792281,40.1754994195028,0.114113259725336,0.884915837757866,1.39734935674874,0.0500000000000026,0.05
55,0.01706,40.289417528902,40.175017273315,0.114400255586901,0.887236637000302,1.4007684747377,0.0500000000000002,0.05
56,0.01708,40.2892222820772,40.1745333083124,0.1146889737648,0.889565381954281,1.40421409334164,0.0500000000000015,0.05
57,0.0171,40.2907235458728,40.1765489835433,0.114174562329488,0.883813987117731,1.39967725947206,0.0499999999999994,0.05
58,0.01712,40.2918914679798,40.1782294077114,0.113662060268425,0.878026223072447,1.39521498229593,0.0500000000000026,0.05
59,0.01714,40.2910395132118,40.1770829320442,0.113956581167606,0.880298587790403,1.39883303556181,0.0499999999999982,0.05
60,0.01716,40.2901677361049,40.1759145222378,0.114253213867144,0.882594955764503,1.40246932157841,0.0499999999999994,0.05
61,0.01718,40.290966747944,40.1772196681127,0.113747079831242,0.876827661458821,1.39811393516598,0.0500000000000009,0.05
62,0.0172,40.2914183102387,40.1781750702707,0.113243239968021,0.871041194511498,1.39382360484886,0.0500000000000014,0.05
63,0.01722,40.289847035635,40.1763002520584,0.113546783576595,0.873332076825011,1.39760359470685,0.0500000000000009,0.05
64,0.01724,40.2882473849912,40.1743946017605,0.113852783230747,0.875664338753022,1.40139132586205,0.0499999999999972,0.05
65,0.01726,40.2883050316714,40.1749486408908,0.113356390780645,0.869951029370113,1.39717678624286,0.0499999999999982,0.05
66,0.01728,40.2880128833239,40.1751502525215,0.112862630802347,0.864236502153033,1.39301611389387,0.050000000000001,0.05
67,0.0173,40.2857060694851,40.1725295611233,0.113176508361754,0.866616440040762,1.3969137271943,0.0500000000000003,0.05
68,0.01732,40.2833743592618,40.169881221254,0.113493138007804,0.869055333729314,1.40080742642681,0.0499999999999991,0.05
69,0.01734,40.2826994328099,40.1696916721896,0.113007760620327,0.863467236710492,1.39668797569598,0.0500000000000016,0.05
70,0.01736,40.2816845385187,40.1691592344525,0.112525304066267,0.857895475457908,1.39261060586744,0.0499999999999998,0.05
71,0.01738,40.2803292850294,40.168283044627,0.1120462404024,0.852348254917005,1.38857655313104,0.0499999999999988,0.05
72,0.0174,40.2769887603409,40.1646133619582,0.112375398382689,0.85491912304691,1.39258884460687,0.0499999999999998,0.05
73,0.01742,40.2736400440211,40.1609320398029,0.11270800421827,0.857573459837642,1.39658662452768,0.0500000000000016,0.05
74,0.01744,40.2719531448045,40.1597136665904,0.112239478214086,0.852227116322177,1.3925624479596,0.0499999999999986,0.05
75,0.01746,40.2699508843951,40.1581763285843,0.111774555810776,0.846921191068999,1.38856992514648,0.0500000000000008,0.05
76,0.01748,40.2659962572255,40.1538784176113,0.112117839614143,0.849746386660562,1.39261040562239,0.049999999999998,0.05
77,0.0175,40.2620634165801,40.1495986786983,0.112464737881808,0.852669335223959,1.39662542241229,0.049999999999998,0.05
78,0.01752,40.2598202905002,40.1478093992048,0.11201089129532,0.847607561937724,1.39261026396869,0.0499999999999997,0.05
79,0.01754,40.2572970395239,40.1457362408389,0.111560798685026,0.842599140662383,1.38861683303821,0.0499999999999986,0.05
80,0.01756,40.2528628444355,40.1409440527756,0.111918791659981,0.845731263191631,1.39264457000806,0.0499999999999985,0.05
81,0.01758,40.2484895351614,40.1362090266732,0.112280508488205,0.848972073331488,1.39663809643263,0.0499999999999994,0.05
82,0.0176,40.2458435628212,40.1340017133729,0.111841849448254,0.844240933048204,1.39259605591688,0.05,0.05
83,0.01762,40.2429605833503,40.131553549034,0.111407034316336,0.839572268624045,1.38856841770259,0.0500000000000019,0.05
84,0.01764,40.2382140485976,40.1264339574251,0.111780091172449,0.843049276801994,1.392552546647,0.0499999999999995,0.05
85,0.01766,40.2335739559617,40.1214170309815,0.112156924980184,0.846641820986087,1.39649667861757,0.0500000000000003,0.05
86,0.01768,40.2307057643159,40.1189720426716,0.111733721644342,0.842271194594181,1.39240323829266,0.0499999999999998,0.05
87,0.0177,40.2276486245008,40.1163342321267,0.111314392374169,0.837967750412644,1.3883200970707,0.0500000000000006,0.05
88,0.01772,40.2244102814903,40.1135109384562,0.110899343034106,0.833735941010714,1.38425091967129,0.0500000000000026,0.05
89,0.01774,40.2193748374146,40.1080826272115,0.111292210203047,0.837653735706221,1.38819046835471,0.0500000000000001,0.05
90,0.01776,40.2145026818764,40.1028134423336,0.11168923954277,0.841693223202345,1.39209156765302,0.0500000000000006,0.05
91,0.01778,40.2114508058799,40.1001638284602,0.111286977419738,0.837778300474073,1.3879612479206,0.0500000000000018,0.05
