test_id,test_group,Vin_V,D,load_fraction,Rload_Ohm,C_F,ESR_Ohm,rank_Phi,lambda_min_gram,cond_gram_raw,cond_gram_normalized
52,operating,28.8,0.25,0.25,40,0.0001,0.05,2,6.85627940231387e-10,109605033361.332,1.0443641271032
53,operating,28.8,0.25,0.5,20,0.0001,0.05,2,1.72814022832944e-09,85557992256.2381,1.01781886186304
54,operating,28.8,0.25,0.75,13.3333333333333,0.0001,0.05,2,3.33938676338342e-09,78080185621.4225,1.00874401658819
55,operating,28.8,0.25,1,10,0.0001,0.05,2,5.52188854398766e-09,74963133862.7447,1.00493141946424
56,operating,28.8,0.35,0.1,100,0.0001,0.05,2,9.14899440966876e-10,116300958951.509,1.10382164449426
57,operating,28.8,0.35,0.25,40,0.0001,0.05,2,2.70321805579113e-09,70575420187.4854,1.04040574076121
58,operating,28.8,0.35,0.5,20,0.0001,0.05,2,7.94793386051487e-09,55439245987.0871,1.01350662051346
59,operating,28.8,0.35,0.75,13.3333333333333,0.0001,0.05,2,1.60462076047109e-08,51599664914.6393,1.00619415995344
60,operating,28.8,0.35,1,10,0.0001,0.05,2,2.70186964614368e-08,50103125257.2076,1.00341187600223
61,operating,28.8,0.45,0.1,100,0.0001,0.05,2,2.28199655486951e-09,86221330918.5676,1.05569301644251
62,operating,28.8,0.45,0.25,40,0.0001,0.05,2,7.93715198456495e-09,53655141376.4743,1.01769785018902
63,operating,28.8,0.45,0.5,20,0.0001,0.05,2,2.63566375137273e-08,44554745185.0317,1.00492619982132
64,operating,28.8,0.45,0.75,13.3333333333333,0.0001,0.05,2,5.60142813526068e-08,42502176532.9389,1.00213083616277
65,operating,28.8,0.45,1,10,0.0001,0.05,2,9.68910113775272e-08,41740689689.01,1.00120319910316
66,operating,28.8,0.55,0.1,100,0.0001,0.05,2,1.25675652448232e-09,164167896334.455,1.2175260330346
67,operating,28.8,0.55,0.25,40,0.0001,0.05,2,1.3268446185841e-08,52179730890.0643,1.0324317221004
68,operating,28.8,0.55,0.5,20,0.0001,0.05,2,6.55913226412314e-08,43062101007.3606,1.00647817081035
69,operating,28.8,0.55,0.75,13.3333333333333,0.0001,0.05,2,1.57608910060751e-07,41751610116.9928,1.00235410428514
70,operating,28.8,0.55,1,10,0.0001,0.05,2,2.88572987969191e-07,41338260987.935,1.00102965338166
71,operating,28.8,0.65,0.1,100,0.0001,0.05,2,5.54509073169934e-09,84493280807.8739,1.10730595620505
72,operating,28.8,0.65,0.25,40,0.0001,0.05,2,5.0523804865246e-08,51888285235.8025,1.0129448929444
73,operating,28.8,0.65,0.5,20,0.0001,0.05,2,2.27560538311264e-07,49102508439.2523,1.00230953362049
74,operating,28.8,0.65,0.75,13.3333333333333,0.0001,0.05,2,5.28851749698293e-07,48720465342.7756,1.00067035445931
75,operating,28.8,0.65,1,10,0.0001,0.05,2,9.50958762715064e-07,48613229421.1995,1.00015698115509
