cycle,time_s,C_OFF_F,C_ON_F,Q_OFF_C,Q_ON_C,C_true_F,ESR_true_Ohm
32,0.0166,9.99999985753399e-05,9.99999980862894e-05,1.32732988341745e-05,1.31711922867703e-05,0.0001,0.05
33,0.01662,9.99999985745837e-05,9.99999980861125e-05,1.33137027497081e-05,1.31902711653485e-05,0.0001,0.05
34,0.01664,9.9999998575245e-05,9.99999980861412e-05,1.33886947172077e-05,1.30271328215961e-05,0.0001,0.05
35,0.01666,9.99999985763828e-05,9.99999980864947e-05,1.33313594253144e-05,1.29821309380579e-05,0.0001,0.05
36,0.01668,9.99999985774526e-05,9.99999980868242e-05,1.32730238257121e-05,1.29375639658995e-05,0.0001,0.05
37,0.0167,9.9999998577213e-05,9.99999980869529e-05,1.31802384740457e-05,1.3074001967714e-05,0.0001,0.05
38,0.01672,9.99999985765046e-05,9.99999980868077e-05,1.32170068850922e-05,1.30945061857099e-05,0.0001,0.05
39,0.01674,9.99999985773144e-05,9.99999980868044e-05,1.32875160510781e-05,1.29341091877104e-05,0.0001,0.05
40,0.01676,9.99999985785035e-05,9.99999980871244e-05,1.32265252619362e-05,1.28908047130163e-05,0.0001,0.05
41,0.01678,9.99999985782359e-05,9.9999998087279e-05,1.31315087053305e-05,1.30280260729439e-05,0.0001,0.05
42,0.0168,9.99999985775771e-05,9.99999980870665e-05,1.31656824336435e-05,1.30499800928089e-05,0.0001,0.05
43,0.01682,9.99999985784431e-05,9.99999980870346e-05,1.32331585309487e-05,1.28916218567597e-05,0.0001,0.05
44,0.01684,9.99999985797174e-05,9.99999980873247e-05,1.316959441803e-05,1.28498559366243e-05,0.0001,0.05
45,0.01686,9.9999998579474e-05,9.99999980874691e-05,1.30725608346351e-05,1.29881805500339e-05,0.0001,0.05
46,0.01688,9.9999998578893e-05,9.99999980872581e-05,1.31043131221977e-05,1.30117972432597e-05,0.0001,0.05
47,0.0169,9.9999998579757e-05,9.99999980872058e-05,1.31688941840055e-05,1.2855576355857e-05,0.0001,0.05
48,0.01692,9.99999985810643e-05,9.99999980875144e-05,1.31030269883851e-05,1.2815493836481e-05,0.0001,0.05
49,0.01694,9.99999985809184e-05,9.99999980875873e-05,1.30043695008314e-05,1.29551166681597e-05,0.0001,0.05
50,0.01696,9.99999985803476e-05,9.99999980873296e-05,1.30340570583717e-05,1.2980473373134e-05,0.0001,0.05
51,0.01698,9.9999998581241e-05,9.99999980872816e-05,1.30960743674047e-05,1.28263489997757e-05,0.0001,0.05
52,0.017,9.99999985825603e-05,9.9999998087557e-05,1.30283554070888e-05,1.27879628747244e-05,0.0001,0.05
53,0.01702,9.99999985839218e-05,9.99999980878381e-05,1.29599715628749e-05,1.27501964354073e-05,0.0001,0.05
54,0.01704,9.99999985837832e-05,9.99999980879015e-05,1.28602462976867e-05,1.28913652621472e-05,0.0001,0.05
55,0.01706,9.9999998583222e-05,9.99999980876726e-05,1.28879176257697e-05,1.29190859685555e-05,0.0001,0.05
56,0.01708,9.99999985841729e-05,9.99999980875982e-05,1.29469156934553e-05,1.27680322788405e-05,0.0001,0.05
57,0.0171,9.99999985855579e-05,9.99999980878132e-05,1.28776640764888e-05,1.27319329842513e-05,0.0001,0.05
58,0.01712,9.99999985854197e-05,9.99999980879238e-05,1.27779522180317e-05,1.28745094530024e-05,0.0001,0.05
59,0.01714,9.99999985848463e-05,9.99999980876399e-05,1.28051426231104e-05,1.29038021081144e-05,0.0001,0.05
