jitter_mode,jitter_rms_ns,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status,edge_fit_rejection_rate,samples_per_cycle
common,5,19,0.000100136987094575,0.0498141822209715,9.99956169919856e-05,0.00438300801441915,0.0498318710311328,0.33625793773433,PASS,0,40
common,5,20,0.000100211914353804,0.0498145048714895,9.99978297723061e-05,0.00217022769395392,0.0498271518963611,0.345696207277779,PASS,0,40
common,5,21,0.00010015126074371,0.0498073820691652,9.99973735245443e-05,0.0026264754557026,0.0498303147041007,0.33937059179866,PASS,0,40
common,5,22,0.000100081136472221,0.0498188956488552,0.00010000409934331,0.004099343309516,0.0498411266858123,0.31774662837547,PASS,0,40
common,5,23,0.000100214594748091,0.0498216646703041,9.99993139374121e-05,0.000686062587951231,0.0498336982715635,0.33260345687296,PASS,0,40
common,5,24,0.000100299220382539,0.0498103212263531,0.000100007538131603,0.00753813160287997,0.0498272563625541,0.345487274891831,PASS,0,40
common,5,25,9.99233170100175e-05,0.0498239071717083,9.99979788523435e-05,0.00202114765646133,0.0498382797257522,0.323440548495668,PASS,0,40
common,5,26,0.000100241367597348,0.0498223998261658,9.99981568547881e-05,0.00184314521187723,0.0498353370830735,0.329325833853022,PASS,0,40
common,5,27,0.000100096791239421,0.0498286564876,9.99976379613136e-05,0.00236203868636542,0.0498384815264188,0.323036947162403,PASS,0,40
common,5,28,9.99271766776688e-05,0.0498178640809685,9.99941419264759e-05,0.00585807352410095,0.0498318362026833,0.336327594633312,PASS,0,40
common,5,29,9.99599842096687e-05,0.0498263806059494,0.000100005695470415,0.0056954704145129,0.0498333061748391,0.333387650321781,PASS,0,40
common,5,30,9.98245984601981e-05,0.0498150964530279,0.000100012468878976,0.0124688789759464,0.0498280293240686,0.343941351862853,PASS,0,40
common,5,31,0.000100125335143327,0.0498355269518038,0.000100001423145456,0.00142314545628075,0.0498495397138019,0.300920572396191,PASS,0,40
common,5,32,9.99654356533143e-05,0.0498153438255799,0.000100001344747806,0.00134474780628668,0.0498310107321873,0.337978535625438,PASS,0,40
common,5,33,9.99265255953036e-05,0.0498129652582551,9.99941009221106e-05,0.00589907788941524,0.0498274489433898,0.345102113220386,PASS,0,40
common,5,34,9.99478720029475e-05,0.0498166619360629,0.000100007073790659,0.00707379065933988,0.0498315827418275,0.33683451634503,PASS,0,40
common,5,35,9.99265772340635e-05,0.0498062708347565,0.000100001752754229,0.00175275422853449,0.0498229129440603,0.354174111879435,PASS,0,40
common,5,36,9.98905413177687e-05,0.0498129774916873,9.99984269850384e-05,0.00157301496160889,0.049828742751263,0.342514497473989,PASS,0,40
common,5,37,9.98734454665898e-05,0.0498227744937029,9.99935651571567e-05,0.00643484284328366,0.0498335249696254,0.332950060749149,PASS,0,40
common,5,38,9.99380183173393e-05,0.0498144675516475,0.000100001424654468,0.00142465446844042,0.0498268131293151,0.346373741369832,PASS,0,40
common,5,39,0.000100020453216851,0.0498166527135991,0.000100002349066012,0.00234906601215279,0.0498354849523028,0.329030095394478,PASS,0,40
common,5,40,9.98630646359016e-05,0.0498253342275973,9.99876989897584e-05,0.0123010102415777,0.0498366991307919,0.326601738416166,PASS,0,40
common,5,41,9.99314280055538e-05,0.0498231612409256,9.99887256048715e-05,0.0112743951285132,0.049833817015366,0.332365969267989,PASS,0,40
common,5,42,0.000100051469706171,0.0498225403362096,9.99974476832161e-05,0.00255231678386592,0.0498287353671977,0.34252926560453,PASS,0,40
common,5,43,0.000100044562900765,0.0498096482179409,9.99951573523773e-05,0.00484264762269371,0.0498220659772514,0.355868045497132,PASS,0,40
common,5,44,9.99545766141063e-05,0.049814500531424,9.9989390616624e-05,0.0106093833759591,0.0498237058809402,0.352588238119689,PASS,0,40
common,5,45,0.000100084784144008,0.0498151864507701,9.99903157692818e-05,0.00968423071818769,0.0498232569628109,0.353486074378151,PASS,0,40
common,5,46,9.99071006127161e-05,0.0498112163839695,9.99972582800044e-05,0.00274171999558037,0.0498249176155717,0.350164768856676,PASS,0,40
common,5,47,0.000100181244402578,0.0498135219553624,9.9995093954494e-05,0.00490604550598128,0.0498238089061943,0.352382187611489,PASS,0,40
common,5,48,0.000100075774400675,0.0498214472029033,0.000100006263379048,0.0062633790482991,0.0498367666199231,0.326466760153732,PASS,0,40
common,5,49,0.000100039165243117,0.0498088503372707,9.99956369441346e-05,0.00436305586535291,0.0498208604173472,0.358279165305575,PASS,0,40
common,5,50,9.99695700211847e-05,0.0498163788582767,0.000100002228878451,0.00222887845149344,0.0498266307832133,0.346738433573479,PASS,0,40
common,10,1,0.000100183249337667,0.0498265998817228,0.000100011194217001,0.0111942170010204,0.0498486769109329,0.302646178134303,PASS,0,40
common,10,2,9.95776111265974e-05,0.0498221935067646,0.000100004646999884,0.00464699988405037,0.0498497301415645,0.300539716870984,PASS,0,40
common,10,3,0.000100164781557221,0.0498154009539714,0.000100014227278519,0.0142272785191189,0.0498369895707644,0.326020858471232,PASS,0,40
common,10,4,9.99189405487021e-05,0.0497912281279686,9.99938719454003e-05,0.00612805459969668,0.0498160157632628,0.367968473474478,PASS,0,40
common,10,5,9.9896226821906e-05,0.049827379904164,9.99859258086771e-05,0.0140741913228659,0.0498454770475215,0.309045904956939,PASS,0,40
common,10,6,9.9653238832181e-05,0.0498067112818669,0.000100011481356715,0.0114813567147598,0.0498173937546874,0.365212490625277,PASS,0,40
common,10,7,9.9713950005168e-05,0.0498127524774403,9.99708431003755e-05,0.0291568996245495,0.0498248008695289,0.350398260942186,PASS,0,40
common,10,8,9.97449979350414e-05,0.0498064524827612,9.99962285783145e-05,0.00377142168550559,0.0498327227707295,0.334554458540914,PASS,0,40
common,10,9,9.98321340528854e-05,0.0497879677197519,9.99902553590494e-05,0.00974464095061522,0.0498018708206369,0.396258358726254,PASS,0,40
common,10,10,0.000100160701694495,0.0497899618200279,9.99902787314855e-05,0.00972126851455091,0.049818999160837,0.362001678325952,PASS,0,40
common,10,11,9.96294743361832e-05,0.0498270546586273,9.9997978935145e-05,0.00202106485502895,0.0498476875961507,0.304624807698517,PASS,0,40
common,10,12,9.96529106233346e-05,0.0498304968131863,9.99869195086873e-05,0.0130804913126559,0.0498414245452576,0.31715090948472,PASS,0,40
common,10,13,0.000100113655549677,0.0497894165601784,0.000100006403354521,0.0064033545214448,0.0498148894365495,0.370221126900983,PASS,0,40
common,10,14,0.000100054841471823,0.0498113679102556,9.9995937973746e-05,0.00406202625395924,0.0498269334816104,0.346133036779117,PASS,0,40
common,10,15,0.000100482205912228,0.0497872889012363,9.99904984132193e-05,0.00950158678070245,0.0497971084032044,0.40578319359118,PASS,0,40
common,10,16,9.98171595246646e-05,0.0498115144751124,9.99984192029626e-05,0.00158079703744818,0.0498533140836867,0.293371832626643,PASS,0,40
common,10,17,9.98210160223313e-05,0.0498219553602846,0.000100002824659402,0.00282465940157905,0.0498501995893481,0.29960082130388,PASS,0,40
common,10,18,9.96381822478753e-05,0.0498050147122762,9.99826286789144e-05,0.0173713210856019,0.0498352167246023,0.32956655079549,PASS,0,40
common,10,19,0.000100274855448081,0.0497994770222164,9.99908363621649e-05,0.00916363783511898,0.0498346467843125,0.330706431374905,PASS,0,40
common,10,20,0.000100426497733743,0.0498061617059142,9.99953144114603e-05,0.00468558853965462,0.0498252458210501,0.349508357899841,PASS,0,40
common,10,21,0.000100304766463344,0.0497925486942868,9.99941108303355e-05,0.00588916966448583,0.0498345232405993,0.33095351880138,PASS,0,40
common,10,22,0.000100162306042665,0.0498159929999918,0.000100007628673302,0.00762867330215133,0.0498525900862405,0.294819827518955,PASS,0,40
common,10,23,0.0001004318431851,0.0498174687243848,9.99981751099198e-05,0.00182489008024866,0.0498360307099467,0.327938580106557,PASS,0,40
common,10,24,0.000100602071214949,0.0497969275100005,0.000100014507523906,0.0145075239063042,0.049824573218182,0.350853563635956,PASS,0,40
common,10,25,9.98485585570919e-05,0.0498263382082869,9.99953154433601e-05,0.00468455663992229,0.0498501923878722,0.299615224255645,PASS,0,40
common,10,26,0.000100485679988115,0.0498227225547295,9.99956858749354e-05,0.00431412506459727,0.0498404625677357,0.319074864528546,PASS,0,40
common,10,27,0.00010019555330242,0.0498287264241482,9.99948573260335e-05,0.00514267396648505,0.0498486008748066,0.302798250386882,PASS,0,40
common,10,28,9.98548797359804e-05,0.0498140405528413,9.99878517195424e-05,0.0121482804576134,0.0498319442721143,0.336111455771348,PASS,0,40
common,10,29,9.9920120962167e-05,0.0498272867185944,0.000100010800524384,0.0108005243843801,0.0498385691863896,0.322861627220783,PASS,0,40
common,10,30,9.96515831988211e-05,0.0498082040742677,0.000100024605179895,0.0246051798946434,0.049825280547015,0.349438905969912,PASS,0,40
common,10,31,0.000100252774582717,0.0501723893561351,0.000100002302307647,0.0023023076468176,0.0498720276596602,0.255944680679532,PASS,0,40
common,10,32,9.99327190180563e-05,0.0498063512718852,0.000100002052759569,0.00205275956852713,0.0498341065440153,0.331786911969467,PASS,0,40
common,10,33,9.98530944614732e-05,0.0498038529274278,9.99877911325069e-05,0.012208867493102,0.0498264809213006,0.347038157398849,PASS,0,40
common,10,34,9.98957073968887e-05,0.0498108111019702,0.000100013695227629,0.0136952276291735,0.0498324133770134,0.335173245973119,PASS,0,40
common,10,35,9.98550791623328e-05,0.0497868474842763,0.000100003111267021,0.00311126702134956,0.0498174589652333,0.365082069533473,PASS,0,40
common,10,36,9.97831059514256e-05,0.0498031972817038,9.99963127545924e-05,0.00368724540760201,0.0498311545597004,0.337690880599195,PASS,0,40
common,10,37,9.97489933022359e-05,0.0498169994622858,9.9986336844252e-05,0.0136631557480338,0.0498392034495064,0.321593100987128,PASS,0,40
common,10,38,9.98760096235028e-05,0.0498049418488295,0.000100002272228892,0.00227222889226386,0.0498243280372098,0.351343925580361,PASS,0,40
common,10,39,0.00010004081888879,0.0498115253637541,0.000100004197564026,0.00419756402565419,0.0498403797448356,0.319240510328833,PASS,0,40
common,10,40,9.97282303325069e-05,0.0498083290804578,9.99746931696349e-05,0.0253068303651349,0.0498434797627235,0.313040474552984,PASS,0,40
common,10,41,9.98633644873174e-05,0.0498225192337415,9.99770390338725e-05,0.0229609661274943,0.0498387499211015,0.322500157797023,PASS,0,40
common,10,42,0.000100104821115412,0.049815742942139,9.99943509901738e-05,0.00564900982622518,0.0498282448082288,0.343510383542456,PASS,0,40
common,10,43,0.000100089027960737,0.0497938862228876,9.99895970757831e-05,0.0104029242169124,0.0498108132135942,0.378373572811697,PASS,0,40
common,10,44,9.99089520038862e-05,0.0498035644480398,9.99782294284371e-05,0.0217705715629402,0.0498184361896648,0.363127620670445,PASS,0,40
common,10,45,0.000100169622201874,0.0498014402827418,9.99800802957828e-05,0.019919704217175,0.0498165856908385,0.366828618323045,PASS,0,40
common,10,46,9.9814485779126e-05,0.0497982227216317,9.99938738395735e-05,0.00612616042653391,0.0498205420396534,0.358915920693226,PASS,0,40
common,10,47,0.000100364980258003,0.049802676144803,9.99896274271481e-05,0.01037257285188,0.0498172923641273,0.365415271745384,PASS,0,40
common,10,48,0.000100151670957567,0.0498042487346625,0.000100012189819239,0.0121898192393388,0.049843633139044,0.312733721912029,PASS,0,40
common,10,49,0.000100080181813986,0.0497935552872394,9.999059736573e-05,0.00940263427001709,0.0498143319362255,0.371336127549049,PASS,0,40
common,10,50,9.99393652390585e-05,0.0498089291212094,0.000100003801672093,0.00380167209337312,0.0498217541476069,0.356491704786122,PASS,0,40
common,20,1,0.000100368883883322,0.0498194179730996,0.000100021875766481,0.0218757664810498,0.0498648370347578,0.27032593048445,PASS,0,40
common,20,2,9.91603466491443e-05,0.0497325734524221,0.00010000882631709,0.00882631709013815,0.049868099463044,0.263801073911951,PASS,0,40
common,20,3,0.000100331891572943,0.0498061219046174,0.000100027920433094,0.0279204330944305,0.0498434601860765,0.313079627846946,PASS,0,40
common,20,4,9.98383561940511e-05,0.0497543069112283,9.99872137488158e-05,0.0127862511841936,0.0497984075044686,0.403184991062755,PASS,0,40
common,20,5,9.97944782332862e-05,0.0498260775685775,9.99713867783766e-05,0.0286132216234414,0.0498586952467871,0.282609506425791,PASS,0,40
common,20,6,9.93108737285167e-05,0.0497811892024506,0.000100022305999864,0.0223059998643249,0.0498097817255572,0.380436548885665,PASS,0,40
common,20,7,9.94312258031966e-05,0.0497883434299934,9.99411511373166e-05,0.058848862683436,0.0498200541341719,0.359891731656226,PASS,0,40
common,20,8,9.94930444445146e-05,0.0497898461987729,9.99917088416156e-05,0.00829115838444361,0.049832050317188,0.335899365624004,PASS,0,40
common,20,9,9.96652362284439e-05,0.0497542167790769,9.99800851852777e-05,0.0199148147223438,0.0497748901243358,0.450219751328429,PASS,0,40
common,20,10,0.000100323771097318,0.0497576666655963,9.9980132184154e-05,0.0198678158459753,0.049802711352977,0.394577294045984,PASS,0,40
common,20,11,9.92633576572118e-05,0.0498247664282044,9.99953824952658e-05,0.00461750473423894,0.0498626030871902,0.274793825619679,PASS,0,40
common,20,12,9.93100750299486e-05,0.0498374399685926,9.99732351032167e-05,0.0267648967832823,0.049852513985873,0.294972028253948,PASS,0,40
common,20,13,0.000100229363112314,0.0497581165911309,0.000100012348650381,0.0123486503812664,0.049799867717209,0.400264565582076,PASS,0,40
common,20,14,0.000100111522839201,0.0497934830290861,9.99913500299082e-05,0.0086499700918452,0.0498272166651535,0.345566669692987,PASS,0,40
common,20,15,0.000100970550810383,0.0497499077384187,9.9980470879466e-05,0.0195291205340453,0.0497638824094482,0.472235181103686,PASS,0,40
common,20,16,9.96367882363511e-05,0.0497936582190975,9.99961848482484e-05,0.00381515175156277,0.0498785099699606,0.242980060078779,PASS,0,40
common,20,17,9.96444178155192e-05,0.0496975394425053,0.000100005056507028,0.00505650702820049,0.0498680979943834,0.263804011233215,PASS,0,40
common,20,18,9.92805723580673e-05,0.0497312552356588,9.99647292261145e-05,0.0352707738855429,0.0498361770300624,0.327645939875298,PASS,0,40
common,20,19,0.000100551968798182,0.0503813712604817,9.99811194743928e-05,0.0188805256072011,0.0498435891689794,0.312821662041163,PASS,0,40
common,20,20,0.000100858227316393,0.0502721073857026,9.9990209435009e-05,0.00979056499096354,0.049819800524167,0.360398951665919,PASS,0,40
common,20,21,0.000100613056649594,0.04976282876214,9.99875787406494e-05,0.012421259350559,0.0498371468793122,0.325706241375556,PASS,0,40
common,20,22,0.000100325022923115,0.0497039658348086,0.000100014696461085,0.0146964610848066,0.0498717743977677,0.256451204464514,PASS,0,40
common,20,23,0.000100868893430486,0.0503075842408257,9.99958972740927e-05,0.00410272590726235,0.0498423666976351,0.315266604729902,PASS,0,40
common,20,24,0.000101212949715066,0.049771293314437,0.000100028455153861,0.028455153861362,0.0498175864424255,0.364827115149069,PASS,0,40
common,20,25,9.96993526783614e-05,0.0498131078716692,9.9989997218365e-05,0.0100027816349879,0.0498700160593535,0.259967881293,PASS,0,40
common,20,26,0.000100977651855016,0.0502028645884346,9.9990744585187e-05,0.00925541481302528,0.0498506077329393,0.298784534121466,PASS,0,40
common,20,27,0.00010039352654575,0.050219221070927,9.9989295492955e-05,0.0107045070450229,0.0498713801687048,0.257239662590303,PASS,0,40
common,20,28,9.97105021458412e-05,0.0498033225052654,9.99752227408094e-05,0.024777259190556,0.0498311649440789,0.337670111842159,PASS,0,40
common,20,29,9.98404883650479e-05,0.0498267429793942,0.000100021041316888,0.0210413168880041,0.0498493291892014,0.301341621597218,PASS,0,40
common,20,30,9.93072388816721e-05,0.049778335068536,0.000100048907376622,0.0489073766221315,0.0498227442338616,0.354511532276824,PASS,0,40
