operating_case,Vin_V,D,load_fraction,window_cycles,observation_set,rank_Obs_normalized,max_sv_Obs_normalized,min_sv_Obs_normalized,cond_Obs_normalized,info_min_eig,info_max_eig,info_cond,stable_measurements,C_pseudo_measurements,R_pseudo_measurements,R_V,median_pseudo_R
mid_load,24,0.4,0.5,20,stable_plus_R,3,507.545221175212,0.361774501527738,1402.93254232098,39795.9561795263,87260695924.9732,2192702.58343148,161,40,21,2.95209829359236e-06,5.32968473248614e-06
mid_load,24,0.4,0.5,20,full_TR,3,507.5452211758,0.361778804757556,1402.9158549405,39796.5445031852,87260695925.0852,2192670.16808711,161,40,21,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,3,stable_only,3,411.428925423148,0.284673624192041,1445.26535112223,27451.3462128716,57340150577.7303,2088791.93512354,25,6,4,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,3,stable_plus_C,3,411.428925423448,0.427465317473384,962.484928263369,54210.0223623719,57340150577.7766,1057740.76598753,25,6,4,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,3,stable_plus_R,3,411.428925423157,0.285647292510481,1440.33896420727,27553.3366236084,57340150577.7311,2081060.14023001,25,6,4,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,3,full_TR,3,411.428925423456,0.478722125463902,859.431606643969,55132.265918533,57340150577.7774,1040047.05089588,25,6,4,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,5,stable_only,3,526.886225198964,0.386145085203951,1364.47735679629,50509.1673814853,94037889899.186,1861798.45707884,41,10,6,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,5,stable_plus_C,3,526.886225199457,0.554168637943508,950.768753631935,94602.4705619774,94037889899.2834,994032.072742497,41,10,6,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,5,stable_plus_R,3,526.886225198973,0.386967064196552,1361.57899198199,50625.5302023626,94037889899.1872,1857519.111865,41,10,6,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,5,full_TR,3,526.886225199465,0.626615919619478,840.843982258582,96089.5753602668,94037889899.2846,978648.199315172,41,10,6,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,10,stable_only,3,740.572276489388,0.5909933332681,1253.09751362869,118313.513055859,185782193599.414,1570253.37851055,81,20,11,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,10,stable_plus_C,3,740.572276490154,0.787896450490356,939.936048739972,206654.388734832,185782193599.627,898999.507036904,81,20,11,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,10,stable_plus_R,3,740.572276489398,0.591369060122739,1252.3013570167,118396.491900982,185782193599.416,1569152.85762681,81,20,11,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,10,full_TR,3,740.572276490163,0.922897256058239,802.442819749189,212650.142657846,185782193599.628,873651.864407877,81,20,11,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,20,stable_only,3,1044.08872560225,0.78771420138747,1325.4664239431,210187.33163446,369269976306.64,1756861.24104208,161,40,21,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,20,stable_plus_C,3,1044.08872560228,1.12364813310827,929.195443696501,397793.552432505,369269976306.654,928295.529297977,161,40,21,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,20,stable_plus_R,3,1044.08872560226,0.787721348973356,1325.45439699333,210189.348010539,369269976306.642,1756844.38722426,161,40,21,2.95209829359236e-06,5.32968473248614e-06
high_D,28.8,0.65,0.25,20,full_TR,3,1044.08872560229,1.27302721620562,820.162139749299,397835.207010838,369269976306.657,928198.333880986,161,40,21,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,3,stable_only,3,128.000069082199,0.0592176240879656,2161.51983558238,1187.87609904559,5549956693.72182,4672167.99646107,25,6,4,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,3,stable_plus_C,3,128.000069082215,0.086773433038094,1475.10666111391,1943.32419244939,5549956693.72258,2855908.81608248,25,6,4,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,3,stable_plus_R,3,128.0000690822,0.0592526627719851,2160.24163462101,1188.56498514692,5549956693.72187,4669460.03212088,25,6,4,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,3,full_TR,3,128.000069082216,0.0868426803079306,1473.93042946565,1944.55174307742,5549956693.72263,2854105.94677175,25,6,4,2.95209829359236e-06,5.32968473248614e-06
