test_id,ESL_nH,load_fraction,D,modelB_waveform_NRMSE,ring_frequency_relative_error,zeta_relative_error,peak_relative_error,settling_relative_error,edge_ESR_AP_Ohm,edge_ESR_B_Ohm,edge_ESR_AP_MAPE_percent,edge_ESR_B_MAPE_percent,TR_C_MAPE_AP_percent,TR_C_MAPE_B_percent,TR_ESR_MAPE_AP_percent,TR_ESR_MAPE_B_percent,TR_ESR_MAPE_difference_points,acceptance_pass
11,1,1,0.3,0.782691248071647,NaN,0,0.974143459408667,NaN,0.0547899656796993,0.0498222342531789,9.57993135939854,0.355531493642203,0.773180482272728,0.458643532802783,3.98096327592938,0.491883307539198,3.48907996839019,0
12,5,1,0.3,0.782691248071647,NaN,0,0.974143459408667,NaN,0.0547899656796993,0.0498222342531789,9.57993135939854,0.355531493642203,1.4167919199078,0.374974019280172,3.18280085254272,0.688740257011289,2.49406059553143,0
13,10,1,0.3,0.782691248071647,NaN,0,0.974143459408667,NaN,0.0547899656796993,0.0498222342531789,9.57993135939854,0.355531493642203,0.331422339462384,1.38592788365506,2.93522975457507,0.443725514521787,2.49150424005329,0
14,20,1,0.3,0.782691248071647,NaN,0,0.974143459408667,NaN,0.0547899656796993,0.0498222342531789,9.57993135939854,0.355531493642203,1.04541830079068,0.462113828091892,3.67856334371415,0.197070155726908,3.48149318798724,0
15,50,1,0.3,0.782691248071647,NaN,0,0.974143459408667,NaN,0.0547899656796993,0.0498222342531789,9.57993135939854,0.355531493642203,1.227611399589,0.889600127389967,3.99286921580746,0.47948609235795,3.51338312344951,0
16,1,0.375,0.4,1.94205427823767,NaN,0,0.977811439004707,NaN,0.066370430874835,0.0497338030241144,32.7408617496701,0.532393951771115,1.92965513409336,1.46125714061331,6.87297006244483,0.74638293881385,6.12658712363098,0
17,5,0.375,0.4,1.94205427823767,NaN,0,0.977811439004707,NaN,0.066370430874835,0.0497338030241144,32.7408617496701,0.532393951771115,0.820716781398589,0.25039602317154,6.84603295261379,0.389020572634424,6.45701237997937,0
18,10,0.375,0.4,1.94205427823767,NaN,0,0.977811439004707,NaN,0.066370430874835,0.0497338030241144,32.7408617496701,0.532393951771115,0.549745957670655,0.650365761336513,7.53999000723558,0.0844188980485328,7.45557110918704,0
19,20,0.375,0.4,1.94205427823767,NaN,0,0.977811439004707,NaN,0.066370430874835,0.0497338030241144,32.7408617496701,0.532393951771115,0.334784240884667,0.643276010001181,7.44136737596055,0.770356915865045,6.67101046009551,0
20,50,0.375,0.4,1.94205427823767,NaN,0,0.977811439004707,NaN,0.066370430874835,0.0497338030241144,32.7408617496701,0.532393951771115,1.65518810807859,1.07181336416176,7.15469042787917,0.600279034802143,6.55441139307703,0
21,1,0.5,0.4,1.31002051122786,NaN,0,0.97730555680575,NaN,0.0590286046058361,0.04989124790131,18.0572092116721,0.217504197380003,0.501798396617925,0.212133925054481,4.56005695776474,0.347288198800877,4.21276875896386,0
22,5,0.5,0.4,1.31002051122786,NaN,0,0.97730555680575,NaN,0.0590286046058361,0.04989124790131,18.0572092116721,0.217504197380003,1.09792200734848,0.011596750987164,3.98317415773539,0.0027519430007672,3.98042221473462,0
23,10,0.5,0.4,1.31002051122786,NaN,0,0.97730555680575,NaN,0.0590286046058361,0.04989124790131,18.0572092116721,0.217504197380003,1.24820644408232,1.4067980197538,4.899102732089,0.0947435201483993,4.8043592119406,0
24,20,0.5,0.4,1.31002051122786,NaN,0,0.97730555680575,NaN,0.0590286046058361,0.04989124790131,18.0572092116721,0.217504197380003,1.19142659413205,0.368731434649283,4.68881722876595,0.0436265242016343,4.64519070456432,0
25,50,0.5,0.4,1.31002051122786,NaN,0,0.97730555680575,NaN,0.0590286046058361,0.04989124790131,18.0572092116721,0.217504197380003,2.01077744340019,1.08966495998142,5.6346988198154,1.11264470282959,4.52205411698581,0
26,1,1,0.4,0.556548924117749,NaN,0,0.975380469828144,NaN,0.05343430502411,0.0500110591586562,6.86861004822008,0.0221183173124695,1.269113934247,0.651251197994251,1.60731684527531,0.523575673979537,1.08374117129577,0
27,5,1,0.4,0.556548924117749,NaN,0,0.975380469828144,NaN,0.05343430502411,0.0500110591586562,6.86861004822008,0.0221183173124695,0.766669807927256,0.122105107445636,1.85074204621414,0.0732560792855108,1.77748596692863,0
28,10,1,0.4,0.556548924117749,NaN,0,0.975380469828144,NaN,0.05343430502411,0.0500110591586562,6.86861004822008,0.0221183173124695,0.866201878803441,0.59602532261811,2.20987826524204,0.204235154052834,2.0056431111892,0
29,20,1,0.4,0.556548924117749,NaN,0,0.975380469828144,NaN,0.05343430502411,0.0500110591586562,6.86861004822008,0.0221183173124695,0.556990268602497,0.349058915374367,2.40651349327274,0.254702012285879,2.15181148098686,0
30,50,1,0.4,0.556548924117749,NaN,0,0.975380469828144,NaN,0.05343430502411,0.0500110591586562,6.86861004822008,0.0221183173124695,0.620305996846349,0.0666322916180295,2.56494444298014,0.441832728520297,2.12311171445985,0
31,1,0.25,0.6,0.738265562691127,NaN,0,0.969201830918255,NaN,0.05814839449772,0.0502560652603407,16.2967889954399,0.512130520681442,1.73303207902404,0.0844381445825659,2.59379823924211,0.456731368678087,2.13706687056402,0
32,5,0.25,0.6,0.738265562691127,NaN,0,0.969201830918255,NaN,0.05814839449772,0.0502560652603407,16.2967889954399,0.512130520681442,1.41731126131193,0.392012475612469,3.01928099682398,0.383602615566492,2.63567838125749,0
33,10,0.25,0.6,0.738265562691127,NaN,0,0.969201830918255,NaN,0.05814839449772,0.0502560652603407,16.2967889954399,0.512130520681442,1.78548749490852,0.281763241489319,3.68709474599018,0.819594105350463,2.86750064063972,0
34,20,0.25,0.6,0.738265562691127,NaN,0,0.969201830918255,NaN,0.05814839449772,0.0502560652603407,16.2967889954399,0.512130520681442,1.80820531414028,0.575913647942827,3.40152365631823,0.283760814164657,3.11776284215357,0
35,50,0.25,0.6,0.738265562691127,NaN,0,0.969201830918255,NaN,0.05814839449772,0.0502560652603407,16.2967889954399,0.512130520681442,1.10424726006113,0.660822207201328,3.11180018839277,0.235170851464628,2.87662933692814,0
36,1,0.5,0.6,0.336872474753,NaN,0,0.96766786479799,NaN,0.0536703219152986,0.0501694810850858,7.34064383059727,0.338962170171531,0.584565951582228,0.481310516746791,1.35805504024171,0.187120068190127,1.17093497205158,0
37,5,0.5,0.6,0.336872474753,NaN,0,0.96766786479799,NaN,0.0536703219152986,0.0501694810850858,7.34064383059727,0.338962170171531,1.13326630857451,0.242040684860934,1.49271727489673,0.335384676585893,1.15733259831083,0
38,10,0.5,0.6,0.336872474753,NaN,0,0.96766786479799,NaN,0.0536703219152986,0.0501694810850858,7.34064383059727,0.338962170171531,1.05868837349721,0.19363413984923,1.60199411721118,0.418638172397556,1.18335594481362,0
39,20,0.5,0.6,0.336872474753,NaN,0,0.96766786479799,NaN,0.0536703219152986,0.0501694810850858,7.34064383059727,0.338962170171531,0.982964208273263,0.278396522414948,1.59372330297989,0.323481195173914,1.27024210780597,0
40,50,0.5,0.6,0.336872474753,NaN,0,0.96766786479799,NaN,0.0536703219152986,0.0501694810850858,7.34064383059727,0.338962170171531,0.565249223445274,0.450555378087969,1.4819245471438,0.0960140137910903,1.38591053335271,0
41,1,1,0.6,0.153069658318605,NaN,0,0.964718038681898,NaN,0.0518069956134513,0.0501335772265072,3.61399122690269,0.267154453014329,0.32610501113719,0.188375838177635,0.754004186703328,0.328739464915784,0.425264721787544,0
42,5,1,0.6,0.153069658318605,NaN,0,0.964718038681898,NaN,0.0518069956134513,0.0501335772265072,3.61399122690269,0.267154453014329,0.376970177460123,0.302305628238575,0.686155692703849,0.204498475550396,0.481657217153453,0
43,10,1,0.6,0.153069658318605,NaN,0,0.964718038681898,NaN,0.0518069956134513,0.0501335772265072,3.61399122690269,0.267154453014329,0.298220049027154,0.340165300755835,0.727737274168505,0.392315148733102,0.335422125435403,0
44,20,1,0.6,0.153069658318605,NaN,0,0.964718038681898,NaN,0.0518069956134513,0.0501335772265072,3.61399122690269,0.267154453014329,0.562435300489694,0.174947007706461,0.857958030390371,0.216094911364384,0.641863119025987,0
45,50,1,0.6,0.153069658318605,NaN,0,0.964718038681898,NaN,0.0518069956134513,0.0501335772265072,3.61399122690269,0.267154453014329,0.971693520068895,0.391729624196446,0.725748942960269,0.0944667853083558,0.631282157651913,0
