test_id,fs_adc_Hz,adc_interval_s,adc_bits,sample_phase,window_requested_us,window_actual_us,points_available_pre,points_available_post,sampling_geometry_feasible,afe_order,afe_fc_v_Hz,afe_fc_i1_Hz,afe_fc_i2_Hz,attenuation_v_at_fsw_dB,group_delay_v_at_fsw_s,group_delay_v_edge_band_s,attenuation_i_at_fsw_dB,group_delay_i_at_fsw_s,group_delay_i_edge_band_s,alias_ratio_dB,C_MAPE_percent,ESR_MAPE_percent,NIS_V_mean,NIS_C_mean,NIS_R_mean,edge_predicted_variance_V2,voltage_saturation_fraction,current_saturation_fraction,accuracy_geometry_pass,robust_alias_pass,perturbation
644,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,2000000,250000,250000,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-25.3995343513497,4.25386810430948,0.358045163762655,0.282694435654448,1.07242275538403,0.890858157817116,1.42302763756608e-05,0,0,0,0,nominal_fsw
645,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,1,2000000,500000,500000,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-25.522546980631,0.978612415264246,0.913497344192793,0.306760603953738,1.1300390719131,0.846563743505822,1.44890086734306e-05,0,0,1,1,nominal_fsw
646,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,1,2000000,500000,500000,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-25.522546980631,0.27662675872685,1.54100437584661,0.331005024294312,1.16019590123282,0.941591134870429,1.39715440779308e-05,0,0,1,1,nominal_fsw
647,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,2,2000000,500000,500000,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-25.3995343513497,1.37114085324685,0.351415406499345,0.318061251360689,0.962168992552461,0.740892170136481,1.39715440779489e-05,0,0,1,1,nominal_fsw
648,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,2000000,500000,500000,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-25.3995343513497,2.19277724199745,1.00935916531175,0.307883871695797,0.97809941604559,0.996208893620718,1.39715440779617e-05,0,0,1,1,nominal_fsw
649,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,1,2000000,1000000,1000000,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-25.522546980631,1.23214846548096,0.653768781724784,0.300737804284537,1.17891784956084,1.12124720117989,1.44890086733947e-05,0,0,1,1,nominal_fsw
650,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,1,2000000,1000000,1000000,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-25.522546980631,1.18954149739854,1.07866683896514,0.321141032361106,1.11100126216392,0.917633975860452,1.67658528935084e-05,0,0,1,1,nominal_fsw
651,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,2,2000000,1000000,1000000,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-25.3995343513497,1.9053169184517,0.0631592618824284,0.32648591270486,0.982573397531012,1.11902116285254,8.38292644677444e-06,0,0,1,1,nominal_fsw
652,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,2000000,1000000,1000000,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-25.3995343513497,0.351598703466949,0.262176104303624,0.321557439409681,0.948558415316649,0.847663621345183,1.397154407794e-05,0,0,1,1,nominal_fsw
653,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,1,2000000,2000000,2000000,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-25.522546980631,0.468549860680301,1.92925305277323,0.326237228816229,1.00521555234151,0.964750273178353,1.44890086733753e-05,0,0,1,1,nominal_fsw
