vrefNoiseUvRms,vrefDriftPpmC,ENOB,quantizationNoiseUvRms,fortyCDifferentialDriftPercent,combinedNoiseUvRms,accuracyRisk,clockSource
50,5,14.65,56.1422669434566,0.02,75.1794794977349,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,10,14.65,56.1422669434566,0.04,56.1511721832264,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,10,14.65,56.1422669434566,0.04,56.364475847384,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,10,14.65,56.1422669434566,0.04,57.0259075995318,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,10,14.65,56.1422669434566,0.04,59.5982729410034,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,10,14.65,56.1422669434566,0.04,75.1794794977349,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,25,14.65,56.1422669434566,0.1,56.1511721832264,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,25,14.65,56.1422669434566,0.1,56.364475847384,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,25,14.65,56.1422669434566,0.1,57.0259075995318,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,25,14.65,56.1422669434566,0.1,59.5982729410034,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,25,14.65,56.1422669434566,0.1,75.1794794977349,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,50,14.65,56.1422669434566,0.2,56.1511721832264,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
5,50,14.65,56.1422669434566,0.2,56.364475847384,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
10,50,14.65,56.1422669434566,0.2,57.0259075995318,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
20,50,14.65,56.1422669434566,0.2,59.5982729410034,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
50,50,14.65,56.1422669434566,0.2,75.1794794977349,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
