scenario,seed,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,sigma_C_F,sigma_ESR_Ohm,NEES_full,NEES_param,CI_C_contains_true,CI_ESR_contains_true,accuracy_pass
high_D,3,9.99721648165347e-05,0.0499891603927896,0.0278351834652968,0.0216792144207556,3.27861042016602e-07,0.000121347987021799,7.73944760100678,0.312712320868975,1,1,1
high_D,4,9.98944392454063e-05,0.0499902234831382,0.105560754593703,0.0195530337235295,3.26353212146137e-07,0.000121778806842473,8.4779680132138,0.762233406521418,1,1,1
high_D,5,9.99532185961702e-05,0.0500196394281703,0.0467814038297987,0.0392788563405633,3.26738097124669e-07,0.000121588042635979,7.67759044033647,0.0416106119963114,1,1,1
high_D,6,9.99736285467039e-05,0.0500070814367164,0.0263714532960813,0.0141628734328547,3.26872897681569e-07,0.000121286122321638,8.84941967538065,0.797716485294064,1,1,1
high_D,7,9.98820655246583e-05,0.0499978201475631,0.117934475341674,0.0043597048738242,3.26272739483856e-07,0.000121160698384073,8.11664198394775,0.153784595326164,1,1,1
high_D,8,0.000100053886929762,0.0499704862079489,0.0538869297615596,0.0590275841022669,3.27396356312873e-07,0.000121065655345566,8.04011298050094,0.108178894078308,1,1,1
high_D,9,9.99903623167299e-05,0.0500241833918761,0.00963768327012504,0.0483667837521073,3.26982978034751e-07,0.00012164097526649,8.50182349009206,0.146973254692511,1,1,1
high_D,10,0.000100017910085474,0.0499966336026305,0.017910085474182,0.00673279473893951,3.27162782839362e-07,0.000121845128297299,7.98484455353491,0.0496032603924251,1,1,1
high_D,11,9.99903600947209e-05,0.0500099284936501,0.00963990527907965,0.0198569873002041,3.27955488999881e-07,0.000121781654458834,7.96824572516846,0.0106203858093772,1,1,1
high_D,12,0.000100011055924089,0.0499892396476802,0.0110559240886987,0.0215207046396215,3.28087078761169e-07,0.00012117541629511,8.11965385358825,0.100632593270333,1,1,1
high_D,13,9.99499418624664e-05,0.0499946353338786,0.0500581375335929,0.0107293322428981,3.2771333790767e-07,0.000120509759674594,8.36603686208117,0.594879531452397,1,1,1
high_D,14,0.000100043094734242,0.050016097160948,0.0430947342415111,0.0321943218959841,3.27324811258707e-07,0.00012146623663265,7.63613726911049,0.0113176272049557,1,1,1
high_D,15,9.99082848511436e-05,0.0500086596330405,0.0917151488563861,0.0173192660810839,3.2644536589288e-07,0.000121266930687212,8.29315633930693,0.189533094433571,1,1,1
high_D,16,9.98234745588651e-05,0.0500083432167622,0.176525441134889,0.0166864335244377,3.25891478888419e-07,0.000121143791998245,8.44850307891898,0.506110487833179,1,1,1
high_D,17,9.9916719655951e-05,0.0500216379012186,0.0832803440490082,0.043275802437126,3.26498513299468e-07,0.00012097452547991,8.70260305292311,0.725097044965333,1,1,1
high_D,18,0.000100038881451892,0.0499903496620264,0.0388814518922365,0.0193006759471204,3.27299481864692e-07,0.000121544021111863,8.96305025096354,1.02334753840322,1,1,1
high_D,19,9.99198149605531e-05,0.0500135705291192,0.0801850394468673,0.0271410582384446,3.26522284439754e-07,0.000121029696037584,8.19955299169954,0.228328877727688,1,1,1
high_D,20,9.9953744616305e-05,0.0499824016645291,0.0462553836950041,0.0351966709417617,3.2674002194179e-07,0.000121145653200377,7.88362360854113,0.0457441323683431,1,1,1
high_D,21,9.99155279796299e-05,0.0499845504256353,0.0844720203700966,0.0308991487293242,3.26490710056716e-07,0.00012097603021936,8.14674247459204,0.390878843329729,1,1,1
high_D,22,0.000100053323970707,0.0500197314351995,0.0533239707069866,0.0394628703989541,3.27392518840188e-07,0.000121840660948959,8.78612524250068,0.830080210420796,1,1,1
high_D,23,9.98966922029861e-05,0.0499730854807145,0.103307797013863,0.0538290385710849,3.27340662257743e-07,0.000120460900165028,8.86352896864377,0.634297112538061,1,1,1
high_D,24,9.98148798417054e-05,0.0500206945561231,0.185120158294583,0.0413891122461818,3.25831595774298e-07,0.000121445154159696,8.37447244279079,0.454180754635314,1,1,1
high_D,25,9.98458643638704e-05,0.0499910818660879,0.15413563612956,0.0178362678242783,3.26036728502475e-07,0.000120900721738465,9.13636119247799,0.703032042801998,1,1,1
high_D,26,9.98047770945757e-05,0.0500036995201253,0.195222905424264,0.00739904025068849,3.26705785434922e-07,0.000120416362543135,9.74388204725369,1.62442880323299,1,1,1
high_D,27,9.99160843342023e-05,0.0500301551273186,0.0839156657976958,0.0603102546371304,3.2649715695883e-07,0.000120950920829556,8.57096651917512,0.35990999049294,1,1,1
high_D,28,9.98323734251926e-05,0.0500085807794983,0.167626574807422,0.0171615589965812,3.25947325139766e-07,0.000121040163638492,9.04710865520459,0.983190654880395,1,1,1
high_D,29,9.99846945423721e-05,0.0499793476606445,0.0153054576279454,0.0413046787110738,3.26946415502998e-07,0.000121378130581431,8.36454954013458,0.1226423603629,1,1,1
high_D,30,0.000100009923068403,0.0500226627377989,0.00992306840252866,0.0453254755979016,3.28044287967071e-07,0.000121211806040288,8.08958325906046,0.109277910857065,1,1,1
