variant,scenario,C_MAPE_percent,ESR_MAPE_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,mean_NIS,mean_NEES,CI95_coverage,timing_tolerance_ns,convergence_cycles,computation_multiplies,C_absolute_gain,ESR_absolute_gain,C_relative_gain,ESR_relative_gain
A6,noisy_nominal,0.70743298619717,0.915850407851491,-0.14298936611077,0.312114795673887,1.42829424106906e-12,9.56072059785907e-07,0.157419951149694,0.83537527370629,1,100,45,46,0.00356054050585386,0.59121713124101,0.00500783814778819,0.392296374187064
A0,timing_50ns,0.160576501041246,5.90058576782895,0.00127006490664438,5.90058576782895,5.79031045162736e-06,2.11379103064168e-08,2.19521759713022,415.041467202459,0,0,128,18,0,0,0,0
A1,timing_50ns,0.100063614750476,0.321812796323195,0.0321910871190962,0.110719842948378,3.58509602997747e-08,0.0459679926228482,0.0121923934700228,1.38723711549092e-06,1,25,12,24,0.0605128862907702,5.57877297150575,0.376847707468896,0.945460873041152
A2,timing_50ns,0.160576501041246,1.4200693138175,0.00127006490664438,-1.4200693138175,3.6189440322671e-06,1.40919402042778e-08,0.144109161408128,39.3893361874309,0,35,128,30,-0.0605128862907702,-1.0982565174943,-0.604744156421579,-3.41271860548184
A3,timing_50ns,0.16594168237988,0.658887873402154,0.028428545685057,0.638755831800843,7.12885485134074e-14,5.81852343807268e-08,0.0365152034971537,2.82606522972716,0.8,45,2,38,-0.00536518133863403,0.761181440415345,-0.0334119955525493,0.536017103537785
A4,timing_50ns,0.16594168237988,0.658887873402154,0.028428545685057,0.638755831800843,1.09674690020627e-13,8.95157452011182e-08,0.0365152034971537,1.83694239932265,0.975,55,2,38,0,0,0,0
A5,timing_50ns,0.078637901501234,1.98569110955703,-0.000481543105964227,-1.98569110955703,1.77285118309585e-14,9.12927296639101e-08,0.266987780950315,12.2331328124793,0.05,80,2,38,0.087303780878646,-1.32680323615487,0.526111219475206,-2.01370110107499
A6,timing_50ns,0.0789736653028916,0.328008021118472,-0.000145779304306616,-0.2236034911601,1.77292583751246e-14,9.3143925601536e-08,0.0118846109635835,1.04982236340274,0.95,100,2,46,-0.000335763801657618,1.65768308843856,-0.00426974518963161,0.834814176515277
A0,low_CCM_margin,0.179022661031372,6.71967208644994,0.0260557581095862,6.71967208644994,9.98329388211615e-06,6.28356430036171e-08,2.85490062194121,181.658546412755,0,0,128,18,0,0,0,0
A1,low_CCM_margin,0.0989624372522322,0.395685760673556,-0.0194295173952821,0.0418176627627529,6.15682265195982e-08,0.136609613470536,0.0212899862147437,8.60916171129433e-07,1,25,13,24,0.0800602237791401,6.32398632577639,0.447207204484074,0.941115317000148
A2,low_CCM_margin,0.179022661031372,1.76078714817681,0.0260557581095862,-1.76078714817681,6.2395586763226e-06,4.1890428669078e-08,0.220598717181808,20.466189809768,0,35,128,30,-0.0800602237791401,-1.36510138750325,-0.808996079745744,-3.4499633880671
A3,low_CCM_margin,0.215493051567179,19.504,-0.0470038934142261,-1.04000000000003,1.22286204291693e-13,0.0003290625,31.8427494307059,0.999171493028953,0.975,45,128,38,-0.0364703905358069,-17.7432128518232,-0.203719408066534,-10.0768641287479
A4,low_CCM_margin,0.215493051567179,19.504,-0.0470038934142261,-1.04000000000003,1.88132621987219e-13,0.00050625,31.8427494307059,0.64946147046882,1,55,128,38,0,0,0,0
A5,low_CCM_margin,0.0730176062433609,19.504,0.00418250099480685,-1.04000000000003,2.8269075872884e-14,0.00050625,31.8352872868804,0.533521329209843,1,80,1024,38,0.142475445323818,0,0.661160275413345,0
A6,low_CCM_margin,0.0730176062433609,19.504,0.00418250099480685,-1.04000000000003,2.8269075872884e-14,0.00050625,31.8352872868804,0.533521329209843,1,100,1024,46,0,0,0,0
A0,C_0p8,0.149725261960116,3.08480083029841,-0.0385216387381579,3.08480083029841,5.79031045162736e-06,2.11379103064168e-08,0.612803436301281,115.558247034354,0,0,128,18,0,0,0,0
A1,C_0p8,0.0795892691848662,0.271645318777957,-0.0075574603723561,0.0596249425784883,1.46611652058961e-08,0.0459679926228482,0.00827429151349708,1.06054238446067e-06,1,25,12,24,0.0701359927752499,2.81315551152045,0.46843125773881,0.911940726898832
A2,C_0p8,0.149725261960116,1.74153670484594,-0.0385216387381579,-1.74153670484594,3.6189440322671e-06,1.40919402042778e-08,0.207776281151453,57.7269576337648,0,35,128,30,-0.0701359927752499,-1.46989138606799,-0.881224234040162,-5.41106834706573
A3,C_0p8,0.131414507394641,0.24396853375876,-0.0118753944284214,0.00856254725693888,2.91675517151802e-14,5.79320719369032e-08,0.00903954314598444,1.04378987775195,1,45,2,38,0.0183107545654751,1.49756817108718,0.122295692295083,0.859911919697184
A4,C_0p8,0.131414507394641,0.24396853375876,-0.0118753944284214,0.00856254725693888,4.48731564848926e-14,8.91262645183126e-08,0.00903954314598444,0.678463420538767,1,55,2,38,0,0,0,0
A5,C_0p8,0.0520165562149253,1.76065689638399,-0.0045807991599294,-1.76065689638399,7.26038146785376e-15,9.12927296639101e-08,0.207146229766325,9.44003739292786,0.075,80,2,38,0.0793979511797157,-1.51668836262523,0.604179498548678,-6.21673762291395
A6,C_0p8,0.0516196763809012,0.210682069650087,-0.00497767899395344,-0.0188701822851571,7.26077722134901e-15,9.2932140933889e-08,0.00560665845987714,0.59844319381207,1,100,2,46,0.000396879834024047,1.54997482673391,0.00762987523403498,0.880338940492732
A0,ESR_2x,0.144263576261747,0.688620400240704,-0.0628466077140249,0.679769605581062,5.79031045162736e-06,2.11577209065165e-08,0.0441351429344142,30.8606339424856,0.225,0,128,18,0,0,0,0
A1,ESR_2x,0.107717200771557,0.12025499373567,-0.0226798148286474,0.0373270532492587,3.57723632785751e-08,0.0459679926228482,0.0033766847472362,9.88206146597238e-07,1,25,10,24,0.0365463754901896,0.568365406505034,0.25333058029756,0.825368238156123
A2,ESR_2x,0.144263576261747,1.7615097420757,-0.0628466077140249,-1.7615097420757,3.6189440322671e-06,1.4105147271011e-08,0.208705362775835,231.744912510277,0,35,128,30,-0.0365463754901896,-1.64125474834003,-0.339280776221579,-13.6481213574186
A3,ESR_2x,0.152748707404563,0.119428340693514,-0.0674547959501704,-0.0066261337037233,7.10148843946284e-14,5.79612819811534e-08,0.00541680495519279,0.90609250940141,1,45,2,38,-0.00848513114281621,1.64208140138219,-0.0588168639838865,0.932201146640958
A4,ESR_2x,0.152748707404563,0.119428340693514,-0.0674547959501704,-0.0066261337037233,1.09253668299428e-13,8.91712030479283e-08,0.00541680495519279,0.588960131110916,1,55,2,38,0,0,0,0
A5,ESR_2x,0.0655784940409257,1.73305227055377,0.00952196385544769,-1.73305227055377,1.77355657517473e-14,9.13360067762861e-08,0.201954984035836,35.6221985816195,0,80,2,38,0.0871702133636374,-1.61362392986025,0.570677257076634,-13.5112312579244
A6,ESR_2x,0.0655784940409257,0.121123771005861,0.00952196385544769,0.00873618999358526,1.77355657517473e-14,9.2976199610745e-08,0.00217123046805419,0.620353323675724,1,100,2,46,0,1.61192849954791,0,0.930109568497228
A0,F28379D_MC,0.383508050367613,4.31400507451599,-0.0617533381809929,4.31400507451599,2.80251025858764e-05,1.02313561133754e-07,1.21013050276137,46.4204173436077,0,0,128,18,0,0,0,0
A1,F28379D_MC,0.303265351938589,0.640387603173748,-0.0606852783042581,0.34506848419128,3.57206255810415e-08,0.0459679926228482,0.061240757146968,7.97922683976191e-06,1,25,13,24,0.0802426984290234,3.67361747134224,0.209233413358876,0.851556131225554
A2,F28379D_MC,0.383508050367613,1.55945438777331,-0.0617533381809929,-1.55945438777331,1.75156891161728e-05,6.82090407558363e-08,0.199148923607011,10.1878879096942,0.15,35,128,30,-0.0802426984290234,-0.919066784599563,-0.264595668170073,-1.43517266737315
A3,F28379D_MC,0.479902019401882,0.461452200958048,-0.218251230779714,0.187578579148934,3.39827247856993e-13,1.44061137819786e-07,0.055165375479418,1.4975820201562,0.95,45,2,38,-0.0963939690342696,1.09800218681526,-0.251347967642064,0.704093813467068
A4,F28379D_MC,0.479902019401882,0.461452200958048,-0.218251230779714,0.187578579148934,5.2281115054922e-13,2.21632519722747e-07,0.055165375479418,0.973428313101533,1,55,2,38,0,0,0,0
A5,F28379D_MC,0.1494898584438,1.67500794546513,0.0189846836963418,-1.67500794546513,7.34299157716025e-14,2.02769544881909e-07,0.207221906236125,4.52655746289742,0.525,80,2,38,0.330412160958082,-1.21355574450708,0.688499209421719,-2.6298622955694
A6,F28379D_MC,0.148648846026147,0.394909829578941,0.0181436712786892,0.0699043082510623,7.34307028674328e-14,2.0640943875255e-07,0.0182202546834729,0.792491799538344,0.975,100,2,46,0.000841012417652637,1.28009811588619,0.00562588276159759,0.764234055935013
