cycle,time_s,C_OFF_F,C_ON_F,C_true_F,ESR_true_Ohm
27,0.00652,0.00010000167260378,9.99977085497484e-05,0.0001,0.05
28,0.00654,0.000100001669020046,9.99977140825005e-05,0.0001,0.05
29,0.00656,0.000100001665309484,9.99977195788885e-05,0.0001,0.05
30,0.00658,0.000100001661473666,9.99977250280162e-05,0.0001,0.05
31,0.0066,0.0001000016575146,9.99977304193564e-05,0.0001,0.05
32,0.00662,0.000100001653435039,9.99977357430186e-05,0.0001,0.05
33,0.00664,0.00010000164923831,9.99977409895682e-05,0.0001,0.05
34,0.00666,0.000100001644928374,9.99977461501613e-05,0.0001,0.05
35,0.00668,0.000100001640509762,9.99977512166572e-05,0.0001,0.05
36,0.0067,0.000100001635987652,9.99977561811906e-05,0.0001,0.05
37,0.00672,0.000100001631367622,9.99977610368466e-05,0.0001,0.05
38,0.00674,0.000100001626656084,9.99977657770077e-05,0.0001,0.05
39,0.00676,0.000100001621859756,9.99977703958281e-05,0.0001,0.05
40,0.00678,0.000100001616985859,9.9997774888057e-05,0.0001,0.05
41,0.0068,0.000100001612042169,9.99977792488822e-05,0.0001,0.05
42,0.00682,0.000100001607036905,9.99977834742978e-05,0.0001,0.05
43,0.00684,0.000100001601978492,9.99977875608131e-05,0.0001,0.05
44,0.00686,0.00010000159687597,9.99977915054016e-05,0.0001,0.05
45,0.00688,0.000100001591738367,9.99977953057896e-05,0.0001,0.05
46,0.0069,0.000100001586575311,9.9997798960131e-05,0.0001,0.05
47,0.00692,0.000100001581396421,9.99978024672308e-05,0.0001,0.05
48,0.00694,0.000100001576211574,9.99978058263795e-05,0.0001,0.05
49,0.00696,0.000100001571030815,9.99978090373567e-05,0.0001,0.05
50,0.00698,0.000100001565864159,9.99978121005559e-05,0.0001,0.05
51,0.007,0.000100001560721799,9.9997815016764e-05,0.0001,0.05
52,0.00702,0.000100001555613962,9.99978177873056e-05,0.0001,0.05
53,0.00704,0.000100001550550606,9.99978204138165e-05,0.0001,0.05
54,0.00706,0.000100001545541937,9.99978228986211e-05,0.0001,0.05
55,0.00708,0.000100001540597761,9.99978252441942e-05,0.0001,0.05
56,0.0071,0.000100001535727927,9.99978274535669e-05,0.0001,0.05
57,0.00712,0.000100001530942032,9.99978295300065e-05,0.0001,0.05
58,0.00714,0.000100001526249399,9.99978314772336e-05,0.0001,0.05
59,0.00716,0.000100001521659249,9.99978332992075e-05,0.0001,0.05
60,0.00718,0.000100001517180428,9.99978350001272e-05,0.0001,0.05
61,0.0072,0.000100001512821475,9.99978365845542e-05,0.0001,0.05
62,0.00722,0.000100001508590679,9.99978380572071e-05,0.0001,0.05
63,0.00724,0.000100001504495921,9.99978394230726e-05,0.0001,0.05
64,0.00726,0.000100001500544765,9.9997840687141e-05,0.0001,0.05
65,0.00728,0.000100001496744343,9.99978418547251e-05,0.0001,0.05
66,0.0073,0.000100001493101448,9.99978429312386e-05,0.0001,0.05
67,0.00732,0.000100001489622525,9.99978439219879e-05,0.0001,0.05
68,0.00734,0.000100001486313445,9.9997844832443e-05,0.0001,0.05
69,0.00736,0.000100001483179827,9.99978456681507e-05,0.0001,0.05
70,0.00738,0.000100001480226701,9.99978464345417e-05,0.0001,0.05
71,0.0074,0.000100001477458734,9.9997847137098e-05,0.0001,0.05
72,0.00742,0.000100001474880216,9.99978477810611e-05,0.0001,0.05
73,0.00744,0.000100001472494924,9.9997848371754e-05,0.0001,0.05
74,0.00746,0.000100001470306234,9.99978489142781e-05,0.0001,0.05
75,0.00748,0.000100001468316972,9.99978494135246e-05,0.0001,0.05
76,0.0075,0.000100001466529662,9.99978498742587e-05,0.0001,0.05
77,0.00752,0.000100001464946342,9.99978503010616e-05,0.0001,0.05
78,0.00754,0.000100001463568546,9.99978506981255e-05,0.0001,0.05
79,0.00756,0.000100001462397404,9.99978510695943e-05,0.0001,0.05
80,0.00758,0.00010000146143375,9.99978514191706e-05,0.0001,0.05
81,0.0076,0.000100001460677701,9.99978517502605e-05,0.0001,0.05
82,0.00762,0.000100001460129255,9.99978520660398e-05,0.0001,0.05
83,0.00764,0.000100001459787712,9.99978523691909e-05,0.0001,0.05
84,0.00766,0.000100001459652265,9.9997852662172e-05,0.0001,0.05
85,0.00768,0.000100001459721444,9.99978529470901e-05,0.0001,0.05
86,0.0077,0.000100001459993409,9.99978532255625e-05,0.0001,0.05
87,0.00772,0.000100001460466009,9.99978534988987e-05,0.0001,0.05
88,0.00774,0.000100001461136753,9.99978537679605e-05,0.0001,0.05
89,0.00776,0.000100001462002574,9.99978540333089e-05,0.0001,0.05
90,0.00778,0.000100001463060212,9.99978542950481e-05,0.0001,0.05
91,0.0078,0.000100001464305428,9.99978545528624e-05,0.0001,0.05
92,0.00781999999999997,0.000100001465734741,9.99978548052663e-05,0.0001,0.05
93,0.00783999999999985,0.000100001459733947,9.99978550528679e-05,0.0001,0.05
94,0.00786,0.000100001469128386,9.99996874969113e-05,0.0001,0.05
95,0.00787999999999993,0.000100001471082252,9.99978555252045e-05,0.0001,0.05
96,0.00789999999999981,0.000100000312158731,9.99978817068015e-05,0.0001,0.05
97,0.00792,0.00010000147547718,9.99978559531676e-05,0.0001,0.05
98,0.00793999999999988,0.000100001470255809,9.99978561441829e-05,0.0001,0.05
99,0.00796,0.000100001480482093,9.99996876249421e-05,0.0001,0.05
100,0.00797999999999993,0.000100001483197082,9.99978564647021e-05,0.0001,0.05
101,0.00799999999999981,0.000100000314846399,9.99978825365327e-05,0.0001,0.05
102,0.00802,0.000100001489018018,9.99978566790776e-05,0.0001,0.05
103,0.00803999999999988,0.00010000148440477,9.99978567365858e-05,0.0001,0.05
104,0.00806,0.000100001495311762,9.99996876845688e-05,0.0001,0.05
105,0.00807999999999993,0.000100001498616764,9.99978567307612e-05,0.0001,0.05
106,0.00809999999999981,0.000100000318200869,9.99978826066511e-05,0.0001,0.05
107,0.00812,0.0001000015055034,9.99978565329524e-05,0.0001,0.05
108,0.00813999999999988,0.000100001501300051,9.99978563501609e-05,0.0001,0.05
