cycle,time_s,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
89,0.00776,0.121076598350299,0.972682713198313,1.46822196064645,0.0496031654360296,0.05
90,0.00778,0.121083833955154,0.972390082382403,1.46865343500869,0.0496033082132698,0.05
91,0.0078,0.121082990395486,0.971941040561539,1.46907661233827,0.0496034882220722,0.05
92,0.00781999999999997,0.121074103584505,0.971337935874578,1.4694899097494,0.0496037046617489,0.05
93,0.00783999999999985,0.12105721675082,0.970583536425845,1.46989147907646,0.0496039565993689,0.05
94,0.00786,0.121839517589258,0.966462400671225,1.47027921755827,0.0500009999738033,0.05
95,0.00787999999999993,0.120999660683736,0.968633893583784,1.47065100736528,0.0496045626472982,0.05
96,0.00789999999999981,0.120959105383115,0.96744616783379,1.47100387771233,0.0496049142380625,0.05
97,0.00792,0.121144205469221,0.965187492047574,1.4713352070654,0.0497201218413949,0.05
98,0.00793999999999988,0.120854809937271,0.964666536562129,1.47164202827709,0.0496057074548955,0.05
99,0.00796,0.121591488669701,0.959859976980248,1.47192116205842,0.0500009999739402,0.05
100,0.00797999999999993,0.120720160612954,0.961380379596962,1.47216951051227,0.0496066101227683,0.05
101,0.00799999999999981,0.12064168277422,0.959560753698941,1.4723832098038,0.0496070981012488,0.05
102,0.00802,0.120786786348745,0.956695023418603,1.47255883916731,0.0497217636283467,0.05
103,0.00803999999999988,0.120462959519728,0.95559755975147,1.47269273050014,0.0496081378751656,0.05
104,0.00806,0.121153356170645,0.950237557754263,1.47278110654782,0.0500009999739483,0.05
105,0.00807999999999993,0.120255992131064,0.951243552881256,1.47282037875943,0.0496092493937116,0.05
106,0.00809999999999981,0.120142226972078,0.948936218324744,1.47280630309549,0.049609826771188,0.05
107,0.00812,0.120249398463571,0.945613782448266,1.47273519255694,0.0497237576984984,0.05
108,0.00813999999999988,0.119894828871658,0.944094586875607,1.47260322895958,0.0496110138744108,0.05
109,0.00816,0.120539850073648,0.93834218495413,1.47240660279896,0.0500009999739523,0.05
110,0.00817999999999993,0.119621921642953,0.938995988576644,1.47214181240511,0.0496122293774522,0.05
111,0.00819999999999981,0.119476285556821,0.93636774932871,1.47180482057587,0.049612842140111,0.05
112,0.00822,0.119548594834598,0.932758389941651,1.47139226660243,0.0497259165140867,0.05
113,0.00823999999999988,0.11916748461072,0.93098830380814,1.47090077793565,0.0496140664931137,0.05
114,0.00826,0.119769622114887,0.925017428292852,1.4703271083615,0.0500009999739633,0.05
115,0.00827999999999993,0.118836473441455,0.925490599921053,1.46966843526492,0.049615274683515,0.05
116,0.00829999999999981,0.1186630872715,0.922714341149128,1.46892151492349,0.0496158673027927,0.05
117,0.00832,0.118704541819639,0.918990571074484,1.46808388965739,0.049728043164286,0.05
118,0.00833999999999988,0.118301512777073,0.917139824895086,1.46715319743849,0.0496170192459348,0.05
119,0.00836,0.118864765060849,0.911120452450448,1.46612730504922,0.0500009999739649,0.05
120,0.00837999999999993,0.117921518189796,0.91157743827967,1.46500460047835,0.0496181138570839,0.05
121,0.00839999999999981,0.117725116370465,0.908815703728671,1.46378314518908,0.049618635035655,0.05
122,0.00842,0.117740555255217,0.905136552651923,1.46246187209377,0.0497299516778755,0.05
123,0.00843999999999988,0.117320564379241,0.9033589507192,1.46103989181349,0.0496196167367306,0.05
124,0.00846,0.117850263668672,0.897441517532127,1.45951661790549,0.0500009999739729,0.05
125,0.00847999999999993,0.116901789044014,0.89802477614883,1.45789205197946,0.0496205076716947,0.05
126,0.00849999999999981,0.116687613843318,0.895415292798339,1.45616593199642,0.0496209157536126,0.05
127,0.00852,0.116682565314356,0.891912389436799,1.4543389172629,0.0497314865552426,0.05
128,0.00853999999999988,0.116250826569782,0.890332109721947,1.45241189093255,0.0496216515920241,0.05
129,0.00856,0.116753382929566,0.884634884267639,1.45038607511945,0.0500009999739842,0.05
130,0.00857999999999993,0.115804322646063,0.885453227272057,1.4482633071745,0.0496222745722315,0.05
131,0.00859999999999981,0.115578003351864,0.883097955655873,1.44604518397581,0.0496225420349824,0.05
132,0.00862,0.115558510943259,0.87986541248396,1.44373423100786,0.0497325394531401,0.05
133,0.00863999999999988,0.115120418735948,0.878567838744317,1.44133320168407,0.0496229868127007,0.05
134,0.00866,0.115603001032824,0.873168600448194,1.43884518113578,0.0500009999739808,0.05
135,0.00867999999999993,0.114657826012092,0.874289973412397,1.43627385312091,0.0496233104212147,0.05
136,0.00869999999999981,0.114425243874599,0.872248819039942,1.43362264120542,0.0496234269114132,0.05
137,0.00872,0.114397668628584,0.869337951409025,1.43089586016093,0.0497330610710853,0.05
138,0.00873999999999988,0.113958717618793,0.868365453857342,1.42809801364077,0.0496235708652251,0.05
139,0.00876,0.114428897202487,0.863298288062134,1.42523388653502,0.0500009999739809,0.05
140,0.00877999999999993,0.113491975755188,0.864747671119562,1.42230880307006,0.0496236000448579,0.05
141,0.00879999999999981,0.113259116724883,0.863037421436768,1.41932776664301,0.0496235735264484,0.05
142,0.00882,0.113229925342338,0.860456742873349,1.4162965930959,0.0497330666231942,0.05
143,0.00883999999999988,0.112795621679965,0.859809721843923,1.41322120908018,0.0496234433704373,0.05
144,0.00886,0.113261007873852,0.855067121191983,1.41010773396678,0.0500009999739795,0.05
145,0.00887999999999993,0.112336662504582,0.856829609767392,1.40696273071205,0.049623218744874,0.05
146,0.00889999999999981,0.112109461143923,0.855428031400877,1.40379234676281,0.0496230745028278,0.05
147,0.00892,0.112083545633901,0.853155153446029,1.40060343012659,0.0497318330591681,0.05
148,0.00893999999999988,0.111660771596419,0.85279120949099,1.39740283128684,0.0496227301170086,0.05
149,0.00896,0.11212866820172,0.848331037996291,1.39419747663497,0.0500009999739769,0.05
150,0.00897999999999993,0.111221200036994,0.850359547256317,1.39099461450079,0.0496223229397186,0.05
151,0.00899999999999981,0.111005379268128,0.849213965576498,1.38780095991276,0.0496221004175241,0.05
152,0.00902,0.110991713144145,0.847177685256602,1.38462379563037,0.0497318933133937,0.05
153,0.00903999999999988,0.110582750149604,0.847048939015966,1.38147028065366,0.0496216273001215,0.05
154,0.00906,0.111059859161905,0.842805243448714,1.37834751789024,0.0500009999739757,0.05
155,0.00907999999999993,0.110173524675524,0.845031738527077,1.37526279828145,0.049621130372139,0.05
156,0.00909999999999981,0.109974437088276,0.844070898738679,1.37222275222515,0.0496208780999981,0.05
157,0.00912,0.109977095190054,0.84220448914991,1.3692344387405,0.0497310116969706,0.05
158,0.00913999999999988,0.10958829005574,0.842229376209277,1.36630466341853,0.0496203762719494,0.05
159,0.00916,0.110080483056102,0.838125587489372,1.36344004346605,0.0500009999739728,0.05
160,0.00917999999999993,0.109219415134987,0.840474339234465,1.36064725304455,0.0496198917488709,0.05
161,0.00919999999999981,0.109041892271236,0.839621976690282,1.35793218382834,0.0496196609076985,0.05
162,0.00922,0.109065755191992,0.837849642396345,1.35530102613618,0.0497301698222903,0.05
163,0.00923999999999988,0.108701521721407,0.837953928928761,1.35275959860114,0.0496192315222392,0.05
164,0.00926,0.109213691633343,0.833916735391512,1.35031341380942,0.0500009999739713,0.05
165,0.00927999999999993,0.108381765526211,0.836317884838115,1.34796792778398,0.0496188570652782,0.05
166,0.00929999999999981,0.108229981768993,0.835506254813607,1.34572771149139,0.0496186944825245,0.05
167,0.00932,0.108279147940834,0.833763295495159,1.34359752803881,0.049729538058415,0.05
168,0.00933999999999988,0.107943293956914,0.833886250143281,1.34158167546273,0.0496184258505422,0.05
169,0.00936,0.108479290981371,0.829858374012064,1.33968405589637,0.0500009999739668,0.05
