case_id,noise_profile,skew_ns,seed,observation,estimator,cell_id,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,divergence_flag,projection_saturation,projection_activations,invalid_updates,timing_failure,nis_mean,nees_parameter,CI_C_contains_true,CI_ESR_contains_true,mu_C,mu_R
PV1-021,F28379D_device_realistic,0,24021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,8.04225148046987e-05,0.0499381807311788,0.528143505873402,0.123638537642368,0.528143505873402,-0.123638537642368,4.65089098171232e-14,1.64224451085834e-07,2,0,0,0,0,0,0.508925553153224,3.90229973014379,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,20,34021,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.43171952148654e-05,0.0507859787230842,7.1035059814182,1.57195744616849,-7.1035059814182,1.57195744616849,9.50117516268863e-14,8.16546434437843e-08,80,0,1,10,0,0,NaN,348.022989526961,0,0,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,20,34021,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,7.98888808253084e-05,0.0500413035865021,0.138898968364487,0.0826071730041678,-0.138898968364487,0.0826071730041678,1.18510704985825e-13,1.52730420954515e-08,2,0,0,0,0,0,NaN,0.215598600992161,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,20,34021,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.41903658496307e-05,0.0511044328644032,7.26204268796162,2.20886572880641,-7.26204268796162,2.20886572880641,3.7381266648919e-14,1.11278377459958e-06,1024,0,0,0,0,0,0.188335536076064,778.046156728701,0,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,20,34021,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,7.98630518623292e-05,0.0492847243454137,0.171185172088506,1.43055130917251,-0.171185172088506,-1.43055130917251,4.55906654087712e-14,5.31228832331394e-07,5,0,0,0,0,0,0.53120672091806,1.37305269932118,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,20,34021,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.4183039559657e-05,0.0509676652531757,7.27120055042873,1.93533050635131,-7.27120055042873,1.93533050635131,3.63332602278689e-14,3.66305509201072e-07,1024,0,0,0,0,0,0.191328776553563,811.367435465447,0,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,20,34021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,7.98638341069006e-05,0.0495993987736525,0.170207366374253,0.80120245269496,-0.170207366374253,-0.80120245269496,4.52299581894134e-14,1.64224451085834e-07,3,0,0,0,0,0,0.597688257523236,1.38574382921911,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,50,44021,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.26066265363705e-05,0.0510074890710874,9.24171682953686,2.01497814217482,-9.24171682953686,2.01497814217482,8.65615685954733e-14,8.16546434437843e-08,1024,0,1,23,0,0,NaN,614.38105285392,0,0,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,50,44021,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,7.99511737241027e-05,0.0500959492491377,0.0610328448716668,0.191898498275367,-0.0610328448716668,0.191898498275367,1.18880769721357e-13,1.52730420954515e-08,10,0,0,0,0,0,NaN,0.622807582498217,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,50,44021,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.27132765031139e-05,0.0506431417089199,9.10840437110769,1.28628341783981,-9.10840437110769,1.28628341783981,3.4492035230217e-14,1.11278377459958e-06,1024,0,0,0,0,0,0.198157297978381,1272.43945244756,0,1,95703.5244454401,181517227.108026
