path_id,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,multi_cycle,quantization_case,calibration_level,fusion_method,C_est_F,ESR_est_Ohm,C_MAPE_percent,C_MAPE_p95_percent,ESR_MAPE_percent,ESR_MAPE_p95_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,NIS_C_mean,NIS_R_mean,NEES_mean,CI_C_95_coverage,CI_ESR_95_coverage,accuracy_pass,confidence_pass
native_12_V3,native_12bit_highspeed,V3,12,10.5,4000000,1024,Q3_full_nonideal,Cal3,robust_trimmed_mean,0.000100002613517572,0.0498385906698232,1.29069850203578,4.09216523740168,1.46034429448461,4.50594412112738,0.00261351757189221,-0.322818660353563,3.08675403572414e-12,9.20652511924446e-07,1.20101789489082,1.11873957284839,1.85101441629779,0.9375,0.90625,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q1_deterministic,Cal3,TS_SLTVKE_sequential,9.9998332888929e-05,0.0499647175528,0.938453241444141,3.77292755467196,0.260670006786802,0.538301996858277,-0.00166711107103534,-0.0705648943999271,2.04344074289888e-12,2.38392918019357e-08,0,0,0.531005169430776,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q1_deterministic,Cal3,weighted_batch_average,0.000100119618642771,0.0500042203793459,0.812379883468538,3.61658071153745,0.269372401046268,0.713181400169389,0.119618642770813,0.00844075869186334,1.52705084093067e-12,2.78283454988962e-08,0,0,0.42359989048939,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q1_deterministic,Cal3,robust_trimmed_mean,0.000100451127324581,0.0500236656747132,0.69201924976555,0.978427828702961,0.231705518902196,0.549529157955766,0.451127324581346,0.0473313494263161,6.24850069768083e-13,2.03774990071552e-08,0,0,0.238409118911985,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q2_2mV,Cal3,TS_SLTVKE_sequential,0.000104044678120814,0.049590122481285,12.936747178776,38.3897639528354,6.69177141329933,17.1751117454059,4.04467812081395,-0.819755037429915,2.91797296034839e-10,1.82023043106784e-05,0,0,1.74120645407989,0.96875,0.96875,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q2_2mV,Cal3,weighted_batch_average,0.00010072221936427,0.0511733727596744,10.1176849698985,23.7875930108091,7.62337354370022,18.0761042837705,0.722219364270282,2.34674551934881,1.81432008547669e-10,1.90978567173739e-05,0,0,1.69996079793178,0.96875,0.9375,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q2_2mV,Cal3,robust_trimmed_mean,9.93457833643589e-05,0.0502593543117655,11.0926111825502,25.8666957551062,9.03075616297587,25.1731009621826,-0.654216635641092,0.518708623531006,1.71742891874878e-10,3.14258697828433e-05,0,0,2.53043577871835,0.96875,0.875,0,0
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q3_full_nonideal,Cal3,TS_SLTVKE_sequential,0.000103630660669528,0.0512419175841356,13.2067749388746,37.4700805247807,7.68472328187511,21.107634300555,3.63066066952795,2.48383516827124,2.75379040653787e-10,2.36876133506692e-05,0,0,2.5514742427428,0.9375,0.875,0,0
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q3_full_nonideal,Cal3,weighted_batch_average,9.95180085844388e-05,0.050636944587088,12.0591336452287,30.0498315845902,9.06433093739043,23.8719310434578,-0.481991415561189,1.27388917417601,2.31063985902603e-10,3.48560552583452e-05,0,0,3.1094145235384,0.90625,0.8125,0,0
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,1,Q3_full_nonideal,Cal3,robust_trimmed_mean,0.000104324452272508,0.0499671876166578,11.4519185373096,30.1499630075759,7.60102892853233,20.9059983083347,4.32445227250815,-0.065624766684369,2.50761568240023e-10,2.42354313668992e-05,0,0,2.19241400567083,0.9375,0.9375,0,1
