edge_guard_us,edge_window_us,edge_points_per_side,valid_edges,ESR_MAPE_percent,ESR_p95_MAPE_percent,edge_fit_rmse_V,edge_fit_variance_V2,latency_us,samples_per_cycle,status,edge_method
0.2,1,3,148,0.0281944268149814,0.0307734960723849,1.46004264700222e-05,4.80483941930186e-10,1.2,160,PASS,timestamped_linear
0.2,1,4,148,0.0281944268149814,0.0307734960723849,1.46004264700222e-05,4.80483941930186e-10,1.2,160,PASS,timestamped_linear
0.2,1,6,148,0.0281944268149814,0.0307734960723849,1.46004264700222e-05,4.80483941930186e-10,1.2,160,PASS,timestamped_linear
0.2,1,8,148,0.0281944268149814,0.0307734960723849,1.46004264700222e-05,4.80483941930186e-10,1.2,160,PASS,timestamped_linear
0.2,1.5,3,148,0.0499903998290974,0.0545640604488429,3.35952136756993e-05,1.29122544952125e-09,1.7,160,PASS,timestamped_linear
0.2,1.5,4,148,0.0499903998290974,0.0545640604488429,3.35952136756993e-05,1.29122544952125e-09,1.7,160,PASS,timestamped_linear
0.2,1.5,6,148,0.0499903998290974,0.0545640604488429,3.35952136756993e-05,1.29122544952125e-09,1.7,160,PASS,timestamped_linear
0.2,1.5,8,148,0.0499903998290974,0.0545640604488429,3.35952136756993e-05,1.29122544952125e-09,1.7,160,PASS,timestamped_linear
0.2,2,3,148,0.0777932235286161,0.0849118672500637,6.01790852073226e-05,2.71462007426908e-09,2.2,160,PASS,timestamped_linear
0.2,2,4,148,0.0777932235286161,0.0849118672500637,6.01790852073226e-05,2.71462007426908e-09,2.2,160,PASS,timestamped_linear
0.2,2,6,148,0.0777932235286161,0.0849118672500637,6.01790852073226e-05,2.71462007426908e-09,2.2,160,PASS,timestamped_linear
0.2,2,8,148,0.0777932235286161,0.0849118672500637,6.01790852073226e-05,2.71462007426908e-09,2.2,160,PASS,timestamped_linear
0.2,3,3,148,0.151395872482346,0.165254705229216,0.000136102312688351,8.08898731253922e-09,3.2,160,PASS,timestamped_linear
0.2,3,4,148,0.151395872482346,0.165254705229216,0.000136102312688351,8.08898731253922e-09,3.2,160,PASS,timestamped_linear
0.2,3,6,148,0.151395872482346,0.165254705229216,0.000136102312688351,8.08898731253922e-09,3.2,160,PASS,timestamped_linear
0.2,3,8,148,0.151395872482346,0.165254705229216,0.000136102312688351,8.08898731253922e-09,3.2,160,PASS,timestamped_linear
0.5,0.5,3,148,0.0382816925101559,0.0796060431513745,3.96586091305899e-06,3.53295291214029e-10,1,160,PASS,timestamped_linear
0.5,0.5,4,148,0.0382816925101559,0.0796060431513745,3.96586091305899e-06,3.53295291214029e-10,1,160,PASS,timestamped_linear
0.5,0.5,6,0,NaN,NaN,NaN,NaN,1,160,FAIL,timestamped_linear
0.5,0.5,8,0,NaN,NaN,NaN,NaN,1,160,FAIL,timestamped_linear
0.5,1,3,148,0.0645493085089432,0.121241718139964,1.59461819824027e-05,1.04489066976378e-09,1.5,160,PASS,timestamped_linear
0.5,1,4,148,0.0645493085089432,0.121241718139964,1.59461819824027e-05,1.04489066976378e-09,1.5,160,PASS,timestamped_linear
0.5,1,6,148,0.0645493085089432,0.121241718139964,1.59461819824027e-05,1.04489066976378e-09,1.5,160,PASS,timestamped_linear
0.5,1,8,148,0.0645493085089432,0.121241718139964,1.59461819824027e-05,1.04489066976378e-09,1.5,160,PASS,timestamped_linear
0.5,1.5,3,148,0.0968107768124116,0.169261479203842,3.55229121993585e-05,2.30071901169714e-09,2,160,PASS,timestamped_linear
0.5,1.5,4,148,0.0968107768124116,0.169261479203842,3.55229121993585e-05,2.30071901169714e-09,2,160,PASS,timestamped_linear
0.5,1.5,6,148,0.0968107768124116,0.169261479203842,3.55229121993585e-05,2.30071901169714e-09,2,160,PASS,timestamped_linear
