test_id,model_type,stress_group,ESL_nH,delay_magnitude_ns,jitter_rms_ns,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status
17,Model_A,layered,10,500,0,0.0001,0.200706327300226,0.0001,0,0.2,300,0.405405405405405,FAIL
18,Model_A,layered,10,1000,0,0.0001,0.0929555798670019,0.0001,0,0.0895534069928559,79.1068139857118,0,FAIL
19,Model_A,layered,20,0,0,7.84544435951318e-05,0.0800394766989852,7.86087138023412e-05,21.3912861976588,0.0787708341736029,57.5416683472058,0.405405405405405,FAIL
20,Model_A,layered,20,50,0,5.99897279815322e-05,0.0885596847727484,6.03719035859528e-05,39.6280964140472,0.0491733942022958,1.65321159540839,0,FAIL
21,Model_A,layered,20,100,0,0.000133697772338435,0.079807686478745,0.00012923047981771,29.2304798177105,0.0511068643058578,2.21372861171556,0,FAIL
22,Model_A,layered,20,200,0,0.000119839956245744,0.0109252301501982,0.000119513018518615,19.5130185186148,0.0122745457962485,75.450908407503,0.405405405405405,FAIL
23,Model_A,layered,20,500,0,0.0001,0.201660156207332,0.0001,0,0.0231080796809722,53.7838406380557,0,FAIL
24,Model_A,layered,20,1000,0,0.0001,0.12769685548561,0.0001,0,0.121182914204561,142.365828409122,0,FAIL
25,Model_A,layered,50,0,0,0.0001,0.118565148255128,0.0001,0,0.118349403498845,136.698806997689,0.405405405405405,FAIL
26,Model_A,layered,50,50,0,0.0001,0.132483231590478,0.0001,0,0.0495342711595538,0.931457680892311,0,PASS
27,Model_A,layered,50,100,0,0.000246419193204676,0.115034260704345,0.00015,50,0.0548225394853102,9.64507897062048,0,FAIL
28,Model_A,layered,50,200,0,0.000218065681117902,0.00148099596110974,0.00015,50,0.005,90,0.405405405405405,FAIL
29,Model_A,layered,50,500,0,0.0001,0.148959720209862,0.0001,0,0.0216266224384923,56.7467551230153,0,FAIL
30,Model_A,layered,50,1000,0,0.0001,0.111246945631647,0.0001,0,0.105036394531688,110.072789063377,0,FAIL
31,Model_A,Stress_1,20,200,20,8.12699265714263e-05,0.0198082531916685,8.31937949866947e-05,16.8062050133053,0.0473604737825812,5.27905243483761,0.0337837837837838,FAIL
32,Model_A,Stress_1,20,200,20,7.01996073047561e-05,0.00960236490107783,7.04760724181244e-05,29.5239275818756,0.0298671054958822,40.2657890082356,0.290540540540541,FAIL
33,Model_A,Stress_1,20,200,20,8.0703910819791e-05,0.020756459269615,8.21742919920987e-05,17.8257080079013,0.0349845011536857,30.0309976926287,0.25,FAIL
34,Model_A,Stress_1,20,200,20,6.5263759988348e-05,0.0168808845477124,6.55602563145318e-05,34.4397436854682,0.0418506409271589,16.2987181456821,0.141891891891892,FAIL
35,Model_A,Stress_1,20,200,20,6.38223933360807e-05,0.0215309777013996,6.38223933360807e-05,36.1776066639193,0.0392649874769558,21.4700250460883,0.114864864864865,FAIL
36,Model_A,Stress_1,20,200,20,6.67615101082194e-05,0.00857950157487623,6.76763712307515e-05,32.3236287692485,0.0430656891198867,13.8686217602267,0.148648648648649,FAIL
37,Model_A,Stress_1,20,200,20,6.44556256196332e-05,0.0131229494279608,6.4680887287873e-05,35.319112712127,0.0318090973156907,36.3818053686185,0.310810810810811,FAIL
38,Model_A,Stress_1,20,200,20,6.50575375988961e-05,0.019961611899529,6.53921906790619e-05,34.6078093209381,0.0357714447165255,28.4571105669491,0.243243243243243,FAIL
39,Model_A,Stress_1,20,200,20,6.89076557089599e-05,-0.00161682400344849,6.92771140787647e-05,30.7228859212353,0.0453370730330185,9.32585393396308,0.0743243243243243,FAIL
40,Model_A,Stress_1,20,200,20,9.76320359150553e-05,0.0182402059336375,9.8540162307261e-05,1.45983769273899,0.0363281598204542,27.3436803590916,0.222972972972973,FAIL
41,Model_A,Stress_1,20,200,20,0.000105128602715778,0.0105969667191138,0.000104848753526766,4.84875352676553,0.0283168452768459,43.3663094463082,0.310810810810811,FAIL
