test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes,algorithm_version,edge_method,pre_projection_C,pre_projection_ESR,post_projection_C,post_projection_ESR,sample_phase_fraction,common_pwm_offset_ns,voltage_delay_ns,i1_delay_ns,i2_delay_ns,jitter_rms_ns,adc_aperture_ns,voltage_frontend_fc_Hz,i1_frontend_fc_Hz,i2_frontend_fc_Hz,edge_guard_us,edge_window_us,edge_points_per_side,edge_fit_order,edge_fit_rmse_V,edge_fit_variance_V2,R_V,R_C,R_R,NIS_V,NIS_C,NIS_R,gate_V,gate_C,gate_R,rank_Obs_normalized,cond_Obs_normalized,min_sv_Obs_normalized,info_min_eig,info_cond,sigma_v_mV_RMS,sigma_i_mA_RMS,test_family
edge_6,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-5e-07,0,robust_polynomial,9.99999881024833e-05,1.18975166718549e-05,0.0449909120368718,10.0181759262564,NaN,NaN,NaN,NaN,NaN,NaN,FAIL,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,robust_polynomial,9.99999881024833e-05,0.0449909120368718,9.99999881024833e-05,0.0449909120368718,NaN,-500,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,2,2.74970005896129e-09,4.16849350830354e-17,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_7,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-2e-07,0,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v1,adjacent,9.99999895035309e-05,0.0490497978726971,9.99999895035309e-05,0.0490497978726971,NaN,-200,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,0,0,0,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_8,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-2e-07,0,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0479140925925848,4.17181481483044,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,timestamped_linear,9.99999895035309e-05,0.0479140925925848,9.99999895035309e-05,0.0479140925925848,NaN,-200,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,1,3.17797567789838e-05,5.04610037192093e-09,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_9,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-2e-07,0,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0479985189245374,4.00296215092528,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,robust_polynomial,9.99999895035309e-05,0.0479985189245374,9.99999895035309e-05,0.0479985189245374,NaN,-200,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,2,2.40563793253924e-09,4.04393624564127e-17,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_10,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-07,0,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v1,adjacent,9.99999895035309e-05,0.0490497978726971,9.99999895035309e-05,0.0490497978726971,NaN,-100,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,0,0,0,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_11,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-07,0,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0489612304444228,2.07753911115447,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,timestamped_linear,9.99999895035309e-05,0.0489612304444228,9.99999895035309e-05,0.0489612304444228,NaN,-100,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,1,3.17797567800697e-05,4.76959008318008e-09,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_12,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-07,0,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0489996204872271,2.00075902554578,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,robust_polynomial,9.99999895035309e-05,0.0489996204872271,9.99999895035309e-05,0.0489996204872271,NaN,-100,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,2,2.40563823772177e-09,3.58093612491848e-17,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_13,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-5e-08,0,adjacent,9.99999895035309e-05,1.04964690827991e-05,0.0490497978726971,1.90040425460577,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v1,adjacent,9.99999895035309e-05,0.0490497978726971,9.99999895035309e-05,0.0490497978726971,NaN,-50,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,0,0,0,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_14,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-5e-08,0,timestamped_linear,9.99999895035309e-05,1.04964690827991e-05,0.0494849197684435,1.03016046311303,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,timestamped_linear,9.99999895035309e-05,0.0494849197684435,9.99999895035309e-05,0.0494849197684435,NaN,-50,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,1,3.17797567791374e-05,4.65208881043332e-09,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_15,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-5e-08,0,robust_polynomial,9.99999895035309e-05,1.04964690827991e-05,0.0494998990743068,1.00020185138633,NaN,NaN,NaN,NaN,NaN,NaN,PASS,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,robust_polynomial,9.99999895035309e-05,0.0494998990743068,9.99999895035309e-05,0.0494998990743068,NaN,-50,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,2,2.4056381136046e-09,3.36530822397611e-17,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
