validation_case,seed,C_true_F,ESR_true_Ohm,C_hat_F,ESR_hat_Ohm,C_abs_error_percent,ESR_abs_error_percent,C_CI95_covered,ESR_CI95_covered,ENOB,effective_edge_CMRR_dB,VREF_noise_uV_rms,clock_jitter_ns_rms,failure_cause
low_CCM,34,0.0001,0.05,0.000100538514118997,0.0476854594609003,0.53851411899686,4.62908107819943,1,0,13.3115882830046,66.6797956395015,8.61117740120139,1.72781252030823,PASS
low_CCM,35,0.0001,0.05,0.000101222614462115,0.0497984233837642,1.22261446211538,0.403153232471587,1,1,13.3356708915743,73.7399925521454,6.8089782810104,1.81346595880538,PASS
low_CCM,36,0.0001,0.05,0.000100099665750492,0.0494900261520535,0.0996657504921428,1.01994769589295,1,1,13.4262479757633,74.5158554605352,6.7395863137758,1.89088499259091,PASS
low_CCM,37,0.0001,0.05,0.000100149991225627,0.0497697169384262,0.149991225626821,0.460566123147585,1,1,13.2958278473929,68.249233022898,11.3076103459681,2.3087034986413,PASS
low_CCM,38,0.0001,0.05,9.96094461539107e-05,0.0502268891241055,0.390553846089272,0.453778248211051,1,1,13.7271592610887,72.3613204837802,7.24740202646716,2.64271816806896,PASS
low_CCM,39,0.0001,0.05,9.99635841548309e-05,0.0506648802097243,0.0364158451690881,1.32976041944866,1,1,13.4408839395819,70.2465018280492,6.61891664707075,1.61896646879507,PASS
low_CCM,40,0.0001,0.05,9.96078654930101e-05,0.0507693847324951,0.392134506989875,1.53876946499022,1,1,13.7410795008123,71.9980082685759,11.2785250292929,1.63661932667671,PASS
low_CCM,41,0.0001,0.05,9.88805452333925e-05,0.0505809116170331,1.11945476660754,1.16182323406612,1,1,13.4662232420244,68.6419957899404,11.6930963260473,1.49606208779673,PASS
low_CCM,42,0.0001,0.05,9.99552791480218e-05,0.0494456171303309,0.044720851978208,1.10876573933828,1,1,13.5614031921466,68.9542512653568,7.01227354622316,1.86588896535626,PASS
low_CCM,43,0.0001,0.05,0.000101287564117548,0.0502171719996091,1.28756411754847,0.43434399921824,1,1,13.6195428015382,67.7512316153728,9.74381349486315,2.15425999915915,PASS
low_CCM,44,0.0001,0.05,0.000100093158348174,0.0492025116624371,0.0931583481738072,1.59497667512573,1,1,14.2349959562369,68.1154049392843,10.9654051876548,1.69641298610736,PASS
