noise,C_factor,ESR_factor,Rload,seed,method,tail_C_err,tail_ESR_err,conv_cycles,joint_coverage,resets
10mV_5mA,0.9,1,17.2413793103448,2,KF,4.74208894009474,0.701273573856934,757,24.5,0
10mV_5mA,0.9,1,17.2413793103448,2,HYBRID,4.74208894009474,0.701273573856934,757,24.5,0
10mV_5mA,0.9,1,17.2413793103448,3,RLS,4.83830334972281,1.00735175949048,237,100,0
10mV_5mA,0.9,1,17.2413793103448,3,KF,2.56842211963462,0.536781558259612,81,92.9,0
10mV_5mA,0.9,1,17.2413793103448,3,HYBRID,2.56842211963462,0.536781558259612,81,92.9,0
nominal,0.9,1,10,1,RLS,0.0887430343847431,0.0107193036703543,11,100,0
nominal,0.9,1,10,1,KF,0.136876852316533,0.159866458363319,7,99.6,0
nominal,0.9,1,10,1,HYBRID,0.152161889825625,0.159866458363319,7,99.6,1
nominal,0.9,1,10,2,RLS,0.160956539480386,0.0350330208169275,6,100,0
nominal,0.9,1,10,2,KF,0.0699118840289095,0.189201991582534,2,99.8,0
nominal,0.9,1,10,2,HYBRID,0.0699118840289095,0.189201991582534,2,99.8,0
nominal,0.9,1,10,3,RLS,0.159283938652543,0.00295966526606806,6,100,0
nominal,0.9,1,10,3,KF,0.0329048055173262,0.13640083758142,2,84,0
nominal,0.9,1,10,3,HYBRID,0.0329048055173262,0.13640083758142,2,84,0
10mV_5mA,0.9,1,10,1,RLS,0.602489651491985,0.603202222022077,99,100,0
10mV_5mA,0.9,1,10,1,KF,0.445173626052725,0.937566225551669,163,100,0
10mV_5mA,0.9,1,10,1,HYBRID,0.445173626052725,0.937566225551669,163,100,0
10mV_5mA,0.9,1,10,2,RLS,1.0416260220841,0.375783551608751,14,100,0
10mV_5mA,0.9,1,10,2,KF,1.08945174554577,0.631620204502938,68,99.4,0
10mV_5mA,0.9,1,10,2,HYBRID,1.13732756911305,0.631620204502938,68,99.4,1
10mV_5mA,0.9,1,10,3,RLS,1.58628574553804,0.116378647156363,67,100,0
10mV_5mA,0.9,1,10,3,KF,0.377670929009223,0.981904033061366,124,99.7,0
10mV_5mA,0.9,1,10,3,HYBRID,0.377670929009223,0.981904033061366,124,99.7,0
nominal,0.9,1,6.89655172413793,1,RLS,0.106377417645848,0.0161498948664729,3,100,0
nominal,0.9,1,6.89655172413793,1,KF,0.0337755400814654,0.167979442177274,2,99.5,0
nominal,0.9,1,6.89655172413793,1,HYBRID,0.0337755400814654,0.167979442177274,2,99.5,0
nominal,0.9,1,6.89655172413793,2,RLS,0.0511973401984465,0.0431029877113678,2,100,0
nominal,0.9,1,6.89655172413793,2,KF,0.0117375876246477,0.163350813388991,2,99.3,0
nominal,0.9,1,6.89655172413793,2,HYBRID,0.0117375876246477,0.163350813388991,2,99.3,0
nominal,0.9,1,6.89655172413793,3,RLS,0.130448112252143,0.0596546792444643,5,100,0
nominal,0.9,1,6.89655172413793,3,KF,0.0310787527790194,0.123275745166893,12,95.9,0
nominal,0.9,1,6.89655172413793,3,HYBRID,0.0310787506967019,0.123275745166893,12,95.9,2
10mV_5mA,0.9,1,6.89655172413793,1,RLS,0.908931406399534,0.345680977430561,226,100,0
10mV_5mA,0.9,1,6.89655172413793,1,KF,2.15878535588425,0.626623834192871,229,3.9,0
10mV_5mA,0.9,1,6.89655172413793,1,HYBRID,2.15878535588425,0.626623834192871,229,3.9,0
10mV_5mA,0.9,1,6.89655172413793,2,RLS,0.307677937265678,0.270560595236123,62,100,0
10mV_5mA,0.9,1,6.89655172413793,2,KF,0.379909668129142,0.771733450880756,10,96,0
10mV_5mA,0.9,1,6.89655172413793,2,HYBRID,0.379909668129142,0.771733450880756,10,96,0
10mV_5mA,0.9,1,6.89655172413793,3,RLS,0.428745960601769,0.427631958914508,60,100,0
10mV_5mA,0.9,1,6.89655172413793,3,KF,0.130376963148051,0.43989052339074,17,97.9,0
10mV_5mA,0.9,1,6.89655172413793,3,HYBRID,0.130376963148051,0.43989052339074,17,97.9,0
nominal,0.9,1.5,17.2413793103448,1,RLS,0.10343168417659,0.0292900245124008,12,100,0
nominal,0.9,1.5,17.2413793103448,1,KF,0.210044812800151,0.192386341902445,6,99.3,0
nominal,0.9,1.5,17.2413793103448,1,HYBRID,0.210044812800151,0.192386341902445,6,99.3,0
nominal,0.9,1.5,17.2413793103448,2,RLS,0.143039151634646,0.0214292728252042,19,100,0
nominal,0.9,1.5,17.2413793103448,2,KF,0.0362329357255182,0.1992105088909,9,99.1,0
nominal,0.9,1.5,17.2413793103448,2,HYBRID,0.0362329357255182,0.1992105088909,9,99.1,0
nominal,0.9,1.5,17.2413793103448,3,RLS,0.0870618423423448,0.00478792238996384,12,100,0
nominal,0.9,1.5,17.2413793103448,3,KF,0.134461012427254,0.123426442244088,5,99.3,0
nominal,0.9,1.5,17.2413793103448,3,HYBRID,0.134461012427254,0.123426442244088,5,99.3,0
10mV_5mA,0.9,1.5,17.2413793103448,1,RLS,0.931578823887223,0.207845579114939,47,100,0
10mV_5mA,0.9,1.5,17.2413793103448,1,KF,2.33081891338122,0.408129948769867,3,100,0
10mV_5mA,0.9,1.5,17.2413793103448,1,HYBRID,2.33081891338122,0.408129948769867,3,100,0
10mV_5mA,0.9,1.5,17.2413793103448,2,RLS,1.31163856928633,0.138990223207827,193,100,0
10mV_5mA,0.9,1.5,17.2413793103448,2,KF,0.17696834549896,0.480652003296302,66,95.2,0
10mV_5mA,0.9,1.5,17.2413793103448,2,HYBRID,0.17696834549896,0.480652003296302,66,95.2,0
10mV_5mA,0.9,1.5,17.2413793103448,3,RLS,2.07335675622306,0.0894161828880151,137,100,0
10mV_5mA,0.9,1.5,17.2413793103448,3,KF,0.73944343836578,0.465602596272867,5,100,0
10mV_5mA,0.9,1.5,17.2413793103448,3,HYBRID,0.73944343836578,0.465602596272867,5,100,0
nominal,0.9,1.5,10,1,RLS,0.0987963594069265,0.0281408095425963,5,100,0
nominal,0.9,1.5,10,1,KF,0.0569328732576959,0.104755011591686,3,99.3,0
nominal,0.9,1.5,10,1,HYBRID,0.0569328732576959,0.104755011591686,3,99.3,0
nominal,0.9,1.5,10,2,RLS,0.140468558746649,0.0310683504016451,2,100,0
nominal,0.9,1.5,10,2,KF,0.170853743562178,0.108484477937847,2,99.3,0
nominal,0.9,1.5,10,2,HYBRID,0.170853743562178,0.108484477937847,2,99.3,0
nominal,0.9,1.5,10,3,RLS,0.0884444321195202,0.00330879257209415,3,100,0
nominal,0.9,1.5,10,3,KF,0.0458271467488092,0.0931807810039442,2,99.9,0
nominal,0.9,1.5,10,3,HYBRID,0.0458271467488092,0.0931807810039442,2,99.9,0
10mV_5mA,0.9,1.5,10,1,RLS,1.43316071193726,0.250164124478413,13,100,0
10mV_5mA,0.9,1.5,10,1,KF,0.678342920045189,0.324427069868017,85,99.4,0
10mV_5mA,0.9,1.5,10,1,HYBRID,0.678342920045189,0.324427069868017,85,99.4,0
10mV_5mA,0.9,1.5,10,2,RLS,0.730680707699619,0.280053305358083,33,100,0
10mV_5mA,0.9,1.5,10,2,KF,0.567586820166605,0.589208541066964,164,100,0
10mV_5mA,0.9,1.5,10,2,HYBRID,0.567586820166605,0.589208541066964,164,100,0
10mV_5mA,0.9,1.5,10,3,RLS,1.90476632427995,0.0925467953349802,24,100,0
