method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,health_report_period_s,noise_profile,skew_ns,C_nRMSE,ESR_nRMSE,C_nIAE,ESR_nIAE,C_xcorr_lag_ms,ESR_xcorr_lag_ms,C_50pct_delay_ms,ESR_50pct_delay_ms,normalized_lag_percent,C_endpoint_error_percent,ESR_endpoint_error_percent,C_max_tracking_error_percent,ESR_max_tracking_error_percent,false_cross_coupling_percent,accepted_C_updates,accepted_R_updates,projection_activations,failure_flag,reliable_health_tracking,notes
M2 TS-SLTVKE,Equal-Report,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,0.02048,F28379D_device_realistic,50,0.536470239306937,NaN,0.329852182890807,NaN,0,NaN,Inf,NaN,0,8.738110030058,0.795812791060876,10.1646613610775,1.76246687254969,1.69688654684316,2390,2003,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,2e-05,F28379D_device_realistic,50,0.536939701083487,NaN,0.28005784261981,NaN,1.03999999999996,NaN,41.32,NaN,41.32,11.0791995144394,2.93663699298252,11.9855006954113,6.92381247313362,12.727156704272,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,0.02048,F28379D_device_realistic,50,0.61584186096326,NaN,0.376204962297423,NaN,0,NaN,Inf,NaN,0,11.0791995144394,2.93663699298252,11.7538319412658,4.14313931137686,5.48426291590973,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,2e-05,F28379D_device_realistic,50,0.471377333305447,NaN,0.247650152334655,NaN,0.959999999999961,NaN,32.12,NaN,32.12,8.738110030058,0.795812791060876,10.1959196222635,6.70394158727966,10.8141348783649,2390,2003,0,0,0,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-002,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,smooth,0.02048,F28379D_device_realistic,50,0.536470239306937,NaN,0.329852182890807,NaN,0,NaN,Inf,NaN,0,8.738110030058,0.795812791060876,10.1646613610775,1.76246687254969,1.69688654684316,2390,2003,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,2e-05,F28379D_device_realistic,50,0.0238347398672225,NaN,0.0106569906469653,NaN,0.0399999999999984,NaN,-31.52,NaN,3.152,0.160015315684032,0.440150983999091,7.00070950969764,4.78560403463726,5.23952685310335,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,F28379D_device_realistic,50,0.0246271914256556,NaN,0.0109294727241464,NaN,0,NaN,20.4799999999999,NaN,2.04799999999999,0.160015315684032,0.440150983999091,0.700728588278933,0.635356890859778,0.286940072843717,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,2e-05,F28379D_device_realistic,50,0.0636870814631913,NaN,0.0355147872620097,NaN,0,NaN,33.7999999999999,NaN,3.37999999999999,0.914413580617089,2.36466787899911,5.43911989655664,4.80777494969333,7.98869776396904,24911,20221,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,F28379D_device_realistic,50,0.0659174211168044,NaN,0.0369212143611783,NaN,0,NaN,61.4399999999999,NaN,6.14399999999999,0.914413580617089,2.36466787899911,1.20799983799138,3.12276336936165,3.37008064765241,24911,20221,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,2e-05,F28379D_device_realistic,50,0.191817180966081,NaN,0.104398837491406,NaN,0,NaN,129.12,NaN,12.912,3.20112302798034,2.49224253911806,4.79323894956442,7.08820687861231,10.9927787711655,25000,25000,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,F28379D_device_realistic,50,0.197916022489088,NaN,0.108573655529952,NaN,0,NaN,163.84,NaN,16.384,3.20112302798034,2.49224253911806,3.20112302798034,5.27345558275191,9.32958338749328,25000,25000,0,0,0,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,2e-05,F28379D_device_realistic,50,0.0636870814631913,NaN,0.0355147872620097,NaN,0,NaN,33.7999999999999,NaN,3.37999999999999,0.914413580617089,2.36466787899911,5.43911989655664,4.80777494969333,7.98869776396904,24911,20221,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-003,TRACE_DERIVED_OBSERVATION,C_ramp,1,linear,0.02048,F28379D_device_realistic,50,0.0659174211168044,NaN,0.0369212143611783,NaN,0,NaN,61.4399999999999,NaN,6.14399999999999,0.914413580617089,2.36466787899911,1.20799983799138,3.12276336936165,3.37008064765241,24911,20221,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,2e-05,F28379D_device_realistic,50,0.0233936901719826,NaN,0.0113469481398945,NaN,0,NaN,-5.16000000000005,NaN,0.516000000000005,0.484860071698777,0.556311144957716,2.86641283411749,6.86100119221764,4.30788563539537,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,0.02048,F28379D_device_realistic,50,0.0211581495685647,NaN,0.0106667496870204,NaN,0,NaN,20.4799999999999,NaN,2.04799999999999,0.484860071698777,0.556311144957716,0.755338936602712,0.576055231073458,0.307492388816513,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,2e-05,F28379D_device_realistic,50,0.0652111976071318,NaN,0.0358336600161245,NaN,0,NaN,36.04,NaN,3.604,0.123999566185436,1.60783274270623,2.64051975929298,6.87727224901991,7.68886297429409,24926,20291,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,0.02048,F28379D_device_realistic,50,0.0649134031168647,NaN,0.0361125879923444,NaN,0,NaN,61.4399999999999,NaN,6.14399999999999,0.123999566185436,1.60783274270623,1.47628636103041,3.84007332641359,3.24106303533936,24926,20291,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,2e-05,F28379D_device_realistic,50,0.209867938024384,NaN,0.114779143228088,NaN,0,NaN,123.96,NaN,12.396,1.82995842846901,3.73791331227172,4.2368056682213,7.09709113855503,10.7938666210953,25000,25000,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,0.02048,F28379D_device_realistic,50,0.210147199930107,NaN,0.116832322598862,NaN,0,NaN,143.36,NaN,14.336,1.82995842846901,3.73791331227172,4.2154958485401,6.12930138683469,9.88809255510384,25000,25000,0,0,0,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,2e-05,F28379D_device_realistic,50,0.0652111976071318,NaN,0.0358336600161245,NaN,0,NaN,36.04,NaN,3.604,0.123999566185436,1.60783274270623,2.64051975929298,6.87727224901991,7.68886297429409,24926,20291,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-004,TRACE_DERIVED_OBSERVATION,C_ramp,1,smooth,0.02048,F28379D_device_realistic,50,0.0649134031168647,NaN,0.0361125879923444,NaN,0,NaN,61.4399999999999,NaN,6.14399999999999,0.123999566185436,1.60783274270623,1.47628636103041,3.84007332641359,3.24106303533936,24926,20291,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,2e-05,F28379D_device_realistic,50,0.0266566190149087,NaN,0.0122460586489736,NaN,0,NaN,-208.32,NaN,2.0832,0.33089928967113,0.392192924010798,3.5561618014734,6.53823423161333,6.8261200386876,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,0.02048,F28379D_device_realistic,50,0.0284780421729894,NaN,0.0131190946145166,NaN,0,NaN,20.7199999999998,NaN,0.207199999999998,0.33089928967113,0.392192924010798,1.22139209500758,0.870896432925941,0.647082345718336,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,2e-05,F28379D_device_realistic,50,0.0121553239191814,NaN,0.00542271689323399,NaN,0,NaN,-143.079999999999,NaN,1.43079999999999,0.201324901435695,4.3604345619993,3.45951819893405,8.35859348624089,14.8939664801506,248978,107282,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,0.02048,F28379D_device_realistic,50,0.0119516426018933,NaN,0.00545404199607295,NaN,0,NaN,20.7199999999998,NaN,0.207199999999998,0.201324901435695,4.3604345619993,0.451603394127686,7.35892700734532,8.27990172157449,248978,107282,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,2e-05,F28379D_device_realistic,50,0.0165963220797585,NaN,0.00885283483186606,NaN,0,NaN,84.8399999999998,NaN,0.848399999999998,0.166567973965275,0.278415711093188,3.43774344809508,7.19865550406758,13.7313786609503,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,0.02048,F28379D_device_realistic,50,0.0164352005303249,NaN,0.00884253539596967,NaN,0,NaN,102.48,NaN,1.0248,0.166567973965275,0.278415711093188,0.385496482175109,6.27757376210539,6.84972163293941,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,2e-05,F28379D_device_realistic,50,0.0121553239191814,NaN,0.00542271689323399,NaN,0,NaN,-143.079999999999,NaN,1.43079999999999,0.201324901435695,4.3604345619993,3.45951819893405,8.83070853596612,15.3660815298758,248978,108857,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-005,TRACE_DERIVED_OBSERVATION,C_ramp,10,linear,0.02048,F28379D_device_realistic,50,0.0119516426018933,NaN,0.00545404199607295,NaN,0,NaN,20.7199999999998,NaN,0.207199999999998,0.201324901435695,4.3604345619993,0.451603394127686,7.17060751983352,7.18815728932512,248978,108857,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,2e-05,F28379D_device_realistic,50,0.0243321808492931,NaN,0.011794940194737,NaN,0,NaN,-140.56,NaN,1.4056,0.414041882872929,0.665250683448582,2.98757183384604,4.80192719979895,5.05966838044319,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,0.02048,F28379D_device_realistic,50,0.0233149481890685,NaN,0.0113024079420643,NaN,0,NaN,82.0400000000001,NaN,0.820400000000001,0.414041882872929,0.665250683448582,1.04124972374485,0.784691103393631,0.605196458915061,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,2e-05,F28379D_device_realistic,50,0.0105355541427317,NaN,0.00507969363464196,NaN,0,NaN,13.1600000000001,NaN,0.131600000000001,0.340755941419725,1.13047970686087,2.92975812852368,8.42547989589056,13.2251230966439,248992,107690,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,0.02048,F28379D_device_realistic,50,0.0101431991912363,NaN,0.0049537076057542,NaN,0,NaN,82.0400000000001,NaN,0.820400000000001,0.340755941419725,1.13047970686087,0.470957601019501,7.40629099874955,7.3391932701491,248992,107690,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,2e-05,F28379D_device_realistic,50,0.0209528135534347,NaN,0.011035016829843,NaN,0,NaN,132.44,NaN,1.3244,0.155590525168455,0.519438737992484,2.91552424207238,6.89813445769148,11.4985659609361,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,0.02048,F28379D_device_realistic,50,0.0208909224662545,NaN,0.0110288738993553,NaN,0,NaN,143.36,NaN,1.4336,0.155590525168455,0.519438737992484,0.610548746509815,5.82724252917034,7.19945605598836,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,2e-05,F28379D_device_realistic,50,0.0105355541427317,NaN,0.00507969363464196,NaN,0,NaN,13.1600000000001,NaN,0.131600000000001,0.340755941419725,1.13047970686087,2.92975812852368,8.41353461108531,13.2131778118386,248992,108117,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-006,TRACE_DERIVED_OBSERVATION,C_ramp,10,smooth,0.02048,F28379D_device_realistic,50,0.0101431991912363,NaN,0.0049537076057542,NaN,0,NaN,82.0400000000001,NaN,0.820400000000001,0.340755941419725,1.13047970686087,0.470957601019501,8.12589859427218,8.19299632287263,248992,108117,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,2e-05,F28379D_device_realistic,50,0.0280996735364924,NaN,0.012885241748393,NaN,0,NaN,-3840.48,NaN,3.84048,0.511584832707506,0.447140759183173,2.3780207408243,6.54805219361444,8.57454072847424,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,0.02048,F28379D_device_realistic,50,0.0279889350057866,NaN,0.0128212611682905,NaN,0,NaN,-3339,NaN,3.339,0.511584832707506,0.447140759183173,1.3792172545843,1.75681486651116,1.69718607438529,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,2e-05,F28379D_device_realistic,50,0.0158686605435185,NaN,0.00751490213544365,NaN,0,NaN,-1713.6,NaN,1.7136,0.038878116675001,7.8681209685478,2.37190300146565,8.69488360508203,13.5880946846247,2460339,1449000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,0.02048,F28379D_device_realistic,50,0.0157860955862229,NaN,0.00747863699721633,NaN,0,NaN,-1312.92,NaN,1.31292,0.038878116675001,7.8681209685478,0.631036081096806,8.63097064486061,13.4721298328,2460339,1449000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,2e-05,F28379D_device_realistic,50,0.00794173184219162,NaN,0.00396192323485746,NaN,0,NaN,-526.679999999999,NaN,0.526679999999999,0.0747492060401835,5.34944430443718,2.33287799070274,8.64774918618798,13.4330726460418,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,0.02048,F28379D_device_realistic,50,0.00789603228659896,NaN,0.0039550044202273,NaN,0,NaN,-471.240000000002,NaN,0.471240000000002,0.0747492060401835,5.34944430443718,0.288031220203836,8.42607689347174,11.7699733098265,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,2e-05,F28379D_device_realistic,50,0.0158686605435185,NaN,0.00751490213544365,NaN,0,NaN,-1713.6,NaN,1.7136,0.038878116675001,7.8681209685478,2.37190300146565,8.69488360508203,13.5880946846247,2460339,1449000,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-007,TRACE_DERIVED_OBSERVATION,C_ramp,100,linear,0.02048,F28379D_device_realistic,50,0.0157860955862229,NaN,0.00747863699721633,NaN,0,NaN,-1312.92,NaN,1.31292,0.038878116675001,7.8681209685478,0.631036081096806,8.63097064486061,13.4721298328,2460339,1449000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,2e-05,F28379D_device_realistic,50,0.0266958053674898,NaN,0.0128912965430452,NaN,0,NaN,-1895.04,NaN,1.89504,0.275841531031898,0.439281547098519,2.41876939819871,6.27808339876926,8.57402886760802,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,0.02048,F28379D_device_realistic,50,0.0267454713485429,NaN,0.0129726346575849,NaN,0,NaN,-1454.04,NaN,1.45404,0.275841531031898,0.439281547098519,1.33594312306519,1.81246000336123,1.6240247811532,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,2e-05,F28379D_device_realistic,50,0.015235496421347,NaN,0.00769114001134857,NaN,0,NaN,-932.400000000001,NaN,0.932400000000001,0.0918175199680894,7.44802163239716,2.41198954475674,8.57896918805901,13.2465585566049,2462515,1452528,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,0.02048,F28379D_device_realistic,50,0.0152026227153529,NaN,0.00769642628778031,NaN,0,NaN,-881.999999999998,NaN,0.881999999999998,0.0918175199680894,7.44802163239716,0.719626721349876,8.57896918805901,13.7873386766185,2462515,1452528,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,2e-05,F28379D_device_realistic,50,0.00801500992424921,NaN,0.00416180804275985,NaN,0,NaN,-239.400000000003,NaN,0.239400000000003,0.160080564143405,4.82478871645944,2.36874296907928,8.39449517317266,13.0981672415483,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,0.02048,F28379D_device_realistic,50,0.00795961183918735,NaN,0.0041556037691155,NaN,0,NaN,-226.799999999997,NaN,0.226799999999997,0.160080564143405,4.82478871645944,0.35688496657322,8.18797279889263,11.4390498111677,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Native,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,2e-05,F28379D_device_realistic,50,0.015235496421347,NaN,0.00769114001134857,NaN,0,NaN,-932.400000000001,NaN,0.932400000000001,0.0918175199680894,7.44802163239716,2.41198954475674,8.57896918805901,13.2465585566049,2462515,1452591,0,0,1,Ramp is a health-tracking test; failures are retained.
M4 TS-SRKE,Equal-Report,RAMP-008,TRACE_DERIVED_OBSERVATION,C_ramp,100,smooth,0.02048,F28379D_device_realistic,50,0.0152026227153529,NaN,0.00769642628778031,NaN,0,NaN,-881.999999999998,NaN,0.881999999999998,0.0918175199680894,7.44802163239716,0.719626721349876,8.57896918805901,13.7873386766185,2462515,1452591,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-009,TRACE_DERIVED_OBSERVATION,ESR_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,NaN,0.11910843140661,NaN,0.0664870489091838,NaN,0,NaN,7.72,7.72,0.179857090298839,3.85546771129523,3.10770203748707,7.16807051120454,5.78534425690599,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-009,TRACE_DERIVED_OBSERVATION,ESR_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,NaN,0.157902646887741,NaN,0.0924031389400366,NaN,0,NaN,38.56,38.56,0.179857090298839,3.85546771129523,0.583877599522409,5.15891453689642,1.02577984127962,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-009,TRACE_DERIVED_OBSERVATION,ESR_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,NaN,0.0272117641802992,NaN,0.0127184735257588,NaN,0,NaN,2.04,2.04,0.0237061289365149,1.39911431753391,2.22756789705599,7.14644854044534,4.4186641232722,2495,2014,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-009,TRACE_DERIVED_OBSERVATION,ESR_ramp,0.1,linear,0.02048,F28379D_device_realistic,50,NaN,0.0413062692125474,NaN,0.0209695405213914,NaN,0,NaN,38.56,38.56,0.0237061289365149,1.39911431753391,0.328364367000494,2.06261233294116,0.59707957103537,2495,2014,0,0,0,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-009,TRACE_DERIVED_OBSERVATION,ESR_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,NaN,0.0525623928051361,NaN,0.0266874418316608,NaN,0,NaN,-4.68,4.68,0.0624371007195925,1.12262931008759,2.53131146755123,7.1386853342655,4.34714775619513,2500,2500,0,0,1,Ramp is a health-tracking test; failures are retained.
