snr_reference,noise_target,SNR_dB,method,C_MAPE_median_percent,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_median_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,failure_rate
ac_ripple_rms,vT,20,TS_LTVKF,0.214839807436801,0.20770181493049,0.469321157610836,0.869965957060598,0.996079286477843,1.55566149685615,0
ac_ripple_rms,vT,30,RLS,0.275877056763874,0.269931581150801,0.562808323847724,1.28427990833139,1.27885774294524,2.12330734412511,0
ac_ripple_rms,vT,30,TS_LTVKF,0.091342063919353,0.0921386766599458,0.203659832541414,0.967118929918603,1.00599974647147,1.18588639128028,0
ac_ripple_rms,vT,40,RLS,0.0876698386287234,0.0855677291831125,0.177409859534783,1.28744042608283,1.27523098488762,1.5505550033121,0
ac_ripple_rms,vT,40,TS_LTVKF,0.0458946399783389,0.0452294545891285,0.0985420329795816,0.993413811438343,1.00500192355207,1.06129948137036,0
ac_ripple_rms,vT,50,RLS,0.0276523485561175,0.0273283953736869,0.0561760346059981,1.27871647213673,1.27418872740074,1.36598025715339,0
ac_ripple_rms,vT,50,TS_LTVKF,0.0415248898764542,0.0403875223252459,0.0562627665995019,1.00341329105645,1.0072286023463,1.02571255118188,0
ac_ripple_rms,i1,20,RLS,0.0372042441736942,0.0356643414745023,0.0795090459393355,1.26956767786823,1.27667993831997,1.34178528366602,0
ac_ripple_rms,i1,20,TS_LTVKF,0.0285198282867993,0.0293418746207075,0.0540752825401447,1.00766731575696,1.01119027081955,1.02975262652262,0
ac_ripple_rms,i1,30,RLS,0.0117254744048223,0.0115331607851571,0.0263327440609862,1.27419112919553,1.27704937758731,1.29884372742494,0
ac_ripple_rms,i1,30,TS_LTVKF,0.0284789928520712,0.0290743693444728,0.0369759330369313,1.01111669532116,1.01012767547073,1.01678402673916,0
ac_ripple_rms,i1,40,RLS,0.00369450007590144,0.00393181057620096,0.00865620381148013,1.27781332584767,1.27879828183727,1.28573735041643,0
ac_ripple_rms,i1,40,TS_LTVKF,0.0286790251857627,0.0290157155394433,0.0316494018423596,1.013790162728,1.01379562530191,1.01542848522859,0
ac_ripple_rms,i1,50,RLS,0.00167872583206607,0.00176599288197798,0.00382492204245577,1.27909816952128,1.27941007480732,1.28160553050018,0
ac_ripple_rms,i1,50,TS_LTVKF,0.028903740356212,0.0290095029004911,0.0298540575954132,1.01412598367144,1.01420808501703,1.01492910661917,0
ac_ripple_rms,i2,20,RLS,0.0206337709382831,0.0244015396320524,0.0473656450110715,1.27783391500034,1.28456992849764,1.35041699912025,0
ac_ripple_rms,i2,20,TS_LTVKF,0.0314356346948041,3.80125683490316,30.1753002751887,1.03165391699002,15.1828690241204,88.0085571455756,0.2
ac_ripple_rms,i2,30,RLS,0.00711967899269528,0.00788180870291588,0.0146731496905528,1.27749632047661,1.28030190257434,1.30481214322506,0
ac_ripple_rms,i2,30,TS_LTVKF,0.0282894283403501,0.719904836887977,6.95630986378689,1.01882350914686,5.9213284038693,50.0429982210795,0.1
ac_ripple_rms,i2,40,RLS,0.00310595311674988,0.00282612807066041,0.00530099486775737,1.27885565378379,1.27978043989829,1.28768436681106,0
ac_ripple_rms,i2,40,TS_LTVKF,0.0285823073941649,0.0284255055023985,0.0309217697997188,1.01506507018339,1.01511951411971,1.0168020327344,0
ac_ripple_rms,i2,50,RLS,0.00167553304391554,0.00144740093589057,0.00257602857406947,1.2794274946163,1.27972155831926,1.2822223670761,0
ac_ripple_rms,i2,50,TS_LTVKF,0.0288182362190081,0.0287903831056135,0.029660620381361,1.01445308798395,1.01443834390704,1.0149860689292,0
ac_ripple_rms,all,20,RLS,0.839659564600859,0.860820914288606,1.83528575073305,1.41946768167644,1.51607541963537,3.85920912509388,0
ac_ripple_rms,all,20,TS_LTVKF,0.215604191094759,0.209203697844638,0.410930371518931,0.876480082666886,1.01254353859903,1.56212711984646,0
ac_ripple_rms,all,30,RLS,0.266422229793023,0.273205749679466,0.578205478950627,1.29090683848611,1.27911112648066,2.1166992129551,0
ac_ripple_rms,all,30,TS_LTVKF,0.0955495908727455,0.163661603061839,0.68299020535133,0.968802199861435,1.00894355142886,1.18844990410747,0
ac_ripple_rms,all,40,RLS,0.0846538668077157,0.086751977295389,0.182967899239478,1.28521646574495,1.27451317127817,1.54607266654125,0
ac_ripple_rms,all,40,TS_LTVKF,0.0455716490898983,0.0454866875783044,0.097210258658631,0.994268818646166,1.00549297327265,1.06198821083077,0
ac_ripple_rms,all,50,RLS,0.0283823176565612,0.0276809739610351,0.0573647772594443,1.27792855583171,1.27394078852222,1.36526791906067,0
