case_id,duty,load_fraction,I_C_min,I_sum_min,T_w_min,kR_min,R_C_max,R_R_max,mu_C_lower,mu_C_empirical,mu_R_lower,mu_R_empirical,ratio_C,ratio_R,sign_invariant
MB-022,0.4,0.5,0.531920978459584,0.770142435126785,2e-06,0.957654065426597,0.0002,0.000200390625,0.565879854650802,0.672587897156827,2714.45109265056,3448.00975441849,1.18857013839426,1.27024198879621,1
MB-023,0.4,0.5,0.531920978459584,0.770142435126785,2e-06,0.957654065426597,0.0002,0.000200390625,0.565879854650802,0.672587897156827,2714.45109265056,3448.00975441849,1.18857013839426,1.27024198879621,1
MB-024,0.4,0.5,0.531920978459584,0.770142435126785,2e-06,0.957654065426597,0.0002,0.000200390625,0.565879854650802,0.672587897156827,2714.45109265056,3448.00975441849,1.18857013839426,1.27024198879621,1
MB-025,0.4,0.5,0.531920978459584,0.770142435126785,2e-06,0.957654065426597,0.0002,0.000200390625,0.565879854650802,0.672587897156827,2714.45109265056,3448.00975441849,1.18857013839426,1.27024198879621,1
MB-026,0.4,1,1.33687916944081,2.09349191286211,2e-06,0.957654065426597,0.0002,0.000200390625,3.57449182736949,3.83542112747478,20057.7626864589,21952.9183613553,1.07299759314244,1.09448489866598,1
MB-027,0.4,1,1.33687916944081,2.09349191286211,2e-06,0.957654065426597,0.0002,0.000200390625,3.57449182736949,3.83542112747478,20057.7626864589,21952.9183613553,1.07299759314244,1.09448489866598,1
MB-028,0.4,1,1.33687916944081,2.09349191286211,2e-06,0.957654065426597,0.0002,0.000200390625,3.57449182736949,3.83542112747478,20057.7626864589,21952.9183613553,1.07299759314244,1.09448489866598,1
MB-029,0.4,1,1.33687916944081,2.09349191286211,2e-06,0.957654065426597,0.0002,0.000200390625,3.57449182736949,3.83542112747478,20057.7626864589,21952.9183613553,1.07299759314244,1.09448489866598,1
MB-030,0.4,1,1.33687916944081,2.09349191286211,2e-06,0.957654065426597,0.0002,0.000200390625,3.57449182736949,3.83542112747478,20057.7626864589,21952.9183613553,1.07299759314244,1.09448489866598,1
MB-031,0.6,0.25,0.7109197765865,1.77192606441215,2e-06,0.957654065426597,0.0002,0.000200390625,1.0108138574836,1.15398525124076,14369.1509309505,15994.9203870238,1.14163972198955,1.11314304261162,1
MB-032,0.6,0.25,0.7109197765865,1.77192606441215,2e-06,0.957654065426597,0.0002,0.000200390625,1.0108138574836,1.15398525124076,14369.1509309505,15994.9203870238,1.14163972198955,1.11314304261162,1
MB-033,0.6,0.25,0.7109197765865,1.77192606441215,2e-06,0.957654065426597,0.0002,0.000200390625,1.0108138574836,1.15398525124076,14369.1509309505,15994.9203870238,1.14163972198955,1.11314304261162,1
MB-034,0.6,0.25,0.7109197765865,1.77192606441215,2e-06,0.957654065426597,0.0002,0.000200390625,1.0108138574836,1.15398525124076,14369.1509309505,15994.9203870238,1.14163972198955,1.11314304261162,1
MB-035,0.6,0.25,0.7109197765865,1.77192606441215,2e-06,0.957654065426597,0.0002,0.000200390625,1.0108138574836,1.15398525124076,14369.1509309505,15994.9203870238,1.14163972198955,1.11314304261162,1
MB-036,0.6,0.5,1.60973197190024,3.96289704646516,2e-06,0.957654065426597,0.0002,0.000200390625,5.18247404271568,5.50027551439298,71872.9537113332,75435.3504324847,1.06132234702149,1.04956519159431,1
MB-037,0.6,0.5,1.60973197190024,3.96289704646516,2e-06,0.957654065426597,0.0002,0.000200390625,5.18247404271568,5.50027551439298,71872.9537113332,75435.3504324847,1.06132234702149,1.04956519159431,1
MB-038,0.6,0.5,1.60973197190024,3.96289704646516,2e-06,0.957654065426597,0.0002,0.000200390625,5.18247404271568,5.50027551439298,71872.9537113332,75435.3504324847,1.06132234702149,1.04956519159431,1
MB-039,0.6,0.5,1.60973197190024,3.96289704646516,2e-06,0.957654065426597,0.0002,0.000200390625,5.18247404271568,5.50027551439298,71872.9537113332,75435.3504324847,1.06132234702149,1.04956519159431,1
MB-040,0.6,0.5,1.60973197190024,3.96289704646516,2e-06,0.957654065426597,0.0002,0.000200390625,5.18247404271568,5.50027551439298,71872.9537113332,75435.3504324847,1.06132234702149,1.04956519159431,1
MB-041,0.6,1,3.40201714221803,8.3361004273856,2e-06,0.957654065426597,0.0002,0.000200390625,23.1474412718906,23.8122909491356,318028.316044014,325449.621618572,1.02872238315396,1.023335361036,1
MB-042,0.6,1,3.40201714221803,8.3361004273856,2e-06,0.957654065426597,0.0002,0.000200390625,23.1474412718906,23.8122909491356,318028.316044014,325449.621618572,1.02872238315396,1.023335361036,1
MB-043,0.6,1,3.40201714221803,8.3361004273856,2e-06,0.957654065426597,0.0002,0.000200390625,23.1474412718906,23.8122909491356,318028.316044014,325449.621618572,1.02872238315396,1.023335361036,1
MB-044,0.6,1,3.40201714221803,8.3361004273856,2e-06,0.957654065426597,0.0002,0.000200390625,23.1474412718906,23.8122909491356,318028.316044014,325449.621618572,1.02872238315396,1.023335361036,1
MB-045,0.6,1,3.40201714221803,8.3361004273856,2e-06,0.957654065426597,0.0002,0.000200390625,23.1474412718906,23.8122909491356,318028.316044014,325449.621618572,1.02872238315396,1.023335361036,1
