method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,health_report_period_s,noise_profile,skew_ns,C_true,ESR_true,C_est,ESR_est,C_error,ESR_error,accepted_C_updates,accepted_R_updates,compute_count,failure_flag,notes
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,20,0.0001,0.075,0.000100097310660713,0.0750331187471762,0.0973106607126795,0.0441583295682113,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,50,0.0001,0.075,9.89955620871889e-05,0.0752287657949026,1.00443791281106,0.305021059870114,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,5mV_2mA,100,0.0001,0.075,0.000100365496528443,0.0751722285089038,0.36549652844331,0.229638011871725,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,0,0.0001,0.075,0.000100137879142413,0.0749974585655896,0.137879142412589,0.00338857921389213,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,20,0.0001,0.075,9.98399619347562e-05,0.0749807622513261,0.160038065243817,0.0256503315652634,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,50,0.0001,0.075,9.96377603811781e-05,0.0750274535361965,0.362239618821891,0.0366047149285897,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,100,0.0001,0.075,9.9868058115064e-05,0.0751095102503267,0.131941884936027,0.146013667102185,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,0,0.0001,0.075,9.99724874830621e-05,0.0750192080898887,0.0275125169379331,0.0256107865181932,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,20,0.0001,0.075,0.00010015816820107,0.0750465082097234,0.158168201070086,0.0620109462978746,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV11_MODEL_B_ANCHOR,static,0.02048,2e-05,nominal,50,0.0001,0.075,9.97842056807565e-05,0.0750509437443262,0.215794319243501,0.067924992434909,512,512,1024,0,"Frozen v1.1 O1 blind row; identical case/seed."
