scenario,algorithm,cycle,C_true_factor,ESR_true_factor,C_est_factor,ESR_est_factor
load_25_to_75,TS-SLTVKE,504,1,1,1.00000271239699,0.999999723718679
load_25_to_75,TS-SLTVKE,505,1,1,1.00000264101812,0.99999973280688
load_25_to_75,TS-SLTVKE,506,1,1,1.00000257151765,0.999999741596127
load_25_to_75,TS-SLTVKE,507,1,1,1.00000250384613,0.999999750096255
load_25_to_75,TS-SLTVKE,508,1,1,1.00000243795544,0.999999758316773
load_25_to_75,TS-SLTVKE,509,1,1,1.00000237379872,0.999999766266879
load_25_to_75,TS-SLTVKE,510,1,1,1.00000231133033,0.999999773955468
load_25_to_75,TS-SLTVKE,511,1,1,1.00000225050585,0.999999781391144
load_25_to_75,TS-SLTVKE,512,1,1,1.00000219128201,0.999999788582225
load_25_to_75,TS-SLTVKE,513,1,1,1.0000021336167,0.999999795536757
load_25_to_75,TS-SLTVKE,514,1,1,1.00000207746889,0.999999802262521
load_25_to_75,TS-SLTVKE,515,1,1,1.00000202279866,0.999999808767044
load_25_to_75,TS-SLTVKE,516,1,1,1.00000196956711,0.999999815057601
load_25_to_75,TS-SLTVKE,517,1,1,1.0000019177364,0.999999821141233
load_25_to_75,TS-SLTVKE,518,1,1,1.00000186726965,0.999999827024745
load_25_to_75,TS-SLTVKE,519,1,1,1.00000181813098,0.99999983271472
load_25_to_75,TS-SLTVKE,520,1,1,1.00000177028542,0.999999838217526
load_25_to_75,TS-SLTVKE,521,1,1,1.00000172369897,0.999999843539318
load_25_to_75,TS-SLTVKE,522,1,1,1.00000167833847,0.999999848686051
load_25_to_75,TS-SLTVKE,523,1,1,1.00000163417166,0.999999853663483
load_25_to_75,TS-SLTVKE,524,1,1,1.00000159116715,0.999999858477184
load_25_to_75,TS-SLTVKE,525,1,1,1.00000154929433,0.99999986313254
load_25_to_75,TS-SLTVKE,526,1,1,1.00000150852342,0.999999867634759
load_25_to_75,TS-SLTVKE,527,1,1,1.00000146882544,0.999999871988879
load_25_to_75,TS-SLTVKE,528,1,1,1.00000143017214,0.999999876199771
load_25_to_75,TS-SLTVKE,529,1,1,1.00000139253603,0.999999880272147
load_25_to_75,TS-SLTVKE,530,1,1,1.00000135589034,0.999999884210563
load_25_to_75,TS-SLTVKE,531,1,1,1.00000132020902,0.999999888019426
load_25_to_75,TS-SLTVKE,532,1,1,1.00000128546668,0.999999891702998
load_25_to_75,TS-SLTVKE,533,1,1,1.00000125163861,0.999999895265399
load_25_to_75,TS-SLTVKE,534,1,1,1.00000121870075,0.999999898710616
load_25_to_75,TS-SLTVKE,535,1,1,1.00000118662968,0.999999902042504
load_25_to_75,TS-SLTVKE,536,1,1,1.00000115540258,0.99999990526479
load_25_to_75,TS-SLTVKE,537,1,1,1.00000112499725,0.99999990838108
load_25_to_75,TS-SLTVKE,538,1,1,1.00000109539206,0.99999991139486
load_25_to_75,TS-SLTVKE,539,1,1,1.00000106656595,0.999999914309503
load_25_to_75,TS-SLTVKE,540,1,1,1.00000103849843,0.999999917128269
load_25_to_75,TS-SLTVKE,541,1,1,1.00000101116952,0.999999919854313
load_25_to_75,TS-SLTVKE,542,1,1,1.0000009845598,0.999999922490684
load_25_to_75,TS-SLTVKE,543,1,1,1.00000095865033,0.999999925040333
load_25_to_75,TS-SLTVKE,544,1,1,1.00000093342269,0.999999927506111
load_25_to_75,TS-SLTVKE,545,1,1,1.00000090885893,0.999999929890779
load_25_to_75,TS-SLTVKE,546,1,1,1.00000088494159,0.999999932197003
load_25_to_75,TS-SLTVKE,547,1,1,1.00000086165366,0.999999934427365
load_25_to_75,TS-SLTVKE,548,1,1,1.00000083897856,0.999999936584359
load_25_to_75,TS-SLTVKE,549,1,1,1.00000081690018,0.9999999386704
load_25_to_75,TS-SLTVKE,550,1,1,1.0000007954028,0.999999940687821
load_25_to_75,TS-SLTVKE,551,1,1,1.00000077447115,0.99999994263888
load_25_to_75,TS-SLTVKE,552,1,1,1.00000075409033,0.999999944525759
load_25_to_75,TS-SLTVKE,553,1,1,1.00000073424585,0.999999946350569
load_25_to_75,TS-SLTVKE,554,1,1,1.00000071492359,0.999999948115353
load_25_to_75,TS-SLTVKE,555,1,1,1.00000069610981,0.999999949822085
load_25_to_75,TS-SLTVKE,556,1,1,1.00000067779113,0.999999951472674
load_25_to_75,TS-SLTVKE,557,1,1,1.00000065995452,0.999999953068968
load_25_to_75,TS-SLTVKE,558,1,1,1.0000006425873,0.999999954612752
load_25_to_75,TS-SLTVKE,559,1,1,1.00000062567711,0.999999956105753
load_25_to_75,TS-SLTVKE,560,1,1,1.00000060921192,0.999999957549643
load_25_to_75,TS-SLTVKE,561,1,1,1.00000059318003,0.999999958946036
load_25_to_75,TS-SLTVKE,562,1,1,1.00000057757003,0.999999960296496
load_25_to_75,TS-SLTVKE,563,1,1,1.00000056237081,0.999999961602532
load_25_to_75,TS-SLTVKE,564,1,1,1.00000054757158,0.999999962865607
load_25_to_75,TS-SLTVKE,565,1,1,1.0000005331618,0.999999964087133
load_25_to_75,TS-SLTVKE,566,1,1,1.00000051913123,0.999999965268477
load_25_to_75,TS-SLTVKE,567,1,1,1.00000050546988,0.999999966410961
load_25_to_75,TS-SLTVKE,568,1,1,1.00000049216804,0.999999967515864
load_25_to_75,TS-SLTVKE,569,1,1,1.00000047921625,0.999999968584421
load_25_to_75,TS-SLTVKE,570,1,1,1.0000004666053,0.999999969617828
load_25_to_75,TS-SLTVKE,571,1,1,1.00000045432621,0.999999970617242
load_25_to_75,TS-SLTVKE,572,1,1,1.00000044237026,0.99999997158378
load_25_to_75,TS-SLTVKE,573,1,1,1.00000043072894,0.999999972518524
load_25_to_75,TS-SLTVKE,574,1,1,1.00000041939396,0.99999997342252
load_25_to_75,TS-SLTVKE,575,1,1,1.00000040835728,0.999999974296779
load_25_to_75,TS-SLTVKE,576,1,1,1.00000039761104,0.99999997514228
load_25_to_75,TS-SLTVKE,577,1,1,1.00000038714759,0.999999975959968
load_25_to_75,TS-SLTVKE,578,1,1,1.00000037695949,0.999999976750759
load_25_to_75,TS-SLTVKE,579,1,1,1.00000036703951,0.999999977515536
load_25_to_75,TS-SLTVKE,580,1,1,1.00000035738057,0.999999978255157
load_25_to_75,TS-SLTVKE,581,1,1,1.00000034797582,0.999999978970448
load_25_to_75,TS-SLTVKE,582,1,1,1.00000033881856,0.999999979662209
load_25_to_75,TS-SLTVKE,583,1,1,1.00000032990228,0.999999980331216
load_25_to_75,TS-SLTVKE,584,1,1,1.00000032122065,0.999999980978215
load_25_to_75,TS-SLTVKE,585,1,1,1.00000031276747,0.999999981603932
load_25_to_75,TS-SLTVKE,586,1,1,1.00000030453675,0.999999982209065
load_25_to_75,TS-SLTVKE,587,1,1,1.00000029652262,0.999999982794293
load_25_to_75,TS-SLTVKE,588,1,1,1.0000002887194,0.999999983360271
load_25_to_75,TS-SLTVKE,589,1,1,1.00000028112152,0.99999998390763
load_25_to_75,TS-SLTVKE,590,1,1,1.00000027372358,0.999999984436984
load_25_to_75,TS-SLTVKE,591,1,1,1.00000026652033,0.999999984948926
load_25_to_75,TS-SLTVKE,592,1,1,1.00000025950664,0.999999985444027
load_25_to_75,TS-SLTVKE,593,1,1,1.00000025267752,0.999999985922842
load_25_to_75,TS-SLTVKE,594,1,1,1.00000024602811,0.999999986385906
load_25_to_75,TS-SLTVKE,595,1,1,1.00000023955368,0.999999986833738
load_25_to_75,TS-SLTVKE,596,1,1,1.00000023324964,0.999999987266839
load_25_to_75,TS-SLTVKE,597,1,1,1.00000022711149,0.999999987685693
load_25_to_75,TS-SLTVKE,598,1,1,1.00000022113487,0.999999988090769
load_25_to_75,TS-SLTVKE,599,1,1,1.00000021531553,0.99999998848252
C_1_to_0p8,B0 Closed-form,0,1,1,1,1
C_1_to_0p8,B0 Closed-form,1,1,1,1,1
C_1_to_0p8,B0 Closed-form,2,1,1,1,1
C_1_to_0p8,B0 Closed-form,3,1,1,1,1
C_1_to_0p8,B0 Closed-form,4,1,1,1,1
C_1_to_0p8,B0 Closed-form,5,1,1,1,1
