case_id,algorithm,noise_profile,skew_ns,seed,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,projection_saturation,failure_flag,failure_reason,mu_C,mu_R
PV1-007,TS-SLTVKE,5mV_2mA,0,22007,9e-05,0.05,8.99418799026066e-05,0.0493816694808257,0.0645778859927044,1.23666103834863,-0.0645778859927044,-1.23666103834863,2.63745437701687e-13,6.67180386709531e-07,20,0,0,,49881.9070389893,11438588.5257905
PV1-007,B0 Closed-form,5mV_2mA,20,32007,9e-05,0.05,8.95328910384916e-05,0.0500297870956144,0.519009957231604,0.0595741912287617,-0.519009957231604,0.0595741912287617,0.0126725623285291,4.58107750722414e-05,256,0,0,,49881.9070389893,11438588.5257905
PV1-007,B1 RLS,5mV_2mA,20,32007,9e-05,0.05,8.94274773745581e-05,0.0496206661815457,0.636136250491015,0.758667636908641,-0.636136250491015,-0.758667636908641,7.63807536396117e-09,0.0256832578856938,58,0,0,,49881.9070389893,11438588.5257905
PV1-007,B2 Augmented EKF,5mV_2mA,20,32007,9e-05,0.05,8.70366097484895e-05,0.0488820978690922,3.29265583501167,2.23580426181566,-3.29265583501167,-2.23580426181566,5.96304154981473e-10,5.55340126581421e-06,1024,0,0,,49881.9070389893,11438588.5257905
PV1-007,B3 Dual EKF,5mV_2mA,20,32007,9e-05,0.05,8.97815745325857e-05,0.0491778994767083,0.242694963793623,1.64420104658348,-0.242694963793623,-1.64420104658348,2.87105242415085e-13,6.68639947663348e-06,59,0,0,,49881.9070389893,11438588.5257905
PV1-007,B4 Cuk-adapted wavelet-KF,5mV_2mA,20,32007,9e-05,0.05,8.98429382066075e-05,0.0495644738256512,0.174513103769427,0.871052348697554,-0.174513103769427,-0.871052348697554,1.07903112416601e-12,6.35337502969229e-06,20,0,0,,49881.9070389893,11438588.5257905
PV1-007,TS-SLTVKE,5mV_2mA,20,32007,9e-05,0.05,8.98617854397012e-05,0.0504627372808602,0.153571733665348,0.925474561720402,-0.153571733665348,0.925474561720402,2.62807216334658e-13,6.67180386709531e-07,24,0,0,,49881.9070389893,11438588.5257905
PV1-007,B0 Closed-form,5mV_2mA,50,42007,9e-05,0.05,9.0644853947745e-05,0.0478631339417659,0.716504386383331,4.27373211646814,0.716504386383331,-4.27373211646814,0.0108503982030268,5.13282453214091e-05,256,0,0,,49881.9070389893,11438588.5257905
PV1-007,B1 RLS,5mV_2mA,50,42007,9e-05,0.05,9.04617853558784e-05,0.050255823467458,0.51309483986492,0.511646934915899,0.51309483986492,0.511646934915899,7.9976176553053e-09,0.0256832578856938,50,0,0,,49881.9070389893,11438588.5257905
PV1-007,B2 Augmented EKF,5mV_2mA,50,42007,9e-05,0.05,8.73264700054005e-05,0.0507794807311575,2.97058888288838,1.55896146231509,-2.97058888288838,1.55896146231509,6.25554219741006e-10,5.54007305486149e-06,1024,0,0,,49881.9070389893,11438588.5257905
PV1-007,B3 Dual EKF,5mV_2mA,50,42007,9e-05,0.05,9.03712644256166e-05,0.0501450435858148,0.412516028462937,0.290087171629608,0.412516028462937,0.290087171629608,2.94722768068388e-13,6.68639947663348e-06,44,0,0,,49881.9070389893,11438588.5257905
PV1-007,B4 Cuk-adapted wavelet-KF,5mV_2mA,50,42007,9e-05,0.05,9.0177141685384e-05,0.0484082260492395,0.196824094871068,3.1835479015211,0.196824094871068,-3.1835479015211,1.09517632691801e-12,6.35337502969229e-06,20,0,0,,49881.9070389893,11438588.5257905
