method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,health_report_period_s,noise_profile,skew_ns,C_nRMSE,ESR_nRMSE,C_nIAE,ESR_nIAE,C_xcorr_lag_ms,ESR_xcorr_lag_ms,C_50pct_delay_ms,ESR_50pct_delay_ms,normalized_lag_percent,C_endpoint_error_percent,ESR_endpoint_error_percent,C_max_tracking_error_percent,ESR_max_tracking_error_percent,false_cross_coupling_percent,accepted_C_updates,accepted_R_updates,projection_activations,failure_flag,reliable_health_tracking,notes
M1 TS-D-RLS,Native,RAMP-001,TRACE_DERIVED_OBSERVATION,C_ramp,0.1,linear,2e-05,F28379D_device_realistic,50,0.11007163490529,NaN,0.0599906802756332,NaN,0.0399999999999984,NaN,7.84,NaN,7.84,1.35718853677924,0.540281171801146,10.6159111837239,8.72906367555032,8.90696754484382,2500,2500,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-011,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,linear,0.02048,F28379D_device_realistic,50,NaN,0.0256832342967685,NaN,0.0128401913244178,NaN,0,NaN,40.96,4.096,0.185440578911189,1.40278287501389,0.393071484500564,2.52820844323805,0.50476865342221,24937,20188,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-011,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,linear,2e-05,F28379D_device_realistic,50,NaN,0.0530109493883534,NaN,0.0270090230886798,NaN,0,NaN,-46.2,4.62,0.17126665276608,2.54174319974947,3.84445066930245,12.8620797328359,3.72903630086829,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-011,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,linear,0.02048,F28379D_device_realistic,50,NaN,0.0523080415686706,NaN,0.0276777475950755,NaN,0,NaN,40.96,4.096,0.17126665276608,2.54174319974947,0.374750251460465,4.46095883728793,0.390669928382071,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-012,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,smooth,2e-05,F28379D_device_realistic,50,NaN,0.00999076595057975,NaN,0.0052219948138474,NaN,0,NaN,4.07999999999997,0.407999999999997,0.458244324111251,0.169898531224316,1.58390372946202,5.78619464116672,2.93174781237575,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-012,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,smooth,0.02048,F28379D_device_realistic,50,NaN,0.00971749117523692,NaN,0.00523832939106764,NaN,0,NaN,20.4799999999999,2.04799999999999,0.458244324111251,0.169898531224316,1.22169620247602,0.762613108173626,1.58201721084953,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-012,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,smooth,2e-05,F28379D_device_realistic,50,NaN,0.023650104191063,NaN,0.0117638272747785,NaN,0,NaN,-18.0400000000001,1.80400000000001,0.202824876232839,0.865976666409196,1.46925691217359,5.78845795066807,2.80594289134452,24934,20220,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-012,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,smooth,0.02048,F28379D_device_realistic,50,NaN,0.0237090297524816,NaN,0.0116281933177534,NaN,0,NaN,20.4799999999999,2.04799999999999,0.202824876232839,0.865976666409196,0.861265249716862,2.9588573794091,0.921099697168571,24934,20220,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-012,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,smooth,2e-05,F28379D_device_realistic,50,NaN,0.0500427371946507,NaN,0.026958533974324,NaN,0,NaN,-26.2000000000001,2.62000000000001,0.164745233566867,1.75374816769704,1.51839205260062,6.38232339899386,2.84850132234279,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-012,TRACE_DERIVED_OBSERVATION,ESR_ramp,1,smooth,0.02048,F28379D_device_realistic,50,NaN,0.0501126490214501,NaN,0.0265703724120676,NaN,0,NaN,40.96,4.096,0.164745233566867,1.75374816769704,0.865459209049352,4.7956197881702,0.798916915649786,25000,25000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-013,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,linear,2e-05,F28379D_device_realistic,50,NaN,0.00514496803705857,NaN,0.00259364815000708,NaN,0,NaN,-34.44,0.3444,0.134886343468085,0.202224682136376,2.94656890797853,6.04804398123486,4.34205443387862,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
