method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,health_report_period_s,noise_profile,skew_ns,C_true,ESR_true,C_est,ESR_est,C_error,ESR_error,accepted_C_updates,accepted_R_updates,compute_count,failure_flag,notes
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,20,0.0001,0.075,0.000100097310660713,0.0750332813100705,0.0973106607126795,0.0443750800939613,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,50,0.0001,0.075,9.89955620871889e-05,0.0752298886885182,1.00443791281106,0.306518251357568,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,100,0.0001,0.075,0.000100365496528443,0.0751730738900638,0.36549652844331,0.230765186751714,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,0,0.0001,0.075,0.000100137879142413,0.0749974460909952,0.137879142412589,0.00340521200634658,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,20,0.0001,0.075,9.98399619347562e-05,0.0749806678231131,0.160038065243817,0.0257762358491731,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,50,0.0001,0.075,9.96377603811781e-05,0.0750275882914842,0.362239618821891,0.0367843886456054,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,100,0.0001,0.075,9.9868058115064e-05,0.0751100477798161,0.131941884936027,0.146730373088166,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,0,0.0001,0.075,9.99724874830621e-05,0.0750193023725218,0.0275125169379331,0.0257364966956608,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,20,0.0001,0.075,0.00010015816820107,0.0750467364946024,0.158168201070086,0.0623153261365417,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,50,0.0001,0.075,9.97842056807565e-05,0.0750511938009629,0.215794319243501,0.0682584012838605,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-003,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,nominal,100,0.0001,0.075,0.000100113128381669,0.0751324891896344,0.113128381668726,0.17665225284591,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
