test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes
OP_19_2,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.01053489683287,NaN,1.07049258030484,1.10000000000002e-05,2,1.00235410428513,3,12463.8491435411,0.000523477497699625,PASS,CCM operating sweep; load fraction=0.75
OP_20_1,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000926486377028635,NaN,0.284059925910396,NaN,2,1.00102965338165,3,20849.8721032052,0.000394904359579812,PASS,CCM operating sweep; load fraction=1
OP_20_2,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00710261549918823,NaN,1.06764397892525,1.10000000000002e-05,2,1.00102965338165,3,20849.8721032052,0.000394904359579812,PASS,CCM operating sweep; load fraction=1
OP_21_DCM,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.10730595620497,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_22_1,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0154264317283825,NaN,1.36086908576396,NaN,2,1.01294489294432,3,7064.59684057544,0.000657134673681429,PASS,CCM operating sweep; load fraction=0.25
OP_22_2,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0336454725028634,NaN,1.08293829003625,0.0001695,2,1.01294489294432,3,7064.59684057544,0.000657134673681429,PASS,CCM operating sweep; load fraction=0.25
OP_23_1,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00160843786189968,NaN,0.315931509105027,NaN,2,1.00230953362048,3,15922.9110810465,0.000488598215889308,PASS,CCM operating sweep; load fraction=0.5
OP_23_2,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0197206961097152,NaN,1.07753158521664,1.31000000000003e-05,2,1.00230953362048,3,15922.9110810465,0.000488598215889308,PASS,CCM operating sweep; load fraction=0.5
OP_24_1,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000581804161337018,NaN,0.13619376886278,NaN,2,1.00067035445931,3,42246.618771852,0.0003145570719646,PASS,CCM operating sweep; load fraction=0.75
OP_24_2,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0142667208569591,NaN,1.0673235635395,1.31000000000003e-05,2,1.00067035445931,3,42246.618771852,0.0003145570719646,PASS,CCM operating sweep; load fraction=0.75
OP_25_1,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000306724257093105,NaN,0.0756813057432026,NaN,2,1.00015698115509,3,88400.124382557,0.000211239606085737,PASS,CCM operating sweep; load fraction=1
OP_25_2,Model_A,19.2,0.65,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0109028276976009,NaN,1.05829406974267,1.31000000000003e-05,2,1.00015698115509,3,88400.124382557,0.000211239606085737,PASS,CCM operating sweep; load fraction=1
