adc_bits,voltage_LSB_V,current_LSB_A,samples_per_cycle,sample_phase_fraction,method,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status,edge_window_us,edge_points_per_side
12,0.0244200244200244,0.00244200244200244,16,0.875,old_TS_LTVKF,0.00015,0.056286226669969,0.00015,50,0.056286226669969,12.5724533399379,FAIL,3.75,3
12,0.0244200244200244,0.00244200244200244,16,0.875,TR_TS_LTVKF,8.40582083403553e-05,0.0448557128521612,8.62513924651948e-05,13.7486075348052,0.0511027169455375,2.2054338910749,FAIL,3.75,3
12,0.0244200244200244,0.00244200244200244,16,0.9375,old_TS_LTVKF,0.00015,0.0582960711940952,0.00015,50,0.0582960711940952,16.5921423881903,FAIL,3.75,3
12,0.0244200244200244,0.00244200244200244,16,0.9375,TR_TS_LTVKF,0.00010714004618068,0.0513809484808198,0.000106200412563294,6.20041256329404,0.0511640298068015,2.32805961360292,FAIL,3.75,3
12,0.0244200244200244,0.00244200244200244,24,0,old_TS_LTVKF,0.00015,0.0476167882690722,0.00015,50,0.0476167882690722,4.76642346185552,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0,TR_TS_LTVKF,0.000112265564829454,0.0537394851204848,0.000107100125353242,7.10012535324163,0.0497688564741336,0.462287051732857,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.0625,old_TS_LTVKF,0.00015,0.0480055999283461,0.00015,50,0.0480055999283461,3.98880014330781,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.0625,TR_TS_LTVKF,9.22150299075909e-05,0.0537596036655405,9.37757591872642e-05,6.22424081273581,0.0500693232840903,0.138646568180523,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.125,old_TS_LTVKF,0.00015,0.0486101852632181,0.00015,50,0.0486101852632181,2.77962947356388,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.125,TR_TS_LTVKF,9.10457027515625e-05,0.0473234949535354,9.11796774473519e-05,8.82032255264815,0.0503927333085179,0.785466617035868,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.1875,old_TS_LTVKF,0.00015,0.048960384746659,0.00015,50,0.048960384746659,2.07923050668204,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.1875,TR_TS_LTVKF,9.16798641053759e-05,0.0465077461662164,9.18388941447202e-05,8.16110585527982,0.0503977916144457,0.795583228891372,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.25,old_TS_LTVKF,0.00015,0.0495151459947631,0.00015,50,0.0495151459947631,0.969708010473846,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.25,TR_TS_LTVKF,9.51545989813757e-05,0.045687882926782,9.6734453533711e-05,3.26554646628903,0.0505816773882396,1.1633547764792,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.3125,old_TS_LTVKF,0.00015,0.0499967486255458,0.00015,50,0.0499967486255458,0.00650274890842129,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.3125,TR_TS_LTVKF,9.50767115962165e-05,0.0448243737302662,9.66848569499846e-05,3.31514305001539,0.0500075854201198,0.0151708402394979,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.375,old_TS_LTVKF,0.00015,0.0504048088268166,0.00015,50,0.0504048088268166,0.809617653633099,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.375,TR_TS_LTVKF,9.50261575931286e-05,0.0439974128162142,9.65643765978393e-05,3.43562340216068,0.0497015279692674,0.596944061465277,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.4375,old_TS_LTVKF,0.00015,0.0507783587340152,0.00015,50,0.0507783587340152,1.55671746803037,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.4375,TR_TS_LTVKF,0.000123199332336004,0.0471474952349165,0.000108415526467903,8.41552646790329,0.0487041171557885,2.591765688423,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.5,old_TS_LTVKF,0.00015,0.051446945396253,0.00015,50,0.051446945396253,2.89389079250606,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.5,TR_TS_LTVKF,0.000123252224816688,0.0467352131497591,0.000108917102633687,8.91710263368672,0.0493109487167182,1.37810256656352,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.5625,old_TS_LTVKF,0.00015,0.0506179285915903,0.00015,50,0.0506179285915903,1.23585718318051,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.5625,TR_TS_LTVKF,0.000123321821916524,0.0461513543923645,0.000108529897280432,8.52989728043172,0.049939814787411,0.120370425178062,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.625,old_TS_LTVKF,0.00015,0.0473302614250023,0.00015,50,0.0473302614250023,5.33947714999544,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.625,TR_TS_LTVKF,8.97059083192783e-05,0.0447431716781498,9.06397643799568e-05,9.36023562004318,0.0474938604566635,5.01227908667302,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.6875,old_TS_LTVKF,0.00015,0.0471065300479219,0.00015,50,0.0471065300479219,5.78693990415621,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.6875,TR_TS_LTVKF,8.97657080045538e-05,0.0444524537775559,9.02816988664617e-05,9.7183011335383,0.0481637647008028,3.67247059839434,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.75,old_TS_LTVKF,0.00015,0.0478485106913425,0.00015,50,0.0478485106913425,4.30297861731492,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.75,TR_TS_LTVKF,8.98342078004747e-05,0.0442028781946067,9.07662216143251e-05,9.23377838567494,0.0486071096916937,2.78578061661251,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.8125,old_TS_LTVKF,0.00015,0.0483516583162741,0.00015,50,0.0483516583162741,3.29668336745189,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.8125,TR_TS_LTVKF,8.97268502328988e-05,0.0439548365190862,9.04419840680499e-05,9.55801593195011,0.048655648837714,2.68870232457201,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.875,old_TS_LTVKF,0.00015,0.0488254433565306,0.00015,50,0.0488254433565306,2.34911328693888,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.875,TR_TS_LTVKF,8.99577664778902e-05,0.038382434199196,9.11370619724745e-05,8.86293802752552,0.0428720235851421,14.2559528297157,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.9375,old_TS_LTVKF,0.00015,0.0494054060599721,0.00015,50,0.0494054060599721,1.18918788005589,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,24,0.9375,TR_TS_LTVKF,8.8740167967547e-05,0.0372823698390986,9.11652443122753e-05,8.83475568772468,0.0406517421879097,18.6965156241806,FAIL,2.5,3
12,0.0244200244200244,0.00244200244200244,32,0,old_TS_LTVKF,9.9210559914747e-05,0.0475528674471362,9.9210559914747e-05,0.789440085252979,0.0475528674471362,4.89426510572751,PASS,1.875,3
12,0.0244200244200244,0.00244200244200244,32,0,TR_TS_LTVKF,9.30683409877382e-05,0.0431068320824569,9.41387525758671e-05,5.86124742413286,0.0525792309851684,5.15846197033689,FAIL,1.875,3
12,0.0244200244200244,0.00244200244200244,32,0.0625,old_TS_LTVKF,0.00010051538345454,0.0478806870144506,0.00010051538345454,0.515383454540252,0.0478806870144506,4.23862597109883,PASS,1.875,3
