test_id,Vin_V,D,load_fraction,measurement_type,NIS_mean,NIS_median,NIS_p95,rejected_fraction,NIS_gate,R_V,R_C_floor,R_R_floor
43,24,0.55,0.5,V,0.395749249684068,1.82615208371437e-06,2.50849425698515,0.0168421052631579,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
43,24,0.55,0.5,C,0.00347968061290206,0.000336363943637487,0.000778005202917728,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
43,24,0.55,0.5,R,0.00532166747201262,0.00185453367455892,0.0149845670358443,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
44,24,0.55,0.75,V,1.29860330942941,8.85839811082096e-07,10.1232973657035,0.0703157894736842,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
44,24,0.55,0.75,C,0.00329474164912508,0.000161649033538298,0.000321609503234643,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
44,24,0.55,0.75,R,0.00434513864217776,0.00101719864448205,0.0116016871956419,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
45,24,0.55,1,V,3.40972341364911,1.11196027378332e-05,16.6509639144531,0.202105263157895,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
45,24,0.55,1,C,0.00323046684588151,8.92174388596708e-05,0.000183176206898061,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
45,24,0.55,1,R,0.00388559562408755,0.00077106172540931,0.00972714416568109,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
47,24,0.65,0.25,V,0.475253835144101,5.89612410488477e-06,3.64884727897013,0.0217894736842106,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
47,24,0.65,0.25,C,0.00461322160183373,0.00160693950272602,0.00337921405559983,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
47,24,0.65,0.25,R,0.00784869811404678,0.00327552774956787,0.0216870639330128,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
48,24,0.65,0.5,V,3.16823376052096,2.29854134940836e-06,16.849142375324,0.184947368421053,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
48,24,0.65,0.5,C,0.00351618954578236,0.000309245931123092,0.000882581366156776,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
48,24,0.65,0.5,R,0.00594751890906345,0.00152753564394931,0.0190364160988808,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
49,24,0.65,0.75,V,8.07002816314096,0.0010566090769673,33.1202893063184,0.374631578947368,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
49,24,0.65,0.75,C,0.00331361998185841,0.000114159948275004,0.000410561924758937,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
49,24,0.65,0.75,R,0.00522004284592512,0.00097281430237355,0.017428654340448,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
50,24,0.65,1,V,459.475885163795,63.7873285897097,1599.11834651255,0.668105263157895,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
50,24,0.65,1,C,0.00324269650513874,5.53181223386891e-05,0.000240097784488289,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
50,24,0.65,1,R,0.00479049539592888,0.000748655695111911,0.0159835436761058,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
54,28.8,0.25,0.75,V,0.0258082680826456,5.81081088490503e-06,0.0808371103078383,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
54,28.8,0.25,0.75,C,0.00553263741079519,0.00154810486851721,0.00504587411511907,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
54,28.8,0.25,0.75,R,0.00444833206362543,0.000866801952934234,0.0190525775645247,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
55,28.8,0.25,1,V,0.0421970351567272,3.18986957321296e-06,0.220892329433613,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
55,28.8,0.25,1,C,0.00444055911031265,0.00083490890416931,0.00281004053494578,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
55,28.8,0.25,1,R,0.00403235139773839,0.00109203286839361,0.0151149120705482,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
58,28.8,0.35,0.5,V,0.0423861303210815,6.60494811156382e-06,0.134113105675794,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
58,28.8,0.35,0.5,C,0.00516795400258302,0.000534711979030753,0.00616416148458603,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
58,28.8,0.35,0.5,R,0.00617815981641396,0.0019067886885723,0.0261486342590975,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
59,28.8,0.35,0.75,V,0.0841236708861954,3.1459345117704e-06,0.513212395114046,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
59,28.8,0.35,0.75,C,0.00403714336691844,0.000289714148981825,0.00283151413663608,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
59,28.8,0.35,0.75,R,0.00495745250663376,0.00172829732298641,0.0179605185125685,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
60,28.8,0.35,1,V,0.141866518226344,2.09048170586359e-06,1.21523882891248,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
60,28.8,0.35,1,C,0.00364169902499911,0.000183499282251962,0.0016208462757053,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
60,28.8,0.35,1,R,0.00428613050452229,0.000927188133910852,0.0141148879669208,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
62,28.8,0.45,0.25,V,0.108288676291099,9.03115935771553e-06,0.63919310901054,0.196,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
62,28.8,0.45,0.25,C,0.00424970585698254,0.00063704960566518,0.00397584097642645,0.193548387096774,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
62,28.8,0.45,0.25,R,0.0109748344471056,0.0030946140047008,0.0337502617343397,0.192771084337349,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
63,28.8,0.45,0.5,V,0.127189362672605,2.64703182774818e-06,0.585178246211787,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
63,28.8,0.45,0.5,C,0.00386165210307798,0.0003275943636337,0.00268441372839573,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
63,28.8,0.45,0.5,R,0.00673924948759539,0.00268422322369422,0.0264579217934213,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
64,28.8,0.45,0.75,V,0.326236799142404,1.63099907579488e-06,2.36556519602251,0.011578947368421,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
64,28.8,0.45,0.75,C,0.00347721829268963,0.000128894589204337,0.00123577480368476,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
64,28.8,0.45,0.75,R,0.00508942222045304,0.00111639074168487,0.016756925453232,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
65,28.8,0.45,1,V,0.756066304707127,1.51310368094735e-06,7.35999584107158,0.0358947368421053,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
65,28.8,0.45,1,C,0.00333138680729259,7.02956707812147e-05,0.000660846574579622,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
65,28.8,0.45,1,R,0.00430771074528426,0.000761042682859153,0.0116176950481104,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
67,28.8,0.55,0.25,V,0.131556888318791,8.11724945998979e-06,0.39462514630681,0.00515789473684214,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
67,28.8,0.55,0.25,C,0.00499040783718839,0.00160008714453435,0.00515249163751802,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
67,28.8,0.55,0.25,R,0.0100586511455046,0.00483285581944049,0.0319842385847587,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
68,28.8,0.55,0.5,V,0.719412277100933,2.83319426331703e-06,6.73055762860569,0.0347368421052632,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
68,28.8,0.55,0.5,C,0.00364695766816409,0.00052709851277068,0.00113299104272754,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
68,28.8,0.55,0.5,R,0.00645564562321894,0.00208732434133636,0.0189214986091396,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
69,28.8,0.55,0.75,V,2.51109186164452,1.850460555883e-06,14.4548235079258,0.144736842105263,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
69,28.8,0.55,0.75,C,0.00336363760991145,0.000243719308607066,0.000466447957468862,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
69,28.8,0.55,0.75,R,0.00522486574300594,0.00119725628347614,0.0152415227093008,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
70,28.8,0.55,1,V,5.6050109892422,0.000192781987507116,23.558925504604,0.307157894736842,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
70,28.8,0.55,1,C,0.00326788951479956,0.000132615760323594,0.000265447626619718,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
70,28.8,0.55,1,R,0.00465308386417965,0.000821761305276959,0.0125319602908679,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
72,28.8,0.65,0.25,V,0.894152912432126,8.48827162240922e-06,8.09123156955305,0.0463157894736842,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
72,28.8,0.65,0.25,C,0.005273408092475,0.0022299917231318,0.00489818433776987,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
72,28.8,0.65,0.25,R,0.00984087752334846,0.00374459665857402,0.0303820537485139,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
73,28.8,0.65,0.5,V,5.33266717152071,8.42079932550399e-05,23.7462983991639,0.276736842105263,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
73,28.8,0.65,0.5,C,0.00367987807819782,0.000423829953124468,0.001291405905218,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
73,28.8,0.65,0.5,R,0.00741801415263585,0.00190758944668981,0.0262829956148588,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
74,28.8,0.65,0.75,V,370.387356824212,55.5391919091954,1278.83953659817,0.664,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
74,28.8,0.65,0.75,C,0.00338660602731787,0.00015444227337828,0.0006031388618129,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
74,28.8,0.65,0.75,R,0.00646485104728438,0.00122103350991349,0.0234422287656398,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
75,28.8,0.65,1,V,664.860193165256,75.07626256264,2312.4291052852,0.763157894736842,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
75,28.8,0.65,1,C,0.00328400872230704,8.08427478968158e-05,0.000352441072645917,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
75,28.8,0.65,1,R,0.0058803599643817,0.00081868898646811,0.0237067579274081,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
